,best
agreement_determiner_noun-across_1_adjective,0.498
agreement_determiner_noun-between_neighbors,0.4925
agreement_subject_verb-across_prepositional_phrase,0.4965
agreement_subject_verb-across_relative_clause,0.4875
agreement_subject_verb-in_question_with_aux,0.462
agreement_subject_verb-in_simple_question,0.5005
anaphor_agreement-pronoun_gender,0.541
argument_structure-dropped_argument,0.7585
argument_structure-swapped_arguments,0.8815
argument_structure-transitive,0.497
binding-principle_a,0.398
case-subjective_pronoun,0.7035
ellipsis-n_bar,0.3595
filler-gap-wh_question_object,0.243
filler-gap-wh_question_subject,1.0
irregular-verb,0.5025
island-effects-adjunct_island,0.4895
island-effects-coordinate_structure_constraint,0.306
local_attractor-in_question_with_aux,0.8
npi_licensing-matrix_question,0.4835
npi_licensing-only_npi_licensor,0.8435
quantifiers-existential_there,0.6245
quantifiers-superlative,0.509
