,best
agreement_determiner_noun-across_1_adjective,0.526
agreement_determiner_noun-between_neighbors,0.535
agreement_subject_verb-across_prepositional_phrase,0.5015
agreement_subject_verb-across_relative_clause,0.5115
agreement_subject_verb-in_question_with_aux,0.5015
agreement_subject_verb-in_simple_question,0.5065
anaphor_agreement-pronoun_gender,0.526
argument_structure-dropped_argument,0.7795
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6515
binding-principle_a,0.388
case-subjective_pronoun,1.0
ellipsis-n_bar,0.288
filler-gap-wh_question_object,0.3285
filler-gap-wh_question_subject,0.992
irregular-verb,0.663
island-effects-adjunct_island,0.41
island-effects-coordinate_structure_constraint,0.675
local_attractor-in_question_with_aux,0.623
npi_licensing-matrix_question,0.3905
npi_licensing-only_npi_licensor,0.5975
quantifiers-existential_there,0.7835
quantifiers-superlative,0.4615
