,best
agreement_determiner_noun-across_1_adjective,0.509
agreement_determiner_noun-between_neighbors,0.5755
agreement_subject_verb-across_prepositional_phrase,0.515
agreement_subject_verb-across_relative_clause,0.517
agreement_subject_verb-in_question_with_aux,0.4985
agreement_subject_verb-in_simple_question,0.5085
anaphor_agreement-pronoun_gender,0.5015
argument_structure-dropped_argument,0.795
argument_structure-swapped_arguments,0.997
argument_structure-transitive,0.6715
binding-principle_a,0.3825
case-subjective_pronoun,0.998
ellipsis-n_bar,0.521
filler-gap-wh_question_object,0.2105
filler-gap-wh_question_subject,0.9525
irregular-verb,0.697
island-effects-adjunct_island,0.411
island-effects-coordinate_structure_constraint,0.699
local_attractor-in_question_with_aux,0.557
npi_licensing-matrix_question,0.1065
npi_licensing-only_npi_licensor,0.6105
quantifiers-existential_there,0.7875
quantifiers-superlative,0.4485
