,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 1684.3865966796875), (1, 1683.1534423828125)]","[(0, 9314.9033203125), (1, 4806.4892578125)]","[(0, 2975.791259765625), (1, 2598.396728515625)]","[(0, 2833.197021484375), (1, 4089.587158203125)]","[(0, 2390.799560546875), (1, 2497.86376953125)]","[(0, 3166.44775390625), (1, 2184.79052734375)]","[(0, 97647.796875), (1, 58354.50390625)]","[(0, 9046.2060546875), (1, 1906.6597900390625)]","[(0, 32107.20703125), (1, 6003.38037109375)]","[(0, 495279.65625), (1, 328104.03125)]","[(0, 6819.70751953125), (1, 10842.6279296875)]","[(0, 15362.4111328125), (1, 2721.34423828125)]","[(0, 16616.857421875), (1, 18882.865234375)]","[(0, 4243.953125), (1, 4514.94677734375)]","[(0, 7483.13671875), (1, 3906.146240234375)]","[(0, 4909.57373046875), (1, 4316.5703125)]","[(0, 3950.66845703125), (1, 3237.78125)]","[(0, 7271.6044921875), (1, 6104.41357421875)]","[(0, 3073.164794921875), (1, 3408.83447265625)]","[(0, 4057.0732421875), (1, 2347.7861328125)]","[(0, 16094.095703125), (1, 16654.966796875)]","[(0, 3344.773681640625), (1, 2507.739501953125)]","[(0, 2082.009765625), (1, 1824.4488525390625)]"
1,"[(0, 5328.04150390625), (1, 4533.0029296875)]","[(0, 6994.18017578125), (1, 3690.60546875)]","[(0, 3586.700927734375), (1, 3182.147216796875)]","[(0, 2478.558837890625), (1, 3620.641357421875)]","[(0, 1719.431396484375), (1, 1420.5732421875)]","[(0, 1657.4908447265625), (1, 1173.63623046875)]","[(0, 6593.22265625), (1, 10691.9609375)]","[(0, 21381.078125), (1, 3433.038818359375)]","[(0, 13637.9248046875), (1, 2114.160400390625)]","[(0, 517378.6875), (1, 601853.75)]","[(0, 17249.54296875), (1, 21818.693359375)]","[(0, 13780.3271484375), (1, 2189.613037109375)]","[(0, 16682.482421875), (1, 21373.146484375)]","[(0, 4294.51220703125), (1, 4067.614501953125)]","[(0, 7706.486328125), (1, 4671.248046875)]","[(0, 2073.146240234375), (1, 2419.92431640625)]","[(0, 1973.98583984375), (1, 1732.5709228515625)]","[(0, 4677.56494140625), (1, 6559.1748046875)]","[(0, 22950.03515625), (1, 21453.0546875)]","[(0, 3225.61962890625), (1, 4203.56787109375)]","[(0, 6453.16845703125), (1, 6851.8857421875)]","[(0, 4621.3505859375), (1, 3433.379150390625)]","[(0, 7001.34814453125), (1, 6126.4296875)]"
2,"[(0, 2378.89453125), (1, 2000.005859375)]","[(0, 12207.6806640625), (1, 6086.271484375)]","[(0, 3573.41943359375), (1, 3371.781982421875)]","[(0, 2710.635009765625), (1, 4064.101318359375)]","[(0, 1024.0126953125), (1, 839.701904296875)]","[(0, 1528.8681640625), (1, 831.1397094726562)]","[(0, 7959.98583984375), (1, 5501.40966796875)]","[(0, 12481.5146484375), (1, 8237.607421875)]","[(0, 20658.5078125), (1, 2262.926025390625)]","[(0, 326556.9375), (1, 579125.625)]","[(0, 9853.3818359375), (1, 6794.18310546875)]","[(0, 30808.548828125), (1, 3537.0966796875)]","[(0, 14131.814453125), (1, 16070.5068359375)]","[(0, 2780.988037109375), (1, 2575.87060546875)]","[(0, 12584.2314453125), (1, 6364.42529296875)]","[(0, 7658.46826171875), (1, 5612.74609375)]","[(0, 11104.76171875), (1, 9818.224609375)]","[(0, 2328.28955078125), (1, 1936.227294921875)]","[(0, 3154.02783203125), (1, 2802.1220703125)]","[(0, 41377.56640625), (1, 11699.841796875)]","[(0, 8835.1591796875), (1, 7944.6962890625)]","[(0, 3727.039794921875), (1, 3420.750244140625)]","[(0, 3083.83984375), (1, 3327.61181640625)]"
3,"[(0, 3064.65380859375), (1, 3117.181396484375)]","[(0, 9168.05859375), (1, 4717.642578125)]","[(0, 4311.625), (1, 4051.609375)]","[(0, 2205.654541015625), (1, 3414.76953125)]","[(0, 9038.626953125), (1, 9104.541015625)]","[(0, 7768.99609375), (1, 3181.027587890625)]","[(0, 11402.240234375), (1, 15587.541015625)]","[(0, 14790.9169921875), (1, 3596.218994140625)]","[(0, 33500.01171875), (1, 3560.920654296875)]","[(0, 652766.75), (1, 567269.3125)]","[(0, 20090.0703125), (1, 15751.8017578125)]","[(0, 16795.857421875), (1, 3597.4404296875)]","[(0, 16810.744140625), (1, 19542.84375)]","[(0, 3086.89111328125), (1, 3250.9462890625)]","[(0, 11079.765625), (1, 7062.88525390625)]","[(0, 3215.919677734375), (1, 4219.99609375)]","[(0, 5909.56884765625), (1, 5579.02880859375)]","[(0, 2932.593994140625), (1, 4291.6376953125)]","[(0, 10126.56640625), (1, 6076.93359375)]","[(0, 19317.705078125), (1, 87097.1640625)]","[(0, 6514.24658203125), (1, 5759.42626953125)]","[(0, 4470.904296875), (1, 3641.303955078125)]","[(0, 3917.99560546875), (1, 5942.18798828125)]"
4,"[(0, 1841.90771484375), (1, 1782.4405517578125)]","[(0, 13342.6259765625), (1, 17871.666015625)]","[(0, 3394.913330078125), (1, 3986.52880859375)]","[(0, 2276.994873046875), (1, 3506.068359375)]","[(0, 6365.1044921875), (1, 5595.6435546875)]","[(0, 1392.630615234375), (1, 723.9514770507812)]","[(0, 27998.26171875), (1, 25381.021484375)]","[(0, 28112.427734375), (1, 7441.13525390625)]","[(0, 17025.052734375), (1, 3695.853515625)]","[(0, 81023.921875), (1, 34765.10546875)]","[(0, 6538.4521484375), (1, 5680.18017578125)]","[(0, 29799.4765625), (1, 2953.144775390625)]","[(0, 4081.556884765625), (1, 4485.0224609375)]","[(0, 2409.95556640625), (1, 3084.378173828125)]","[(0, 8416.830078125), (1, 5936.14453125)]","[(0, 5722.22509765625), (1, 3041.04248046875)]","[(0, 6395.78466796875), (1, 7503.0234375)]","[(0, 2445.088134765625), (1, 2125.913330078125)]","[(0, 2732.298583984375), (1, 2394.588623046875)]","[(0, 41691.67578125), (1, 16491.666015625)]","[(0, 2819.817626953125), (1, 2556.29296875)]","[(0, 2911.510009765625), (1, 2452.18603515625)]","[(0, 6581.28662109375), (1, 8061.87646484375)]"
5,"[(0, 5822.55078125), (1, 5123.58544921875)]","[(0, 10750.90625), (1, 13863.265625)]","[(0, 3183.03369140625), (1, 3541.04248046875)]","[(0, 2443.718505859375), (1, 3863.585205078125)]","[(0, 5856.4990234375), (1, 5849.7001953125)]","[(0, 1886.64306640625), (1, 856.1015014648438)]","[(0, 5888.2080078125), (1, 6956.7216796875)]","[(0, 52469.71484375), (1, 21953.423828125)]","[(0, 24315.685546875), (1, 3278.409912109375)]","[(0, 590888.6875), (1, 324923.5625)]","[(0, 11651.328125), (1, 11737.705078125)]","[(0, 21874.216796875), (1, 3449.250244140625)]","[(0, 9781.9990234375), (1, 10826.51953125)]","[(0, 3994.074951171875), (1, 4627.71435546875)]","[(0, 6299.25146484375), (1, 5169.3427734375)]","[(0, 1921.8155517578125), (1, 2095.74951171875)]","[(0, 3139.532958984375), (1, 3566.90625)]","[(0, 3410.3173828125), (1, 2212.572265625)]","[(0, 29443.623046875), (1, 26375.65625)]","[(0, 7341.85791015625), (1, 146906.625)]","[(0, 2120.808349609375), (1, 1987.62939453125)]","[(0, 4855.50927734375), (1, 3354.62548828125)]","[(0, 1531.521240234375), (1, 1510.762451171875)]"
6,"[(0, 2608.82275390625), (1, 2250.429443359375)]","[(0, 14168.9384765625), (1, 18809.8046875)]","[(0, 4345.44970703125), (1, 4737.408203125)]","[(0, 1740.5875244140625), (1, 2850.985595703125)]","[(0, 2329.06005859375), (1, 2296.845947265625)]","[(0, 1369.604248046875), (1, 639.28662109375)]","[(0, 18493.70703125), (1, 16291.4189453125)]","[(0, 19305.880859375), (1, 5338.7587890625)]","[(0, 20065.0625), (1, 1288.33154296875)]","[(0, 479290.375), (1, 886278.125)]","[(0, 4995.7607421875), (1, 4601.4814453125)]","[(0, 35158.97265625), (1, 6870.6591796875)]","[(0, 7846.3447265625), (1, 7179.9892578125)]","[(0, 8396.4833984375), (1, 10286.3505859375)]","[(0, 12378.6318359375), (1, 8288.916015625)]","[(0, 10471.240234375), (1, 8532.451171875)]","[(0, 8961.5244140625), (1, 6836.4755859375)]","[(0, 5948.9921875), (1, 5165.27783203125)]","[(0, 9992.3369140625), (1, 8788.0419921875)]","[(0, 59143.640625), (1, 28008.890625)]","[(0, 10153.681640625), (1, 10508.5146484375)]","[(0, 4304.9931640625), (1, 2503.486083984375)]","[(0, 3873.852783203125), (1, 3042.19970703125)]"
7,"[(0, 2908.863525390625), (1, 2893.6513671875)]","[(0, 11468.3935546875), (1, 14439.02734375)]","[(0, 4171.05419921875), (1, 4443.3896484375)]","[(0, 4779.7802734375), (1, 3228.648193359375)]","[(0, 1183.0599365234375), (1, 1530.9844970703125)]","[(0, 3015.12744140625), (1, 2372.659423828125)]","[(0, 11715.875), (1, 13375.91796875)]","[(0, 32370.447265625), (1, 2359.877685546875)]","[(0, 26092.546875), (1, 2267.35546875)]","[(0, 176121.4375), (1, 302404.3125)]","[(0, 9499.5029296875), (1, 8819.1396484375)]","[(0, 10540.984375), (1, 1983.822998046875)]","[(0, 6523.06201171875), (1, 7956.49462890625)]","[(0, 13170.17578125), (1, 18766.98046875)]","[(0, 10417.21484375), (1, 7112.8173828125)]","[(0, 6574.96923828125), (1, 8036.345703125)]","[(0, 4913.45166015625), (1, 3653.71533203125)]","[(0, 2978.071044921875), (1, 4561.72021484375)]","[(0, 8882.216796875), (1, 5195.23046875)]","[(0, 66170.2421875), (1, 218151.453125)]","[(0, 6116.94873046875), (1, 5712.87841796875)]","[(0, 6240.712890625), (1, 3203.36669921875)]","[(0, 10143.4423828125), (1, 14841.443359375)]"
8,"[(0, 2552.585205078125), (1, 2242.224609375)]","[(0, 14802.2763671875), (1, 14563.7294921875)]","[(0, 4099.44677734375), (1, 6325.1669921875)]","[(0, 3823.116943359375), (1, 2572.398193359375)]","[(0, 655.6312866210938), (1, 792.3646240234375)]","[(0, 1757.6485595703125), (1, 1383.066650390625)]","[(0, 4138.29931640625), (1, 3427.241943359375)]","[(0, 31954.107421875), (1, 13770.0927734375)]","[(0, 15619.2666015625), (1, 1690.636474609375)]","[(0, 14158.9697265625), (1, 17568.56640625)]","[(0, 2683.923095703125), (1, 3203.06103515625)]","[(0, 23052.453125), (1, 4918.9560546875)]","[(0, 20622.427734375), (1, 23846.37890625)]","[(0, 5755.5283203125), (1, 6278.68017578125)]","[(0, 12905.751953125), (1, 5367.52099609375)]","[(0, 18392.44921875), (1, 15478.3828125)]","[(0, 3948.25048828125), (1, 3804.9990234375)]","[(0, 1670.7725830078125), (1, 1339.7403564453125)]","[(0, 2101.1826171875), (1, 2368.364013671875)]","[(0, 12986.11328125), (1, 6270.505859375)]","[(0, 5036.49462890625), (1, 4882.32421875)]","[(0, 3788.99755859375), (1, 3819.068115234375)]","[(0, 2958.8984375), (1, 2736.373046875)]"
9,"[(0, 10550.8212890625), (1, 9126.62109375)]","[(0, 11815.041015625), (1, 11822.2646484375)]","[(0, 5388.83740234375), (1, 8309.3515625)]","[(0, 4353.66259765625), (1, 2839.871826171875)]","[(0, 7094.76953125), (1, 7068.97705078125)]","[(0, 2290.656494140625), (1, 1214.51708984375)]","[(0, 2641.79736328125), (1, 2972.953369140625)]","[(0, 18974.587890625), (1, 4111.6904296875)]","[(0, 14108.2216796875), (1, 2314.7001953125)]","[(0, 100462.90625), (1, 128928.4140625)]","[(0, 2825.804931640625), (1, 3218.36474609375)]","[(0, 24778.841796875), (1, 4137.880859375)]","[(0, 28260.837890625), (1, 32465.419921875)]","[(0, 10350.9736328125), (1, 10543.10546875)]","[(0, 9027.6767578125), (1, 4376.9755859375)]","[(0, 9397.9130859375), (1, 11851.7509765625)]","[(0, 2004.867919921875), (1, 1758.8138427734375)]","[(0, 2028.187255859375), (1, 2879.76953125)]","[(0, 3228.76806640625), (1, 3180.2177734375)]","[(0, 5986.65185546875), (1, 15755.4228515625)]","[(0, 2828.92578125), (1, 2493.545166015625)]","[(0, 4448.76611328125), (1, 4482.77294921875)]","[(0, 5647.9375), (1, 5062.484375)]"
