,best
agreement_determiner_noun-across_1_adjective,0.5085
agreement_determiner_noun-between_neighbors,0.5235
agreement_subject_verb-across_prepositional_phrase,0.511
agreement_subject_verb-across_relative_clause,0.532
agreement_subject_verb-in_question_with_aux,0.5005
agreement_subject_verb-in_simple_question,0.5
anaphor_agreement-pronoun_gender,0.527
argument_structure-dropped_argument,0.9035
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6055
binding-principle_a,0.3095
case-subjective_pronoun,1.0
ellipsis-n_bar,0.1665
filler-gap-wh_question_object,0.357
filler-gap-wh_question_subject,0.702
irregular-verb,0.5475
island-effects-adjunct_island,0.601
island-effects-coordinate_structure_constraint,0.4755
local_attractor-in_question_with_aux,0.522
npi_licensing-matrix_question,0.2165
npi_licensing-only_npi_licensor,0.465
quantifiers-existential_there,0.7105
quantifiers-superlative,0.488
