,best
agreement_determiner_noun-across_1_adjective,0.505
agreement_determiner_noun-between_neighbors,0.521
agreement_subject_verb-across_prepositional_phrase,0.505
agreement_subject_verb-across_relative_clause,0.5025
agreement_subject_verb-in_question_with_aux,0.506
agreement_subject_verb-in_simple_question,0.496
anaphor_agreement-pronoun_gender,0.5085
argument_structure-dropped_argument,0.949
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.534
binding-principle_a,0.253
case-subjective_pronoun,0.9985
ellipsis-n_bar,0.2355
filler-gap-wh_question_object,0.2585
filler-gap-wh_question_subject,0.9845
irregular-verb,0.54
island-effects-adjunct_island,0.5125
island-effects-coordinate_structure_constraint,0.5775
local_attractor-in_question_with_aux,0.6555
npi_licensing-matrix_question,0.4095
npi_licensing-only_npi_licensor,0.9975
quantifiers-existential_there,0.596
quantifiers-superlative,0.3375
