,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 499.0203552246094), (1, 411.5856628417969)]","[(0, 1394.7745361328125), (1, 1094.57275390625)]","[(0, 1368.8436279296875), (1, 998.6886596679688)]","[(0, 1172.75732421875), (1, 1049.1781005859375)]","[(0, 295.4974365234375), (1, 220.50076293945312)]","[(0, 662.2291870117188), (1, 267.8375549316406)]","[(0, 12861.126953125), (1, 11098.1865234375)]","[(0, 1724.5421142578125), (1, 466.3531799316406)]","[(0, 4848.94775390625), (1, 2833.109375)]","[(0, 17650.908203125), (1, 12172.0263671875)]","[(0, 5049.1181640625), (1, 6282.171875)]","[(0, 3215.158935546875), (1, 1773.7938232421875)]","[(0, 6248.55615234375), (1, 8644.810546875)]","[(0, 2297.5), (1, 2046.72119140625)]","[(0, 4231.9169921875), (1, 2687.11279296875)]","[(0, 2400.748779296875), (1, 2101.496337890625)]","[(0, 2694.7333984375), (1, 2061.71875)]","[(0, 2088.4140625), (1, 1788.54150390625)]","[(0, 1009.9532470703125), (1, 1180.240478515625)]","[(0, 1328.108642578125), (1, 945.962890625)]","[(0, 7037.966796875), (1, 6794.30615234375)]","[(0, 1233.2965087890625), (1, 1034.0382080078125)]","[(0, 954.6135864257812), (1, 876.9664306640625)]"
1,"[(0, 854.216796875), (1, 728.35205078125)]","[(0, 1352.9510498046875), (1, 1070.02490234375)]","[(0, 1484.7906494140625), (1, 1127.4420166015625)]","[(0, 768.076904296875), (1, 691.4482421875)]","[(0, 247.84938049316406), (1, 173.8704376220703)]","[(0, 471.8834533691406), (1, 185.04405212402344)]","[(0, 4089.076171875), (1, 4678.4169921875)]","[(0, 2693.924072265625), (1, 1090.2706298828125)]","[(0, 1774.7474365234375), (1, 980.6864624023438)]","[(0, 16988.947265625), (1, 17021.7890625)]","[(0, 6945.001953125), (1, 8237.7568359375)]","[(0, 3123.373779296875), (1, 1822.62890625)]","[(0, 4370.71923828125), (1, 5888.76953125)]","[(0, 2391.979736328125), (1, 2376.417236328125)]","[(0, 4577.98046875), (1, 2727.418701171875)]","[(0, 1580.833251953125), (1, 1722.158203125)]","[(0, 1395.3173828125), (1, 1103.8531494140625)]","[(0, 1622.2845458984375), (1, 2028.746337890625)]","[(0, 3025.1162109375), (1, 2499.951416015625)]","[(0, 1136.8677978515625), (1, 1116.0792236328125)]","[(0, 3518.4716796875), (1, 2801.64501953125)]","[(0, 1702.6455078125), (1, 1500.013671875)]","[(0, 3370.859130859375), (1, 3229.251708984375)]"
2,"[(0, 406.48028564453125), (1, 342.4963073730469)]","[(0, 1642.8497314453125), (1, 1033.8887939453125)]","[(0, 1326.8350830078125), (1, 984.9750366210938)]","[(0, 808.1290283203125), (1, 757.0857543945312)]","[(0, 306.2963562011719), (1, 244.7593994140625)]","[(0, 344.4296875), (1, 175.7744903564453)]","[(0, 3286.229248046875), (1, 2736.90673828125)]","[(0, 1150.632080078125), (1, 902.5859985351562)]","[(0, 2721.02734375), (1, 2106.24755859375)]","[(0, 15386.8095703125), (1, 16018.55859375)]","[(0, 5697.7255859375), (1, 5365.0693359375)]","[(0, 1762.6331787109375), (1, 894.571044921875)]","[(0, 4812.919921875), (1, 5332.703125)]","[(0, 1373.6693115234375), (1, 1347.4412841796875)]","[(0, 5640.353515625), (1, 3389.11669921875)]","[(0, 4503.64111328125), (1, 3514.665283203125)]","[(0, 4936.83349609375), (1, 5133.92529296875)]","[(0, 795.5238647460938), (1, 662.3936767578125)]","[(0, 1445.9044189453125), (1, 1493.3231201171875)]","[(0, 3520.962158203125), (1, 3565.749755859375)]","[(0, 3755.89892578125), (1, 3885.46337890625)]","[(0, 2465.64892578125), (1, 1891.9619140625)]","[(0, 1120.596435546875), (1, 1380.8538818359375)]"
3,"[(0, 2250.974609375), (1, 1948.7353515625)]","[(0, 1566.1336669921875), (1, 1029.162353515625)]","[(0, 1404.341796875), (1, 1077.027587890625)]","[(0, 706.3575439453125), (1, 654.6032104492188)]","[(0, 1805.051513671875), (1, 1503.9500732421875)]","[(0, 3111.17919921875), (1, 1204.721435546875)]","[(0, 1287.341064453125), (1, 1445.9974365234375)]","[(0, 2341.512939453125), (1, 1357.6888427734375)]","[(0, 3111.434326171875), (1, 892.196533203125)]","[(0, 20836.8828125), (1, 23980.361328125)]","[(0, 7255.568359375), (1, 7111.80029296875)]","[(0, 2234.520751953125), (1, 1810.0531005859375)]","[(0, 4933.21875), (1, 5686.619140625)]","[(0, 1255.83056640625), (1, 1126.9007568359375)]","[(0, 4923.07177734375), (1, 3197.8603515625)]","[(0, 2474.804443359375), (1, 3063.330322265625)]","[(0, 2720.767822265625), (1, 3046.310791015625)]","[(0, 1247.08056640625), (1, 1410.3936767578125)]","[(0, 1171.8572998046875), (1, 1076.01318359375)]","[(0, 3423.906494140625), (1, 7579.29931640625)]","[(0, 2809.0009765625), (1, 2799.48974609375)]","[(0, 2840.19677734375), (1, 2061.973388671875)]","[(0, 1660.6663818359375), (1, 2879.26416015625)]"
4,"[(0, 507.22869873046875), (1, 425.87335205078125)]","[(0, 2021.6572265625), (1, 2166.18994140625)]","[(0, 1249.6705322265625), (1, 1762.2037353515625)]","[(0, 746.3312377929688), (1, 698.7620239257812)]","[(0, 1476.259765625), (1, 1249.2607421875)]","[(0, 463.357666015625), (1, 224.2147674560547)]","[(0, 7194.24560546875), (1, 6751.140625)]","[(0, 3174.76025390625), (1, 2614.459228515625)]","[(0, 2311.56103515625), (1, 1491.76025390625)]","[(0, 9627.5244140625), (1, 7134.21728515625)]","[(0, 3726.933349609375), (1, 4139.17919921875)]","[(0, 3977.69140625), (1, 1634.338623046875)]","[(0, 3354.54248046875), (1, 3299.056396484375)]","[(0, 1737.708251953125), (1, 1961.3240966796875)]","[(0, 3373.998291015625), (1, 2519.266845703125)]","[(0, 2223.39892578125), (1, 1290.3775634765625)]","[(0, 2034.2532958984375), (1, 2622.776611328125)]","[(0, 771.7510986328125), (1, 751.6319580078125)]","[(0, 1159.7327880859375), (1, 1132.43115234375)]","[(0, 4944.51806640625), (1, 6094.6875)]","[(0, 1075.007568359375), (1, 1005.30126953125)]","[(0, 1526.352294921875), (1, 1169.357666015625)]","[(0, 2638.773193359375), (1, 5107.880859375)]"
5,"[(0, 981.4891357421875), (1, 857.0013427734375)]","[(0, 2110.797119140625), (1, 2153.91650390625)]","[(0, 1191.976806640625), (1, 1633.7230224609375)]","[(0, 766.461669921875), (1, 717.6309204101562)]","[(0, 1287.9561767578125), (1, 1057.332275390625)]","[(0, 984.9577026367188), (1, 434.5136413574219)]","[(0, 2894.393798828125), (1, 3226.17333984375)]","[(0, 2888.516357421875), (1, 1736.3157958984375)]","[(0, 2966.447998046875), (1, 1362.1624755859375)]","[(0, 16852.318359375), (1, 19486.76953125)]","[(0, 7058.07080078125), (1, 7679.0263671875)]","[(0, 2041.8763427734375), (1, 1372.5582275390625)]","[(0, 3550.9541015625), (1, 3868.149169921875)]","[(0, 3144.04541015625), (1, 2638.015869140625)]","[(0, 2637.861083984375), (1, 2061.2666015625)]","[(0, 1674.331298828125), (1, 1755.80322265625)]","[(0, 1401.4552001953125), (1, 1584.188232421875)]","[(0, 933.0911865234375), (1, 989.3994140625)]","[(0, 6808.3681640625), (1, 5050.78955078125)]","[(0, 3247.801025390625), (1, 12960.587890625)]","[(0, 1216.320068359375), (1, 1039.024658203125)]","[(0, 2103.212646484375), (1, 1665.414794921875)]","[(0, 820.0391235351562), (1, 845.6641235351562)]"
6,"[(0, 439.30718994140625), (1, 372.35296630859375)]","[(0, 2202.915283203125), (1, 2270.359619140625)]","[(0, 1237.2593994140625), (1, 1712.9853515625)]","[(0, 419.09130859375), (1, 382.0694580078125)]","[(0, 358.52197265625), (1, 505.64910888671875)]","[(0, 538.87060546875), (1, 276.5892028808594)]","[(0, 4659.39111328125), (1, 3924.292724609375)]","[(0, 3980.97021484375), (1, 1656.7093505859375)]","[(0, 2009.0758056640625), (1, 1376.8734130859375)]","[(0, 19423.01953125), (1, 19977.802734375)]","[(0, 3402.059814453125), (1, 3709.345703125)]","[(0, 4724.53125), (1, 2793.935546875)]","[(0, 2606.86328125), (1, 3295.107177734375)]","[(0, 3178.128662109375), (1, 3826.177001953125)]","[(0, 4552.26806640625), (1, 2742.238037109375)]","[(0, 3636.3310546875), (1, 3157.5400390625)]","[(0, 3971.10791015625), (1, 3253.08935546875)]","[(0, 1363.84912109375), (1, 1439.365234375)]","[(0, 1532.53955078125), (1, 1354.04443359375)]","[(0, 7326.001953125), (1, 3582.086181640625)]","[(0, 2984.70166015625), (1, 2872.45556640625)]","[(0, 2882.51708984375), (1, 2543.60986328125)]","[(0, 1430.451171875), (1, 1272.3052978515625)]"
7,"[(0, 2212.405517578125), (1, 1948.604248046875)]","[(0, 2273.504638671875), (1, 2275.384033203125)]","[(0, 1198.8031005859375), (1, 1626.8106689453125)]","[(0, 1211.6214599609375), (1, 1319.616943359375)]","[(0, 193.0061492919922), (1, 285.40020751953125)]","[(0, 728.9840698242188), (1, 272.810791015625)]","[(0, 2021.1068115234375), (1, 2307.6572265625)]","[(0, 2672.00244140625), (1, 912.3610229492188)]","[(0, 3634.372314453125), (1, 1952.8553466796875)]","[(0, 7157.79736328125), (1, 5543.68505859375)]","[(0, 6264.3134765625), (1, 6158.63720703125)]","[(0, 1959.373291015625), (1, 1402.74755859375)]","[(0, 1244.2757568359375), (1, 1692.0269775390625)]","[(0, 5471.25634765625), (1, 4897.6064453125)]","[(0, 3450.382080078125), (1, 2170.479736328125)]","[(0, 3327.938720703125), (1, 3283.353515625)]","[(0, 2384.620849609375), (1, 1831.37548828125)]","[(0, 989.5819702148438), (1, 1642.3641357421875)]","[(0, 900.1005249023438), (1, 926.2708740234375)]","[(0, 11001.439453125), (1, 16488.173828125)]","[(0, 2643.634521484375), (1, 2252.93017578125)]","[(0, 2335.99169921875), (1, 2172.216064453125)]","[(0, 2680.478759765625), (1, 5786.6240234375)]"
8,"[(0, 479.5491027832031), (1, 504.1520690917969)]","[(0, 1778.4256591796875), (1, 1720.446044921875)]","[(0, 1173.239990234375), (1, 1148.5833740234375)]","[(0, 731.2592163085938), (1, 782.9013671875)]","[(0, 281.9361877441406), (1, 356.8217468261719)]","[(0, 672.4576416015625), (1, 236.5669708251953)]","[(0, 3458.182861328125), (1, 2921.463134765625)]","[(0, 2438.4560546875), (1, 1413.833740234375)]","[(0, 1835.0302734375), (1, 1222.8489990234375)]","[(0, 1558.6494140625), (1, 1558.8953857421875)]","[(0, 2356.7841796875), (1, 2526.42333984375)]","[(0, 2898.131103515625), (1, 1400.240234375)]","[(0, 7262.94140625), (1, 8150.6552734375)]","[(0, 1751.291259765625), (1, 2196.7119140625)]","[(0, 5828.005859375), (1, 2772.253662109375)]","[(0, 6941.20751953125), (1, 5419.93115234375)]","[(0, 1797.8453369140625), (1, 1917.78662109375)]","[(0, 505.36419677734375), (1, 459.17010498046875)]","[(0, 1535.4581298828125), (1, 1439.6534423828125)]","[(0, 1828.49267578125), (1, 1575.5556640625)]","[(0, 3144.264404296875), (1, 2955.273193359375)]","[(0, 1629.885498046875), (1, 1542.064697265625)]","[(0, 950.7069091796875), (1, 1092.0062255859375)]"
9,"[(0, 985.5599365234375), (1, 1086.322509765625)]","[(0, 1847.243896484375), (1, 1733.957763671875)]","[(0, 1433.499267578125), (1, 1419.3477783203125)]","[(0, 828.3364868164062), (1, 856.3971557617188)]","[(0, 1938.06640625), (1, 2266.473388671875)]","[(0, 556.0358276367188), (1, 262.72650146484375)]","[(0, 2892.164306640625), (1, 3318.646240234375)]","[(0, 5078.04443359375), (1, 1281.13037109375)]","[(0, 2326.79345703125), (1, 1263.9931640625)]","[(0, 4477.193359375), (1, 3851.40087890625)]","[(0, 1746.30859375), (1, 1712.7451171875)]","[(0, 1526.1826171875), (1, 764.6324462890625)]","[(0, 7207.75341796875), (1, 8275.8759765625)]","[(0, 2653.329833984375), (1, 3084.631103515625)]","[(0, 5745.3056640625), (1, 2648.3623046875)]","[(0, 4533.037109375), (1, 4933.44482421875)]","[(0, 1101.2901611328125), (1, 1115.3590087890625)]","[(0, 876.9945068359375), (1, 1218.84619140625)]","[(0, 2776.251220703125), (1, 1890.958984375)]","[(0, 1103.4974365234375), (1, 1843.085693359375)]","[(0, 1352.8787841796875), (1, 1179.5029296875)]","[(0, 1466.8585205078125), (1, 1276.3681640625)]","[(0, 2029.3143310546875), (1, 1965.75)]"
10,"[(0, 437.9629211425781), (1, 513.0191040039062)]","[(0, 2106.10205078125), (1, 1907.8575439453125)]","[(0, 1087.6649169921875), (1, 1071.6246337890625)]","[(0, 751.5985717773438), (1, 796.0851440429688)]","[(0, 1457.3746337890625), (1, 1719.5716552734375)]","[(0, 3186.572021484375), (1, 1190.7012939453125)]","[(0, 673.9429321289062), (1, 537.464599609375)]","[(0, 8927.830078125), (1, 3252.22705078125)]","[(0, 1823.3634033203125), (1, 1062.51220703125)]","[(0, 6407.22509765625), (1, 7150.17626953125)]","[(0, 2945.540771484375), (1, 3503.935546875)]","[(0, 3096.66552734375), (1, 1271.5618896484375)]","[(0, 5742.63818359375), (1, 4735.4658203125)]","[(0, 1111.3756103515625), (1, 1513.93896484375)]","[(0, 3309.534423828125), (1, 2624.381591796875)]","[(0, 1933.06689453125), (1, 2420.412353515625)]","[(0, 4426.6279296875), (1, 2629.79052734375)]","[(0, 2540.487548828125), (1, 2701.242919921875)]","[(0, 3897.47265625), (1, 3461.208251953125)]","[(0, 2701.82666015625), (1, 2314.548095703125)]","[(0, 4347.107421875), (1, 4118.38525390625)]","[(0, 1949.0159912109375), (1, 1495.43310546875)]","[(0, 2199.3427734375), (1, 4424.044921875)]"
11,"[(0, 1988.1363525390625), (1, 1953.80712890625)]","[(0, 2107.894287109375), (1, 1883.6998291015625)]","[(0, 1305.524658203125), (1, 1301.095458984375)]","[(0, 805.5121459960938), (1, 838.818359375)]","[(0, 1330.07080078125), (1, 1614.394775390625)]","[(0, 495.05340576171875), (1, 236.9788360595703)]","[(0, 875.477783203125), (1, 1058.1951904296875)]","[(0, 9720.9091796875), (1, 6288.1181640625)]","[(0, 1762.290283203125), (1, 778.9390258789062)]","[(0, 74266.8359375), (1, 35160.91796875)]","[(0, 1591.6168212890625), (1, 1685.1427001953125)]","[(0, 1396.416259765625), (1, 509.1986083984375)]","[(0, 3073.812744140625), (1, 2567.121826171875)]","[(0, 1546.55224609375), (1, 1623.1116943359375)]","[(0, 2001.1954345703125), (1, 1658.6998291015625)]","[(0, 2863.52685546875), (1, 2108.5185546875)]","[(0, 3196.75634765625), (1, 1908.347900390625)]","[(0, 1996.7783203125), (1, 1792.986083984375)]","[(0, 5075.671875), (1, 4806.4248046875)]","[(0, 2512.649169921875), (1, 3299.396484375)]","[(0, 2736.730712890625), (1, 2439.096923828125)]","[(0, 1471.010009765625), (1, 1074.4765625)]","[(0, 1684.4107666015625), (1, 1624.1103515625)]"
12,"[(0, 552.077392578125), (1, 589.9826049804688)]","[(0, 2592.774169921875), (1, 2520.95654296875)]","[(0, 1203.65234375), (1, 1209.460205078125)]","[(0, 876.6378173828125), (1, 905.048583984375)]","[(0, 1433.655029296875), (1, 1200.2867431640625)]","[(0, 1115.64990234375), (1, 498.44012451171875)]","[(0, 5279.0869140625), (1, 4766.20166015625)]","[(0, 5411.44580078125), (1, 2772.17041015625)]","[(0, 2051.613525390625), (1, 1307.2103271484375)]","[(0, 8413.32421875), (1, 10735.29296875)]","[(0, 2115.443359375), (1, 2287.8935546875)]","[(0, 1916.3597412109375), (1, 1393.091552734375)]","[(0, 3179.059326171875), (1, 2628.5146484375)]","[(0, 2005.2188720703125), (1, 2315.251220703125)]","[(0, 2478.72900390625), (1, 1841.78564453125)]","[(0, 1416.8585205078125), (1, 1050.8935546875)]","[(0, 1524.7947998046875), (1, 2084.247802734375)]","[(0, 690.3258666992188), (1, 843.5855712890625)]","[(0, 758.8155517578125), (1, 962.2719116210938)]","[(0, 2442.851806640625), (1, 1283.956298828125)]","[(0, 11369.9365234375), (1, 10818.7587890625)]","[(0, 2992.37109375), (1, 2329.69091796875)]","[(0, 2378.021240234375), (1, 2132.0947265625)]"
13,"[(0, 1023.0634765625), (1, 1092.900146484375)]","[(0, 2759.1279296875), (1, 2661.641357421875)]","[(0, 1459.56103515625), (1, 1466.933349609375)]","[(0, 574.621826171875), (1, 590.272216796875)]","[(0, 1561.097900390625), (1, 1815.3604736328125)]","[(0, 553.3809814453125), (1, 283.4249572753906)]","[(0, 2347.696533203125), (1, 2554.9755859375)]","[(0, 3617.694091796875), (1, 1537.7537841796875)]","[(0, 1956.46240234375), (1, 1161.1881103515625)]","[(0, 3089.2177734375), (1, 833.9551391601562)]","[(0, 833.9539184570312), (1, 843.0659790039062)]","[(0, 2606.660400390625), (1, 1026.2457275390625)]","[(0, 2383.9228515625), (1, 1929.1009521484375)]","[(0, 3611.947265625), (1, 3361.998046875)]","[(0, 1949.2686767578125), (1, 1512.5731201171875)]","[(0, 1059.927978515625), (1, 1090.4110107421875)]","[(0, 1065.5701904296875), (1, 1578.7578125)]","[(0, 1036.476806640625), (1, 1338.5462646484375)]","[(0, 2960.600341796875), (1, 2125.589111328125)]","[(0, 2618.6962890625), (1, 3830.353759765625)]","[(0, 4529.373046875), (1, 3928.1123046875)]","[(0, 2578.323486328125), (1, 1794.33154296875)]","[(0, 1113.02392578125), (1, 979.5731811523438)]"
14,"[(0, 492.7679748535156), (1, 561.71875)]","[(0, 2670.963134765625), (1, 2627.182373046875)]","[(0, 1200.659423828125), (1, 1192.0750732421875)]","[(0, 1360.4449462890625), (1, 1461.303466796875)]","[(0, 504.60498046875), (1, 184.80157470703125)]","[(0, 271.6386413574219), (1, 691.01220703125)]","[(0, 1615.499755859375), (1, 1416.2264404296875)]","[(0, 8299.53125), (1, 6434.0693359375)]","[(0, 3210.15869140625), (1, 1554.5625)]","[(0, 30500.33203125), (1, 20922.6875)]","[(0, 1997.37255859375), (1, 2456.615966796875)]","[(0, 2333.657958984375), (1, 1368.008544921875)]","[(0, 1652.732666015625), (1, 1596.0240478515625)]","[(0, 1408.0423583984375), (1, 2000.588623046875)]","[(0, 2866.777099609375), (1, 1738.4681396484375)]","[(0, 1066.576171875), (1, 792.5803833007812)]","[(0, 5622.39453125), (1, 7762.38232421875)]","[(0, 1696.7841796875), (1, 2351.8974609375)]","[(0, 538.2740478515625), (1, 499.3379211425781)]","[(0, 4288.2216796875), (1, 5935.26708984375)]","[(0, 8139.10498046875), (1, 7877.98583984375)]","[(0, 2333.897216796875), (1, 1636.2584228515625)]","[(0, 1186.68896484375), (1, 1227.9718017578125)]"
15,"[(0, 2395.124267578125), (1, 2385.0791015625)]","[(0, 2851.5986328125), (1, 2722.993896484375)]","[(0, 1504.31298828125), (1, 1470.3936767578125)]","[(0, 831.7617797851562), (1, 870.7332763671875)]","[(0, 403.8096923828125), (1, 165.20433044433594)]","[(0, 168.262939453125), (1, 453.693603515625)]","[(0, 1134.3194580078125), (1, 1275.1939697265625)]","[(0, 4192.4384765625), (1, 2592.981689453125)]","[(0, 2359.505126953125), (1, 2074.021240234375)]","[(0, 20093.193359375), (1, 16063.810546875)]","[(0, 875.0245361328125), (1, 950.4426879882812)]","[(0, 2070.896484375), (1, 1277.099853515625)]","[(0, 1308.6273193359375), (1, 1184.7462158203125)]","[(0, 1753.8033447265625), (1, 2637.998291015625)]","[(0, 3314.97705078125), (1, 2081.97021484375)]","[(0, 619.6671752929688), (1, 663.0560913085938)]","[(0, 3543.38330078125), (1, 4759.021484375)]","[(0, 1079.7705078125), (1, 1894.4200439453125)]","[(0, 608.964111328125), (1, 550.800537109375)]","[(0, 6115.8291015625), (1, 7076.5380859375)]","[(0, 4004.387939453125), (1, 3422.864990234375)]","[(0, 2624.814697265625), (1, 1805.3131103515625)]","[(0, 988.6792602539062), (1, 1224.0472412109375)]"
