,best
agreement_determiner_noun-across_1_adjective,0.5145
agreement_determiner_noun-between_neighbors,0.5165
agreement_subject_verb-across_prepositional_phrase,0.499
agreement_subject_verb-across_relative_clause,0.498
agreement_subject_verb-in_question_with_aux,0.5115
agreement_subject_verb-in_simple_question,0.5
anaphor_agreement-pronoun_gender,0.4745
argument_structure-dropped_argument,0.478
argument_structure-swapped_arguments,0.94
argument_structure-transitive,0.4865
binding-principle_a,0.578
case-subjective_pronoun,0.97
ellipsis-n_bar,0.7705
filler-gap-wh_question_object,1.0
filler-gap-wh_question_subject,1.0
irregular-verb,0.494
island-effects-adjunct_island,0.8675
island-effects-coordinate_structure_constraint,0.217
local_attractor-in_question_with_aux,0.394
npi_licensing-matrix_question,0.663
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.2515
quantifiers-superlative,0.9995
