,best
agreement_determiner_noun-across_1_adjective,0.51
agreement_determiner_noun-between_neighbors,0.565
agreement_subject_verb-across_prepositional_phrase,0.5055
agreement_subject_verb-across_relative_clause,0.492
agreement_subject_verb-in_question_with_aux,0.501
agreement_subject_verb-in_simple_question,0.4985
anaphor_agreement-pronoun_gender,0.521
argument_structure-dropped_argument,0.7945
argument_structure-swapped_arguments,0.989
argument_structure-transitive,0.7085
binding-principle_a,0.3025
case-subjective_pronoun,0.9975
ellipsis-n_bar,0.296
filler-gap-wh_question_object,0.433
filler-gap-wh_question_subject,0.9225
irregular-verb,0.674
island-effects-adjunct_island,0.6105
island-effects-coordinate_structure_constraint,0.2995
local_attractor-in_question_with_aux,0.597
npi_licensing-matrix_question,0.428
npi_licensing-only_npi_licensor,0.8795
quantifiers-existential_there,0.6865
quantifiers-superlative,0.4285
