,best
agreement_determiner_noun-across_1_adjective,0.499
agreement_determiner_noun-between_neighbors,0.505
agreement_subject_verb-across_prepositional_phrase,0.5025
agreement_subject_verb-across_relative_clause,0.4985
agreement_subject_verb-in_question_with_aux,0.48
agreement_subject_verb-in_simple_question,0.4825
anaphor_agreement-pronoun_gender,0.549
argument_structure-dropped_argument,0.8155
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.4895
binding-principle_a,0.4635
case-subjective_pronoun,1.0
ellipsis-n_bar,0.223
filler-gap-wh_question_object,0.087
filler-gap-wh_question_subject,1.0
irregular-verb,0.482
island-effects-adjunct_island,0.4185
island-effects-coordinate_structure_constraint,0.4485
local_attractor-in_question_with_aux,0.834
npi_licensing-matrix_question,0.7075
npi_licensing-only_npi_licensor,0.972
quantifiers-existential_there,0.6855
quantifiers-superlative,0.0
