,best
agreement_determiner_noun-across_1_adjective,0.5105
agreement_determiner_noun-between_neighbors,0.5045
agreement_subject_verb-across_prepositional_phrase,0.4975
agreement_subject_verb-across_relative_clause,0.488
agreement_subject_verb-in_question_with_aux,0.512
agreement_subject_verb-in_simple_question,0.4985
anaphor_agreement-pronoun_gender,0.4725
argument_structure-dropped_argument,0.8365
argument_structure-swapped_arguments,0.8355
argument_structure-transitive,0.575
binding-principle_a,0.6165
case-subjective_pronoun,0.819
ellipsis-n_bar,0.4235
filler-gap-wh_question_object,0.047
filler-gap-wh_question_subject,0.979
irregular-verb,0.496
island-effects-adjunct_island,0.81
island-effects-coordinate_structure_constraint,0.093
local_attractor-in_question_with_aux,0.615
npi_licensing-matrix_question,0.703
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.379
quantifiers-superlative,0.9995
