,best
agreement_determiner_noun-across_1_adjective,0.502
agreement_determiner_noun-between_neighbors,0.4985
agreement_subject_verb-across_prepositional_phrase,0.497
agreement_subject_verb-across_relative_clause,0.4915
agreement_subject_verb-in_question_with_aux,0.4875
agreement_subject_verb-in_simple_question,0.5005
anaphor_agreement-pronoun_gender,0.5265
argument_structure-dropped_argument,0.926
argument_structure-swapped_arguments,0.9945
argument_structure-transitive,0.4865
binding-principle_a,0.3735
case-subjective_pronoun,0.952
ellipsis-n_bar,0.2635
filler-gap-wh_question_object,0.3835
filler-gap-wh_question_subject,1.0
irregular-verb,0.504
island-effects-adjunct_island,0.5165
island-effects-coordinate_structure_constraint,0.4005
local_attractor-in_question_with_aux,0.7185
npi_licensing-matrix_question,0.4425
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.675
quantifiers-superlative,0.4395
