,best
agreement_determiner_noun-across_1_adjective,0.518
agreement_determiner_noun-between_neighbors,0.5375
agreement_subject_verb-across_prepositional_phrase,0.5045
agreement_subject_verb-across_relative_clause,0.5005
agreement_subject_verb-in_question_with_aux,0.4765
agreement_subject_verb-in_simple_question,0.4885
anaphor_agreement-pronoun_gender,0.5025
argument_structure-dropped_argument,0.691
argument_structure-swapped_arguments,0.996
argument_structure-transitive,0.4685
binding-principle_a,0.5525
case-subjective_pronoun,0.9985
ellipsis-n_bar,0.381
filler-gap-wh_question_object,0.034
filler-gap-wh_question_subject,1.0
irregular-verb,0.4945
island-effects-adjunct_island,0.838
island-effects-coordinate_structure_constraint,0.176
local_attractor-in_question_with_aux,0.7615
npi_licensing-matrix_question,0.815
npi_licensing-only_npi_licensor,0.9995
quantifiers-existential_there,0.3645
quantifiers-superlative,0.216
