,best
agreement_determiner_noun-across_1_adjective,0.508
agreement_determiner_noun-between_neighbors,0.5235
agreement_subject_verb-across_prepositional_phrase,0.5005
agreement_subject_verb-across_relative_clause,0.4995
agreement_subject_verb-in_question_with_aux,0.514
agreement_subject_verb-in_simple_question,0.4995
anaphor_agreement-pronoun_gender,0.4895
argument_structure-dropped_argument,0.6575
argument_structure-swapped_arguments,0.9535
argument_structure-transitive,0.4315
binding-principle_a,0.589
case-subjective_pronoun,0.9845
ellipsis-n_bar,0.68
filler-gap-wh_question_object,0.6275
filler-gap-wh_question_subject,1.0
irregular-verb,0.4895
island-effects-adjunct_island,0.946
island-effects-coordinate_structure_constraint,0.147
local_attractor-in_question_with_aux,0.5545
npi_licensing-matrix_question,0.6995
npi_licensing-only_npi_licensor,1.0
quantifiers-existential_there,0.5395
quantifiers-superlative,0.9965
