,agreement_determiner_noun-across_1_adjective,agreement_determiner_noun-between_neighbors,agreement_subject_verb-across_prepositional_phrase,agreement_subject_verb-across_relative_clause,agreement_subject_verb-in_question_with_aux,agreement_subject_verb-in_simple_question,anaphor_agreement-pronoun_gender,argument_structure-dropped_argument,argument_structure-swapped_arguments,argument_structure-transitive,binding-principle_a,case-subjective_pronoun,ellipsis-n_bar,filler-gap-wh_question_object,filler-gap-wh_question_subject,irregular-verb,island-effects-adjunct_island,island-effects-coordinate_structure_constraint,local_attractor-in_question_with_aux,npi_licensing-matrix_question,npi_licensing-only_npi_licensor,quantifiers-existential_there,quantifiers-superlative
0,"[(0, 466.4036560058594), (1, 313.7979431152344)]","[(0, 953.7682495117188), (1, 902.4766845703125)]","[(0, 956.83984375), (1, 886.7903442382812)]","[(0, 1714.1513671875), (1, 1274.6815185546875)]","[(0, 611.9608764648438), (1, 530.9266357421875)]","[(0, 450.77899169921875), (1, 153.8088836669922)]","[(0, 7898.0791015625), (1, 6870.3056640625)]","[(0, 1149.546630859375), (1, 612.536376953125)]","[(0, 3255.463623046875), (1, 2883.19775390625)]","[(0, 11610.962890625), (1, 8076.82177734375)]","[(0, 3675.99658203125), (1, 4922.13330078125)]","[(0, 2823.135498046875), (1, 1067.6834716796875)]","[(0, 5482.18310546875), (1, 7341.01025390625)]","[(0, 1275.149658203125), (1, 1734.5260009765625)]","[(0, 3348.025390625), (1, 2025.8316650390625)]","[(0, 1160.3839111328125), (1, 1021.1952514648438)]","[(0, 3098.003662109375), (1, 2538.21484375)]","[(0, 1854.16796875), (1, 1981.571044921875)]","[(0, 1147.7232666015625), (1, 1216.274169921875)]","[(0, 1179.212646484375), (1, 1091.593994140625)]","[(0, 3664.11376953125), (1, 4241.6025390625)]","[(0, 1311.183837890625), (1, 1247.5616455078125)]","[(0, 677.9354248046875), (1, 601.4718017578125)]"
1,"[(0, 1316.662841796875), (1, 1218.018310546875)]","[(0, 895.7495727539062), (1, 827.7114868164062)]","[(0, 912.5476684570312), (1, 850.66015625)]","[(0, 693.2689819335938), (1, 512.129638671875)]","[(0, 588.8028564453125), (1, 426.4962463378906)]","[(0, 361.3106689453125), (1, 114.63236999511719)]","[(0, 5052.69775390625), (1, 5271.90771484375)]","[(0, 1078.74072265625), (1, 738.256591796875)]","[(0, 1453.7266845703125), (1, 903.305908203125)]","[(0, 13182.0380859375), (1, 9997.07421875)]","[(0, 4238.16943359375), (1, 4771.80078125)]","[(0, 2249.897216796875), (1, 904.5757446289062)]","[(0, 5466.21826171875), (1, 5400.03173828125)]","[(0, 1488.8232421875), (1, 2041.471435546875)]","[(0, 3949.971435546875), (1, 2344.7822265625)]","[(0, 1234.052978515625), (1, 1219.1717529296875)]","[(0, 1783.460693359375), (1, 1517.476806640625)]","[(0, 1532.704833984375), (1, 2146.62451171875)]","[(0, 3848.5517578125), (1, 3831.650634765625)]","[(0, 838.3772583007812), (1, 958.1903686523438)]","[(0, 1265.2064208984375), (1, 1339.3544921875)]","[(0, 1474.794921875), (1, 1492.58056640625)]","[(0, 3336.8720703125), (1, 2848.23779296875)]"
2,"[(0, 513.9169311523438), (1, 588.8583984375)]","[(0, 862.1197509765625), (1, 752.7119140625)]","[(0, 971.3416748046875), (1, 911.5899658203125)]","[(0, 830.1336669921875), (1, 651.7412719726562)]","[(0, 708.2178955078125), (1, 558.2237548828125)]","[(0, 378.05364990234375), (1, 175.15985107421875)]","[(0, 1256.4732666015625), (1, 969.6807861328125)]","[(0, 711.3328857421875), (1, 670.6202392578125)]","[(0, 1972.8529052734375), (1, 1424.45654296875)]","[(0, 5185.00927734375), (1, 7920.96435546875)]","[(0, 4151.50927734375), (1, 4299.1220703125)]","[(0, 2183.430419921875), (1, 925.0698852539062)]","[(0, 4266.50439453125), (1, 3654.063720703125)]","[(0, 1224.535400390625), (1, 1066.4490966796875)]","[(0, 3285.86572265625), (1, 2084.69287109375)]","[(0, 1686.5316162109375), (1, 997.1730346679688)]","[(0, 5680.01708984375), (1, 5806.15966796875)]","[(0, 941.8500366210938), (1, 997.3994140625)]","[(0, 1338.9522705078125), (1, 1266.5440673828125)]","[(0, 2690.908203125), (1, 3929.92578125)]","[(0, 3189.177490234375), (1, 3107.78076171875)]","[(0, 1949.0140380859375), (1, 1755.542724609375)]","[(0, 904.4178466796875), (1, 1363.5694580078125)]"
3,"[(0, 1490.1663818359375), (1, 976.6217651367188)]","[(0, 752.7100830078125), (1, 651.2022705078125)]","[(0, 867.74072265625), (1, 820.9248657226562)]","[(0, 713.4002075195312), (1, 538.7323608398438)]","[(0, 2044.9251708984375), (1, 1609.9222412109375)]","[(0, 4147.33837890625), (1, 1592.315185546875)]","[(0, 615.0997314453125), (1, 739.9390869140625)]","[(0, 1761.22509765625), (1, 1175.9234619140625)]","[(0, 3196.27783203125), (1, 1024.2408447265625)]","[(0, 7791.36669921875), (1, 8724.185546875)]","[(0, 5310.00830078125), (1, 4408.67626953125)]","[(0, 2247.785888671875), (1, 1216.2203369140625)]","[(0, 3537.434326171875), (1, 2983.634521484375)]","[(0, 1058.7025146484375), (1, 994.193359375)]","[(0, 3929.54345703125), (1, 2565.34375)]","[(0, 942.193603515625), (1, 1278.8330078125)]","[(0, 3208.19091796875), (1, 3453.805908203125)]","[(0, 1466.61083984375), (1, 1752.5919189453125)]","[(0, 1447.9913330078125), (1, 1203.501953125)]","[(0, 1749.7628173828125), (1, 5949.49169921875)]","[(0, 2248.16943359375), (1, 2067.45703125)]","[(0, 1983.0257568359375), (1, 1717.9267578125)]","[(0, 1048.3909912109375), (1, 1774.9666748046875)]"
4,"[(0, 577.5126342773438), (1, 391.1876220703125)]","[(0, 1091.6439208984375), (1, 1087.8360595703125)]","[(0, 1061.6705322265625), (1, 1178.9046630859375)]","[(0, 741.6378173828125), (1, 563.6736450195312)]","[(0, 1926.4130859375), (1, 1618.7786865234375)]","[(0, 527.9456787109375), (1, 249.1258544921875)]","[(0, 4550.857421875), (1, 4739.4140625)]","[(0, 1214.0242919921875), (1, 920.83349609375)]","[(0, 1475.9029541015625), (1, 764.6014404296875)]","[(0, 6877.509765625), (1, 4404.537109375)]","[(0, 2527.39208984375), (1, 2909.98046875)]","[(0, 2958.610595703125), (1, 729.2904052734375)]","[(0, 2614.51904296875), (1, 2738.000732421875)]","[(0, 723.07763671875), (1, 1138.8009033203125)]","[(0, 2792.03759765625), (1, 2042.9212646484375)]","[(0, 684.456787109375), (1, 635.4584350585938)]","[(0, 3308.729736328125), (1, 2579.939453125)]","[(0, 1276.2232666015625), (1, 896.370849609375)]","[(0, 1146.645751953125), (1, 1060.84716796875)]","[(0, 4110.46728515625), (1, 3610.903564453125)]","[(0, 1423.23779296875), (1, 1272.83935546875)]","[(0, 1218.70849609375), (1, 957.4107666015625)]","[(0, 1800.6148681640625), (1, 4227.541015625)]"
5,"[(0, 1345.9468994140625), (1, 1194.2916259765625)]","[(0, 1007.2003784179688), (1, 1060.1800537109375)]","[(0, 1026.0616455078125), (1, 1136.20068359375)]","[(0, 872.1024780273438), (1, 668.4559936523438)]","[(0, 1816.9866943359375), (1, 1375.240234375)]","[(0, 1565.8013916015625), (1, 584.2505493164062)]","[(0, 2910.41064453125), (1, 2975.338623046875)]","[(0, 1927.6590576171875), (1, 950.478515625)]","[(0, 2767.402587890625), (1, 1174.364990234375)]","[(0, 8768.8369140625), (1, 7038.30224609375)]","[(0, 3319.73193359375), (1, 3640.991455078125)]","[(0, 1749.737060546875), (1, 1235.816650390625)]","[(0, 3315.897216796875), (1, 3301.5146484375)]","[(0, 1285.3763427734375), (1, 1582.0850830078125)]","[(0, 2933.985595703125), (1, 2232.691650390625)]","[(0, 843.5743408203125), (1, 654.4940185546875)]","[(0, 1883.3299560546875), (1, 1447.66552734375)]","[(0, 1217.197998046875), (1, 1029.703857421875)]","[(0, 3997.134521484375), (1, 3724.417724609375)]","[(0, 1944.2105712890625), (1, 7923.0419921875)]","[(0, 855.4107055664062), (1, 769.4013061523438)]","[(0, 1732.6915283203125), (1, 1334.7342529296875)]","[(0, 437.59466552734375), (1, 436.8543395996094)]"
6,"[(0, 522.3746948242188), (1, 544.4027709960938)]","[(0, 1157.228759765625), (1, 1150.7374267578125)]","[(0, 1112.205322265625), (1, 1196.9534912109375)]","[(0, 482.3638000488281), (1, 371.593994140625)]","[(0, 590.371826171875), (1, 670.6663208007812)]","[(0, 756.3125), (1, 316.4903564453125)]","[(0, 2355.738037109375), (1, 2443.219970703125)]","[(0, 2099.991943359375), (1, 1245.3104248046875)]","[(0, 1659.113525390625), (1, 1075.57568359375)]","[(0, 7313.9111328125), (1, 9092.1240234375)]","[(0, 2374.582275390625), (1, 2614.618896484375)]","[(0, 4414.1416015625), (1, 2582.265625)]","[(0, 1447.37841796875), (1, 2619.726806640625)]","[(0, 3105.282958984375), (1, 4202.365234375)]","[(0, 4191.58251953125), (1, 1894.575439453125)]","[(0, 3608.232421875), (1, 3166.6201171875)]","[(0, 3052.6796875), (1, 4289.673828125)]","[(0, 1358.7716064453125), (1, 1564.1595458984375)]","[(0, 1488.95947265625), (1, 1492.5478515625)]","[(0, 2939.268798828125), (1, 2819.7490234375)]","[(0, 1276.6146240234375), (1, 1420.204833984375)]","[(0, 2256.734130859375), (1, 1666.78759765625)]","[(0, 1494.87841796875), (1, 1238.7589111328125)]"
7,"[(0, 1629.6251220703125), (1, 1099.2147216796875)]","[(0, 1016.3795776367188), (1, 1044.239990234375)]","[(0, 1001.2324829101562), (1, 1077.065673828125)]","[(0, 1452.517578125), (1, 1912.1180419921875)]","[(0, 398.7646484375), (1, 526.9524536132812)]","[(0, 523.385009765625), (1, 190.1217041015625)]","[(0, 1429.240234375), (1, 1473.2935791015625)]","[(0, 2362.817626953125), (1, 464.1736755371094)]","[(0, 2750.980224609375), (1, 1336.150390625)]","[(0, 4452.19140625), (1, 3998.99560546875)]","[(0, 3107.18798828125), (1, 3500.205078125)]","[(0, 1787.1119384765625), (1, 755.8308715820312)]","[(0, 1375.5216064453125), (1, 2191.443115234375)]","[(0, 4745.63330078125), (1, 4966.56005859375)]","[(0, 3397.92578125), (1, 1612.7958984375)]","[(0, 3274.678955078125), (1, 3687.1298828125)]","[(0, 1831.3878173828125), (1, 2544.91162109375)]","[(0, 995.5748901367188), (1, 1753.212158203125)]","[(0, 994.953125), (1, 813.6885375976562)]","[(0, 3489.998779296875), (1, 5673.515625)]","[(0, 1027.922607421875), (1, 1080.9403076171875)]","[(0, 1790.4273681640625), (1, 1456.89306640625)]","[(0, 2167.687255859375), (1, 4892.56494140625)]"
8,"[(0, 474.020751953125), (1, 571.0748291015625)]","[(0, 1476.899658203125), (1, 1499.8770751953125)]","[(0, 1193.1334228515625), (1, 1054.506103515625)]","[(0, 562.1246948242188), (1, 736.8853149414062)]","[(0, 544.0389404296875), (1, 684.6898193359375)]","[(0, 503.7514953613281), (1, 173.75987243652344)]","[(0, 1895.69873046875), (1, 1888.9249267578125)]","[(0, 2292.317138671875), (1, 1114.3292236328125)]","[(0, 1254.0933837890625), (1, 779.940673828125)]","[(0, 1324.375732421875), (1, 1557.11083984375)]","[(0, 889.0364379882812), (1, 962.0975341796875)]","[(0, 1904.004150390625), (1, 1174.7901611328125)]","[(0, 7501.38525390625), (1, 7458.75537109375)]","[(0, 1062.4097900390625), (1, 1374.1055908203125)]","[(0, 4045.189208984375), (1, 2675.479248046875)]","[(0, 5206.9013671875), (1, 4493.94921875)]","[(0, 1994.9986572265625), (1, 2350.75146484375)]","[(0, 623.3630981445312), (1, 774.1253662109375)]","[(0, 1677.781494140625), (1, 1752.7322998046875)]","[(0, 1193.4326171875), (1, 1863.8994140625)]","[(0, 1906.6287841796875), (1, 1786.142333984375)]","[(0, 1294.475830078125), (1, 1050.884521484375)]","[(0, 610.009765625), (1, 899.6002197265625)]"
9,"[(0, 1660.746337890625), (1, 1697.9537353515625)]","[(0, 1465.5965576171875), (1, 1393.7667236328125)]","[(0, 1388.4837646484375), (1, 1253.2655029296875)]","[(0, 705.5782470703125), (1, 877.4934692382812)]","[(0, 1467.9703369140625), (1, 1852.2767333984375)]","[(0, 563.7828369140625), (1, 268.8789367675781)]","[(0, 1710.61328125), (1, 1721.9815673828125)]","[(0, 2533.381591796875), (1, 1450.8831787109375)]","[(0, 1382.081787109375), (1, 1062.4488525390625)]","[(0, 2281.7509765625), (1, 2858.030517578125)]","[(0, 799.1696166992188), (1, 886.1351928710938)]","[(0, 1663.1435546875), (1, 798.917724609375)]","[(0, 7486.84130859375), (1, 7353.9033203125)]","[(0, 1497.8544921875), (1, 1666.2337646484375)]","[(0, 4734.79248046875), (1, 2995.77197265625)]","[(0, 3577.34423828125), (1, 3332.661376953125)]","[(0, 1053.89697265625), (1, 1208.2652587890625)]","[(0, 1156.2657470703125), (1, 1437.14306640625)]","[(0, 2994.81494140625), (1, 1600.0985107421875)]","[(0, 1023.6621704101562), (1, 1312.481201171875)]","[(0, 882.6118774414062), (1, 772.1714477539062)]","[(0, 1368.7249755859375), (1, 1049.2071533203125)]","[(0, 1857.331298828125), (1, 1489.5794677734375)]"
