,best
agreement_determiner_noun-across_1_adjective,0.525
agreement_determiner_noun-between_neighbors,0.536
agreement_subject_verb-across_prepositional_phrase,0.529
agreement_subject_verb-across_relative_clause,0.5085
agreement_subject_verb-in_question_with_aux,0.5005
agreement_subject_verb-in_simple_question,0.502
anaphor_agreement-pronoun_gender,0.5275
argument_structure-dropped_argument,0.887
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.5845
binding-principle_a,0.413
case-subjective_pronoun,1.0
ellipsis-n_bar,0.1945
filler-gap-wh_question_object,0.2875
filler-gap-wh_question_subject,0.791
irregular-verb,0.581
island-effects-adjunct_island,0.739
island-effects-coordinate_structure_constraint,0.4605
local_attractor-in_question_with_aux,0.544
npi_licensing-matrix_question,0.4805
npi_licensing-only_npi_licensor,0.7265
quantifiers-existential_there,0.6995
quantifiers-superlative,0.5075
