,best
agreement_determiner_noun-across_1_adjective,0.5085
agreement_determiner_noun-between_neighbors,0.52
agreement_subject_verb-across_prepositional_phrase,0.4925
agreement_subject_verb-across_relative_clause,0.49
agreement_subject_verb-in_question_with_aux,0.514
agreement_subject_verb-in_simple_question,0.501
anaphor_agreement-pronoun_gender,0.52
argument_structure-dropped_argument,0.8035
argument_structure-swapped_arguments,0.9935
argument_structure-transitive,0.4905
binding-principle_a,0.3495
case-subjective_pronoun,0.9835
ellipsis-n_bar,0.4835
filler-gap-wh_question_object,0.743
filler-gap-wh_question_subject,0.999
irregular-verb,0.5215
island-effects-adjunct_island,0.6195
island-effects-coordinate_structure_constraint,0.1205
local_attractor-in_question_with_aux,0.732
npi_licensing-matrix_question,0.3795
npi_licensing-only_npi_licensor,0.17
quantifiers-existential_there,0.7485
quantifiers-superlative,0.5075
