,best
agreement_determiner_noun-across_1_adjective,0.505
agreement_determiner_noun-between_neighbors,0.576
agreement_subject_verb-across_prepositional_phrase,0.5085
agreement_subject_verb-across_relative_clause,0.522
agreement_subject_verb-in_question_with_aux,0.5
agreement_subject_verb-in_simple_question,0.5095
anaphor_agreement-pronoun_gender,0.506
argument_structure-dropped_argument,0.8005
argument_structure-swapped_arguments,0.9955
argument_structure-transitive,0.6785
binding-principle_a,0.386
case-subjective_pronoun,0.998
ellipsis-n_bar,0.5135
filler-gap-wh_question_object,0.215
filler-gap-wh_question_subject,0.9435
irregular-verb,0.696
island-effects-adjunct_island,0.4165
island-effects-coordinate_structure_constraint,0.6715
local_attractor-in_question_with_aux,0.5685
npi_licensing-matrix_question,0.1265
npi_licensing-only_npi_licensor,0.6225
quantifiers-existential_there,0.7865
quantifiers-superlative,0.468
