,best
agreement_determiner_noun-across_1_adjective,0.5105
agreement_determiner_noun-between_neighbors,0.5305
agreement_subject_verb-across_prepositional_phrase,0.505
agreement_subject_verb-across_relative_clause,0.526
agreement_subject_verb-in_question_with_aux,0.4995
agreement_subject_verb-in_simple_question,0.502
anaphor_agreement-pronoun_gender,0.5215
argument_structure-dropped_argument,0.91
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.6385
binding-principle_a,0.385
case-subjective_pronoun,1.0
ellipsis-n_bar,0.184
filler-gap-wh_question_object,0.369
filler-gap-wh_question_subject,0.701
irregular-verb,0.5795
island-effects-adjunct_island,0.6535
island-effects-coordinate_structure_constraint,0.463
local_attractor-in_question_with_aux,0.504
npi_licensing-matrix_question,0.1685
npi_licensing-only_npi_licensor,0.4795
quantifiers-existential_there,0.7285
quantifiers-superlative,0.487
