,epoch_10
anaphoric-one-semantics,0.0
anaphoric-one-syntax,0.344
island-adjunct,0.812
island-complex-np,0.15
island-wh,1.0
principle_a_command,0.482
principle_a_locality,0.312
question-formation_or,0.504
question-formation_or_strict,0.134
question-formation_rr,0.418
question-formation_rr_strict,0.164
question-formation_sr,0.484
question-formation_sr_strict,0.172
wanna,0.452
