,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 6557.87939453125), (1, 6464.98291015625)]","[(0, 8691.939453125), (1, 7933.5517578125)]","[(0, 5784.40625), (1, 5693.01123046875)]","[(0, 4221.03076171875), (1, 3981.817138671875)]","[(0, 5257.2119140625), (1, 3632.6015625)]","[(0, 5712.74267578125), (1, 6178.4736328125)]","[(0, 10544.5341796875), (1, 9846.2998046875)]","[(0, 5105.6552734375), (1, 4031.359375)]","[(0, 4682.80908203125), (1, 4428.11865234375)]","[(0, 3347.6201171875), (1, 3053.0234375)]","[(0, 5100.19970703125), (1, 5347.416015625)]"
1,"[(0, 9249.6181640625), (1, 9473.275390625)]","[(0, 8438.2978515625), (1, 7757.53515625)]","[(0, 3801.096435546875), (1, 3685.713134765625)]","[(0, 4870.0341796875), (1, 4756.638671875)]","[(0, 5001.033203125), (1, 3342.55419921875)]","[(0, 7382.228515625), (1, 7338.0078125)]","[(0, 8920.2294921875), (1, 8193.94921875)]","[(0, 2774.03759765625), (1, 2751.494384765625)]","[(0, 2837.520751953125), (1, 3212.756103515625)]","[(0, 3949.7568359375), (1, 4258.1708984375)]","[(0, 4468.99853515625), (1, 3989.301025390625)]"
2,"[(0, 7455.419921875), (1, 8285.984375)]","[(0, 8446.4541015625), (1, 8075.681640625)]","[(0, 4581.57958984375), (1, 4709.021484375)]","[(0, 5587.6923828125), (1, 5908.046875)]","[(0, 3263.663818359375), (1, 3397.3974609375)]","[(0, 7785.744140625), (1, 8225.5576171875)]","[(0, 2817.54345703125), (1, 2578.933349609375)]","[(0, 3173.721923828125), (1, 3816.348388671875)]","[(0, 2954.412353515625), (1, 3762.122314453125)]","[(0, 5858.52734375), (1, 5378.41455078125)]","[(0, 3940.497802734375), (1, 3926.501708984375)]"
3,"[(0, 8414.005859375), (1, 8657.72265625)]","[(0, 6951.78076171875), (1, 6335.9130859375)]","[(0, 8248.1484375), (1, 8297.1416015625)]","[(0, 6826.87158203125), (1, 7285.64697265625)]","[(0, 3248.14501953125), (1, 3566.8857421875)]","[(0, 6448.7998046875), (1, 6919.9912109375)]","[(0, 5278.06005859375), (1, 5758.53125)]","[(0, 4193.2900390625), (1, 3676.564208984375)]","[(0, 2624.08642578125), (1, 3665.976806640625)]","[(0, 3598.04052734375), (1, 3466.041015625)]","[(0, 6484.48291015625), (1, 6964.46142578125)]"
4,"[(0, 9336.951171875), (1, 8922.91015625)]","[(0, 3812.80517578125), (1, 3257.3984375)]","[(0, 7794.47314453125), (1, 8538.6376953125)]","[(0, 5630.228515625), (1, 5697.1767578125)]","[(0, 6788.4248046875), (1, 4903.61669921875)]","[(0, 4735.5830078125), (1, 4294.16015625)]","[(0, 4071.938232421875), (1, 3852.672119140625)]","[(0, 4512.17919921875), (1, 3181.473388671875)]","[(0, 3306.405029296875), (1, 4332.94384765625)]","[(0, 2008.797119140625), (1, 3118.98046875)]","[(0, 5380.82080078125), (1, 5497.921875)]"
5,"[(0, 7889.65478515625), (1, 7546.84228515625)]","[(0, 5996.7890625), (1, 5515.267578125)]","[(0, 4584.197265625), (1, 4834.9052734375)]","[(0, 4913.32568359375), (1, 4562.6728515625)]","[(0, 8114.8544921875), (1, 5770.52099609375)]","[(0, 4898.59716796875), (1, 5738.8662109375)]","[(0, 7648.46875), (1, 8160.3154296875)]","[(0, 5588.67822265625), (1, 4381.962890625)]","[(0, 2796.3359375), (1, 2905.004638671875)]","[(0, 4848.83203125), (1, 3728.134765625)]","[(0, 3744.736328125), (1, 3592.95556640625)]"
6,"[(0, 6814.15576171875), (1, 6833.2421875)]","[(0, 7126.43115234375), (1, 7239.111328125)]","[(0, 4582.6015625), (1, 4410.51806640625)]","[(0, 5640.92919921875), (1, 5827.76171875)]","[(0, 4987.3828125), (1, 4923.54638671875)]","[(0, 5951.3017578125), (1, 5344.26025390625)]","[(0, 8562.2685546875), (1, 8134.138671875)]","[(0, 2724.96826171875), (1, 2561.883056640625)]","[(0, 4843.8818359375), (1, 5086.2109375)]","[(0, 4568.3291015625), (1, 4335.5439453125)]","[(0, 6102.35888671875), (1, 6348.4453125)]"
7,"[(0, 5044.3828125), (1, 5015.22314453125)]","[(0, 7284.8828125), (1, 7514.6103515625)]","[(0, 3523.22607421875), (1, 3567.4130859375)]","[(0, 7965.0048828125), (1, 8350.9404296875)]","[(0, 5342.9150390625), (1, 5312.74365234375)]","[(0, 3853.75244140625), (1, 4113.29833984375)]","[(0, 8523.46484375), (1, 7982.35107421875)]","[(0, 3374.66748046875), (1, 4073.71337890625)]","[(0, 3967.2734375), (1, 3392.327392578125)]","[(0, 4697.328125), (1, 4243.47998046875)]","[(0, 5228.3330078125), (1, 5505.92333984375)]"
8,"[(0, 7299.43798828125), (1, 7190.322265625)]","[(0, 6936.26513671875), (1, 6670.76318359375)]","[(0, 8484.8671875), (1, 7822.7939453125)]","[(0, 6743.4833984375), (1, 6783.169921875)]","[(0, 7051.47705078125), (1, 5492.48681640625)]","[(0, 4648.77392578125), (1, 4392.36376953125)]","[(0, 5138.00537109375), (1, 5005.8955078125)]","[(0, 3567.702392578125), (1, 2636.221435546875)]","[(0, 5691.02978515625), (1, 5199.99365234375)]","[(0, 3588.021484375), (1, 3040.465576171875)]","[(0, 3130.1875), (1, 2851.63818359375)]"
9,"[(0, 7716.7978515625), (1, 7528.203125)]","[(0, 5638.4169921875), (1, 5391.947265625)]","[(0, 5601.90625), (1, 5491.1513671875)]","[(0, 7936.25341796875), (1, 7949.53173828125)]","[(0, 4505.3896484375), (1, 4494.25390625)]","[(0, 3946.79736328125), (1, 3806.7666015625)]","[(0, 5015.935546875), (1, 5213.43017578125)]","[(0, 3922.743896484375), (1, 3408.35986328125)]","[(0, 2163.7587890625), (1, 2639.9423828125)]","[(0, 5681.67529296875), (1, 5685.1982421875)]","[(0, 4824.67529296875), (1, 4291.78564453125)]"
