,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 1045.7218017578125), (1, 1255.017578125)]","[(0, 1243.418701171875), (1, 1368.7039794921875)]","[(0, 2215.293701171875), (1, 2243.951904296875)]","[(0, 1754.5267333984375), (1, 1730.971435546875)]","[(0, 3241.865966796875), (1, 2281.79150390625)]","[(0, 4174.27783203125), (1, 4255.98681640625)]","[(0, 7008.34228515625), (1, 7521.3642578125)]","[(0, 1281.323974609375), (1, 1023.3040161132812)]","[(0, 2356.97509765625), (1, 2220.720458984375)]","[(0, 1772.927978515625), (1, 1522.2630615234375)]","[(0, 3213.85009765625), (1, 3197.939453125)]"
1,"[(0, 2242.6435546875), (1, 2908.221435546875)]","[(0, 1578.6170654296875), (1, 1807.74755859375)]","[(0, 1251.8671875), (1, 1256.6092529296875)]","[(0, 3147.120361328125), (1, 3101.503662109375)]","[(0, 3504.918212890625), (1, 2142.465576171875)]","[(0, 4709.88818359375), (1, 4534.71923828125)]","[(0, 5165.578125), (1, 5797.865234375)]","[(0, 1082.799560546875), (1, 729.2810668945312)]","[(0, 1596.8895263671875), (1, 1152.391845703125)]","[(0, 1583.40283203125), (1, 1923.317138671875)]","[(0, 1408.5521240234375), (1, 1672.2503662109375)]"
2,"[(0, 1874.9609375), (1, 2386.301025390625)]","[(0, 1433.1923828125), (1, 1501.994873046875)]","[(0, 1288.2762451171875), (1, 1320.7601318359375)]","[(0, 3064.37939453125), (1, 3050.18896484375)]","[(0, 1589.061279296875), (1, 1369.013427734375)]","[(0, 7532.89208984375), (1, 7394.798828125)]","[(0, 1635.858154296875), (1, 1627.0706787109375)]","[(0, 741.3818359375), (1, 806.7579345703125)]","[(0, 1955.2470703125), (1, 1531.6912841796875)]","[(0, 3676.834228515625), (1, 4285.00048828125)]","[(0, 1851.8203125), (1, 2148.600830078125)]"
3,"[(0, 2553.638427734375), (1, 3218.2451171875)]","[(0, 1477.53369140625), (1, 1509.8765869140625)]","[(0, 5997.20068359375), (1, 6282.10595703125)]","[(0, 3755.182373046875), (1, 3747.33740234375)]","[(0, 1547.146728515625), (1, 1338.9847412109375)]","[(0, 4611.537109375), (1, 4579.9150390625)]","[(0, 4609.9365234375), (1, 4723.32373046875)]","[(0, 2294.777099609375), (1, 2142.045654296875)]","[(0, 1358.1912841796875), (1, 1493.6990966796875)]","[(0, 1897.1953125), (1, 1601.958251953125)]","[(0, 2816.06591796875), (1, 2764.433837890625)]"
4,"[(0, 1548.2677001953125), (1, 2022.8297119140625)]","[(0, 810.4841918945312), (1, 731.43603515625)]","[(0, 5522.767578125), (1, 5150.7119140625)]","[(0, 3495.50830078125), (1, 3677.083251953125)]","[(0, 4367.431640625), (1, 2697.5)]","[(0, 3449.720703125), (1, 3435.718017578125)]","[(0, 3806.476318359375), (1, 3773.307861328125)]","[(0, 1325.8636474609375), (1, 1338.1319580078125)]","[(0, 1777.34228515625), (1, 2751.0234375)]","[(0, 683.0964965820312), (1, 670.3836059570312)]","[(0, 2401.466552734375), (1, 2436.377197265625)]"
5,"[(0, 1471.18896484375), (1, 1918.569580078125)]","[(0, 486.2508850097656), (1, 443.38525390625)]","[(0, 2801.371337890625), (1, 2787.281982421875)]","[(0, 2493.6259765625), (1, 2668.978271484375)]","[(0, 4836.54248046875), (1, 3001.07080078125)]","[(0, 3892.718017578125), (1, 4041.4140625)]","[(0, 5023.2216796875), (1, 5187.4326171875)]","[(0, 1672.212890625), (1, 1725.9874267578125)]","[(0, 1671.736083984375), (1, 2224.6259765625)]","[(0, 962.6266479492188), (1, 1183.5633544921875)]","[(0, 1466.03759765625), (1, 1726.0870361328125)]"
6,"[(0, 1657.6346435546875), (1, 2083.0048828125)]","[(0, 1614.2724609375), (1, 1917.91748046875)]","[(0, 1925.5177001953125), (1, 1744.0584716796875)]","[(0, 2578.949462890625), (1, 2494.676025390625)]","[(0, 2274.746337890625), (1, 2083.705078125)]","[(0, 2819.298828125), (1, 2705.359130859375)]","[(0, 9186.5869140625), (1, 10179.9765625)]","[(0, 1123.9844970703125), (1, 1213.516845703125)]","[(0, 2152.679443359375), (1, 1839.1561279296875)]","[(0, 2235.286865234375), (1, 2097.10498046875)]","[(0, 2745.08203125), (1, 2736.364013671875)]"
7,"[(0, 1539.687744140625), (1, 2038.54248046875)]","[(0, 2095.657470703125), (1, 2584.867431640625)]","[(0, 1539.264892578125), (1, 1740.27294921875)]","[(0, 5959.52587890625), (1, 5800.0439453125)]","[(0, 2172.988037109375), (1, 1904.9586181640625)]","[(0, 2674.31103515625), (1, 2731.45703125)]","[(0, 8085.40673828125), (1, 8816.2216796875)]","[(0, 2146.572021484375), (1, 2094.08203125)]","[(0, 1137.75390625), (1, 1599.550048828125)]","[(0, 1636.575927734375), (1, 1620.286865234375)]","[(0, 2407.529541015625), (1, 2446.513427734375)]"
8,"[(0, 2246.87060546875), (1, 2987.1904296875)]","[(0, 1728.3841552734375), (1, 1918.888916015625)]","[(0, 4344.85693359375), (1, 4208.85888671875)]","[(0, 3849.64208984375), (1, 3803.671142578125)]","[(0, 4171.59130859375), (1, 2438.761962890625)]","[(0, 3649.616455078125), (1, 3569.22705078125)]","[(0, 3540.052978515625), (1, 3528.771240234375)]","[(0, 1058.15185546875), (1, 1238.0072021484375)]","[(0, 2324.743896484375), (1, 3198.39697265625)]","[(0, 1786.6534423828125), (1, 2415.315185546875)]","[(0, 813.2677001953125), (1, 972.5782470703125)]"
9,"[(0, 1981.4896240234375), (1, 2613.0908203125)]","[(0, 1225.0843505859375), (1, 1309.7734375)]","[(0, 2304.452880859375), (1, 2411.037109375)]","[(0, 6145.470703125), (1, 6131.32763671875)]","[(0, 1077.892333984375), (1, 934.1159057617188)]","[(0, 2538.006591796875), (1, 2553.825927734375)]","[(0, 4905.18798828125), (1, 5041.08349609375)]","[(0, 1566.8634033203125), (1, 1486.106689453125)]","[(0, 1020.7921752929688), (1, 1425.7510986328125)]","[(0, 4219.0263671875), (1, 2186.55615234375)]","[(0, 1790.6082763671875), (1, 2087.651611328125)]"
