,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 1466.5535888671875), (1, 1684.1094970703125)]","[(0, 1924.202392578125), (1, 1779.3790283203125)]","[(0, 3263.9814453125), (1, 3255.26171875)]","[(0, 2221.9365234375), (1, 2237.898681640625)]","[(0, 3981.304443359375), (1, 2645.83154296875)]","[(0, 4034.8017578125), (1, 4445.076171875)]","[(0, 6834.421875), (1, 7458.4638671875)]","[(0, 1613.6905517578125), (1, 1486.215087890625)]","[(0, 3417.49609375), (1, 3371.826904296875)]","[(0, 2382.396484375), (1, 2023.3111572265625)]","[(0, 3918.23486328125), (1, 3486.59228515625)]"
1,"[(0, 2029.7652587890625), (1, 2630.55322265625)]","[(0, 2233.052734375), (1, 2180.412109375)]","[(0, 2160.00439453125), (1, 2046.970947265625)]","[(0, 3470.03955078125), (1, 3399.32275390625)]","[(0, 3680.135498046875), (1, 2199.752685546875)]","[(0, 4725.62646484375), (1, 4452.2763671875)]","[(0, 5275.27197265625), (1, 5513.15869140625)]","[(0, 1396.635986328125), (1, 1184.264404296875)]","[(0, 1588.68017578125), (1, 1587.7198486328125)]","[(0, 1851.581787109375), (1, 2229.657470703125)]","[(0, 2237.500732421875), (1, 2028.3265380859375)]"
2,"[(0, 1812.231201171875), (1, 2335.689697265625)]","[(0, 2071.853515625), (1, 2109.506103515625)]","[(0, 2589.76904296875), (1, 2606.0849609375)]","[(0, 3427.349853515625), (1, 3637.06298828125)]","[(0, 1802.971435546875), (1, 1684.5352783203125)]","[(0, 5920.73828125), (1, 6472.4228515625)]","[(0, 2249.10986328125), (1, 2044.6580810546875)]","[(0, 1230.1807861328125), (1, 1167.520263671875)]","[(0, 1652.5986328125), (1, 2107.852294921875)]","[(0, 4110.49072265625), (1, 4342.21826171875)]","[(0, 2460.830810546875), (1, 2299.911376953125)]"
3,"[(0, 2431.5732421875), (1, 3092.908447265625)]","[(0, 2018.0406494140625), (1, 1960.524658203125)]","[(0, 6679.923828125), (1, 6722.2041015625)]","[(0, 5284.779296875), (1, 5435.091796875)]","[(0, 1701.9588623046875), (1, 1614.4163818359375)]","[(0, 4929.00537109375), (1, 5312.0849609375)]","[(0, 5090.6171875), (1, 5598.58984375)]","[(0, 3001.299560546875), (1, 2462.461181640625)]","[(0, 952.7986450195312), (1, 1354.0908203125)]","[(0, 1916.873291015625), (1, 1778.5230712890625)]","[(0, 4186.4091796875), (1, 3712.619384765625)]"
4,"[(0, 2476.38037109375), (1, 2797.27197265625)]","[(0, 1267.130615234375), (1, 1093.077880859375)]","[(0, 6557.7294921875), (1, 6766.20361328125)]","[(0, 4550.74853515625), (1, 4590.7333984375)]","[(0, 4734.18310546875), (1, 2975.2138671875)]","[(0, 4083.020751953125), (1, 3756.422119140625)]","[(0, 3287.921875), (1, 3111.837890625)]","[(0, 1944.687255859375), (1, 1872.5654296875)]","[(0, 1907.014404296875), (1, 2700.65966796875)]","[(0, 743.2103271484375), (1, 745.7186889648438)]","[(0, 3428.76220703125), (1, 3037.6279296875)]"
5,"[(0, 1764.1761474609375), (1, 2145.85595703125)]","[(0, 852.3939208984375), (1, 715.8386840820312)]","[(0, 3674.74853515625), (1, 3833.602294921875)]","[(0, 3466.206298828125), (1, 3510.374267578125)]","[(0, 5505.78173828125), (1, 3435.527587890625)]","[(0, 4245.013671875), (1, 4752.5810546875)]","[(0, 4545.36181640625), (1, 4934.79052734375)]","[(0, 2056.020751953125), (1, 2191.24462890625)]","[(0, 1890.8218994140625), (1, 1874.576416015625)]","[(0, 1386.3165283203125), (1, 1485.38330078125)]","[(0, 2438.335205078125), (1, 2261.942138671875)]"
6,"[(0, 1838.407470703125), (1, 2268.476806640625)]","[(0, 2936.42236328125), (1, 3121.744873046875)]","[(0, 2109.281982421875), (1, 2190.76611328125)]","[(0, 3140.64111328125), (1, 3397.23876953125)]","[(0, 2838.389404296875), (1, 2588.6875)]","[(0, 3874.248291015625), (1, 3567.256591796875)]","[(0, 6902.51123046875), (1, 7098.60693359375)]","[(0, 1473.0140380859375), (1, 1289.6953125)]","[(0, 2836.590087890625), (1, 2227.679931640625)]","[(0, 3140.05712890625), (1, 2909.249267578125)]","[(0, 3757.643798828125), (1, 3261.479736328125)]"
7,"[(0, 1831.4873046875), (1, 2214.470947265625)]","[(0, 3564.85888671875), (1, 4055.552734375)]","[(0, 1918.532958984375), (1, 2121.59326171875)]","[(0, 6506.23779296875), (1, 6588.66552734375)]","[(0, 2943.2900390625), (1, 2623.53076171875)]","[(0, 2648.54296875), (1, 3182.890869140625)]","[(0, 5777.5810546875), (1, 5943.23095703125)]","[(0, 2043.441650390625), (1, 2308.319580078125)]","[(0, 1192.174560546875), (1, 1409.134521484375)]","[(0, 2335.56396484375), (1, 2504.86865234375)]","[(0, 3661.38916015625), (1, 3088.554931640625)]"
8,"[(0, 2536.82568359375), (1, 3225.727294921875)]","[(0, 2963.316650390625), (1, 3329.532470703125)]","[(0, 5918.40087890625), (1, 5560.3427734375)]","[(0, 4703.95361328125), (1, 4726.78466796875)]","[(0, 4913.212890625), (1, 3190.400146484375)]","[(0, 3769.25439453125), (1, 3228.6171875)]","[(0, 3836.1220703125), (1, 3444.033935546875)]","[(0, 1253.6270751953125), (1, 1280.5257568359375)]","[(0, 2907.644775390625), (1, 3774.552978515625)]","[(0, 2664.912841796875), (1, 2110.67333984375)]","[(0, 1430.479736328125), (1, 1326.6212158203125)]"
9,"[(0, 2207.928466796875), (1, 2687.091064453125)]","[(0, 2054.700439453125), (1, 2062.865234375)]","[(0, 3448.023681640625), (1, 3279.426025390625)]","[(0, 6854.591796875), (1, 7057.9091796875)]","[(0, 2137.057861328125), (1, 1969.240966796875)]","[(0, 2950.950439453125), (1, 2764.791015625)]","[(0, 3995.732177734375), (1, 4341.1748046875)]","[(0, 1989.72412109375), (1, 1835.7908935546875)]","[(0, 930.7288818359375), (1, 1450.8035888671875)]","[(0, 3639.17236328125), (1, 2560.1650390625)]","[(0, 2715.477294921875), (1, 2525.769287109375)]"
