,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 794.9183349609375), (1, 935.4669799804688)]","[(0, 912.93115234375), (1, 887.9840698242188)]","[(0, 2374.39306640625), (1, 2455.496337890625)]","[(0, 1623.5335693359375), (1, 1710.943603515625)]","[(0, 3356.868896484375), (1, 1963.8509521484375)]","[(0, 3987.479248046875), (1, 4309.716796875)]","[(0, 5931.017578125), (1, 6949.109375)]","[(0, 1016.6689453125), (1, 872.4439697265625)]","[(0, 2523.35205078125), (1, 2994.032470703125)]","[(0, 1916.433837890625), (1, 1490.174072265625)]","[(0, 3490.824462890625), (1, 3070.7919921875)]"
1,"[(0, 1264.2156982421875), (1, 1742.7059326171875)]","[(0, 1236.2132568359375), (1, 1298.3023681640625)]","[(0, 1477.553466796875), (1, 1427.8472900390625)]","[(0, 2649.2099609375), (1, 2614.906982421875)]","[(0, 2688.6005859375), (1, 1506.13671875)]","[(0, 4566.8828125), (1, 4310.21826171875)]","[(0, 4586.427734375), (1, 5035.53857421875)]","[(0, 968.4885864257812), (1, 699.3026123046875)]","[(0, 1216.653076171875), (1, 1073.747314453125)]","[(0, 1107.6785888671875), (1, 1424.83349609375)]","[(0, 1622.74560546875), (1, 1546.486572265625)]"
2,"[(0, 1209.0462646484375), (1, 1613.323486328125)]","[(0, 1087.1282958984375), (1, 1116.505126953125)]","[(0, 1734.0843505859375), (1, 1817.9122314453125)]","[(0, 2714.515380859375), (1, 2900.125732421875)]","[(0, 1260.458984375), (1, 1109.4510498046875)]","[(0, 5975.99609375), (1, 6556.97900390625)]","[(0, 1879.726806640625), (1, 1817.3021240234375)]","[(0, 626.4973754882812), (1, 793.3687744140625)]","[(0, 1239.1529541015625), (1, 1342.3389892578125)]","[(0, 2979.876708984375), (1, 3534.06884765625)]","[(0, 2124.759033203125), (1, 2055.34326171875)]"
3,"[(0, 1474.942626953125), (1, 2016.34765625)]","[(0, 1095.299560546875), (1, 1105.8177490234375)]","[(0, 6162.14990234375), (1, 6339.400390625)]","[(0, 4248.10009765625), (1, 4281.458984375)]","[(0, 1225.6009521484375), (1, 1109.37744140625)]","[(0, 4546.80126953125), (1, 4802.072265625)]","[(0, 4551.0654296875), (1, 4866.34765625)]","[(0, 2382.95654296875), (1, 2221.392822265625)]","[(0, 585.7660522460938), (1, 924.1329956054688)]","[(0, 1350.9222412109375), (1, 1142.55224609375)]","[(0, 3475.1962890625), (1, 3063.98193359375)]"
4,"[(0, 1180.1785888671875), (1, 1433.36865234375)]","[(0, 740.9259033203125), (1, 623.1517944335938)]","[(0, 5873.02685546875), (1, 5899.939453125)]","[(0, 3735.544677734375), (1, 3824.342041015625)]","[(0, 4133.3056640625), (1, 2461.156982421875)]","[(0, 3575.556884765625), (1, 3418.2001953125)]","[(0, 3277.78466796875), (1, 3239.1494140625)]","[(0, 1465.337890625), (1, 1200.993896484375)]","[(0, 1200.3411865234375), (1, 2112.548095703125)]","[(0, 481.3606262207031), (1, 495.57159423828125)]","[(0, 2821.25537109375), (1, 2355.71337890625)]"
5,"[(0, 1016.9190673828125), (1, 1328.3626708984375)]","[(0, 379.5941467285156), (1, 327.2276611328125)]","[(0, 3021.4716796875), (1, 2988.600830078125)]","[(0, 2486.46044921875), (1, 2643.807373046875)]","[(0, 4766.1650390625), (1, 2844.619384765625)]","[(0, 4348.25634765625), (1, 4614.38330078125)]","[(0, 4183.85888671875), (1, 4487.43505859375)]","[(0, 1540.059326171875), (1, 1537.3013916015625)]","[(0, 1357.1669921875), (1, 1373.576171875)]","[(0, 816.0859985351562), (1, 1004.0604858398438)]","[(0, 1910.690673828125), (1, 1891.01123046875)]"
6,"[(0, 1159.1329345703125), (1, 1537.433349609375)]","[(0, 1306.9783935546875), (1, 1440.9898681640625)]","[(0, 1666.5277099609375), (1, 1572.2955322265625)]","[(0, 2305.3662109375), (1, 2602.978759765625)]","[(0, 2002.4659423828125), (1, 1743.6302490234375)]","[(0, 3214.407958984375), (1, 3127.299072265625)]","[(0, 6736.0400390625), (1, 7422.05615234375)]","[(0, 1123.4197998046875), (1, 989.1220092773438)]","[(0, 1939.01953125), (1, 1481.583251953125)]","[(0, 2442.76904296875), (1, 2065.144775390625)]","[(0, 3406.283447265625), (1, 2907.57666015625)]"
7,"[(0, 1110.5921630859375), (1, 1410.5220947265625)]","[(0, 1901.484619140625), (1, 2294.560302734375)]","[(0, 1395.5382080078125), (1, 1572.001708984375)]","[(0, 6258.42578125), (1, 6258.98095703125)]","[(0, 2022.6907958984375), (1, 1702.4271240234375)]","[(0, 2293.449951171875), (1, 2794.66162109375)]","[(0, 5636.75048828125), (1, 6223.02587890625)]","[(0, 1689.948974609375), (1, 1893.986572265625)]","[(0, 705.0952758789062), (1, 766.9987182617188)]","[(0, 1665.436279296875), (1, 1969.5799560546875)]","[(0, 3072.069091796875), (1, 2572.306396484375)]"
8,"[(0, 1734.1719970703125), (1, 2284.422607421875)]","[(0, 1382.270263671875), (1, 1570.8291015625)]","[(0, 4654.23486328125), (1, 4419.52880859375)]","[(0, 4048.8017578125), (1, 4061.067626953125)]","[(0, 3826.74267578125), (1, 2232.7705078125)]","[(0, 3630.36767578125), (1, 3083.93994140625)]","[(0, 3048.563232421875), (1, 2910.3466796875)]","[(0, 843.452880859375), (1, 849.1926879882812)]","[(0, 2260.392578125), (1, 2883.091796875)]","[(0, 1949.0206298828125), (1, 1780.001953125)]","[(0, 1044.319580078125), (1, 997.4170532226562)]"
9,"[(0, 1381.9962158203125), (1, 1781.3265380859375)]","[(0, 976.1622314453125), (1, 1031.3406982421875)]","[(0, 2401.7265625), (1, 2321.300048828125)]","[(0, 6107.35400390625), (1, 6318.09521484375)]","[(0, 1240.315185546875), (1, 1090.26220703125)]","[(0, 2609.1923828125), (1, 2421.880859375)]","[(0, 3834.721435546875), (1, 4006.66064453125)]","[(0, 1340.4610595703125), (1, 1055.2003173828125)]","[(0, 573.2640991210938), (1, 960.7277221679688)]","[(0, 2917.73486328125), (1, 1843.3880615234375)]","[(0, 2203.191650390625), (1, 2156.1650390625)]"
