,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 20144.65234375), (1, 19909.388671875)]","[(0, 20251.056640625), (1, 20789.345703125)]","[(0, 21026.48046875), (1, 20926.21875)]","[(0, 21277.5), (1, 20457.8828125)]","[(0, 20670.29296875), (1, 25657.462890625)]","[(0, 20502.201171875), (1, 19390.759765625)]","[(0, 19843.38671875), (1, 18358.224609375)]","[(0, 19753.755859375), (1, 20163.19921875)]","[(0, 18672.630859375), (1, 20342.515625)]","[(0, 25983.6328125), (1, 26152.958984375)]","[(0, 22061.447265625), (1, 18187.638671875)]"
1,"[(0, 20657.740234375), (1, 21717.427734375)]","[(0, 20424.392578125), (1, 20665.228515625)]","[(0, 14896.25), (1, 15765.4326171875)]","[(0, 21457.20703125), (1, 22256.28515625)]","[(0, 21480.8984375), (1, 22050.91015625)]","[(0, 28585.76171875), (1, 29946.90625)]","[(0, 14355.1376953125), (1, 14035.1767578125)]","[(0, 20402.39453125), (1, 20039.609375)]","[(0, 13034.701171875), (1, 15739.8193359375)]","[(0, 22568.7734375), (1, 26402.66015625)]","[(0, 20094.380859375), (1, 19936.919921875)]"
2,"[(0, 22810.625), (1, 23860.029296875)]","[(0, 19743.47265625), (1, 19732.970703125)]","[(0, 19497.8671875), (1, 18809.5)]","[(0, 23098.841796875), (1, 21346.970703125)]","[(0, 15272.0771484375), (1, 15025.6884765625)]","[(0, 22955.7265625), (1, 21425.4921875)]","[(0, 13968.01171875), (1, 15577.390625)]","[(0, 20426.69140625), (1, 18385.9765625)]","[(0, 17873.046875), (1, 14839.349609375)]","[(0, 28445.46484375), (1, 34312.171875)]","[(0, 25182.2578125), (1, 23503.357421875)]"
3,"[(0, 22656.82421875), (1, 23406.1875)]","[(0, 17262.39453125), (1, 17874.017578125)]","[(0, 25649.953125), (1, 28465.572265625)]","[(0, 29362.556640625), (1, 27364.919921875)]","[(0, 15081.029296875), (1, 14935.353515625)]","[(0, 28989.603515625), (1, 26292.9296875)]","[(0, 16041.58203125), (1, 15531.3466796875)]","[(0, 22745.390625), (1, 20378.9609375)]","[(0, 20576.4375), (1, 18266.033203125)]","[(0, 19165.96484375), (1, 18348.107421875)]","[(0, 21450.681640625), (1, 18352.779296875)]"
4,"[(0, 18376.599609375), (1, 21166.9140625)]","[(0, 16386.75), (1, 16852.962890625)]","[(0, 32019.599609375), (1, 27009.068359375)]","[(0, 25054.099609375), (1, 23023.123046875)]","[(0, 26685.521484375), (1, 27658.853515625)]","[(0, 23228.7578125), (1, 25363.720703125)]","[(0, 20429.9453125), (1, 22414.72265625)]","[(0, 18039.390625), (1, 22536.447265625)]","[(0, 19700.25390625), (1, 18692.798828125)]","[(0, 15016.17578125), (1, 18728.451171875)]","[(0, 20927.236328125), (1, 19821.27734375)]"
5,"[(0, 17517.021484375), (1, 18930.322265625)]","[(0, 16245.9140625), (1, 16586.6640625)]","[(0, 18771.724609375), (1, 18321.529296875)]","[(0, 20583.935546875), (1, 19610.22265625)]","[(0, 22027.515625), (1, 22612.9609375)]","[(0, 19040.259765625), (1, 17954.431640625)]","[(0, 20550.96484375), (1, 19329.27734375)]","[(0, 24802.033203125), (1, 21466.9296875)]","[(0, 17796.8125), (1, 17698.54296875)]","[(0, 18637.404296875), (1, 20270.822265625)]","[(0, 18247.6640625), (1, 17911.796875)]"
6,"[(0, 19457.26171875), (1, 20620.06640625)]","[(0, 16408.126953125), (1, 17162.458984375)]","[(0, 25858.376953125), (1, 23338.05078125)]","[(0, 23851.587890625), (1, 21057.544921875)]","[(0, 18158.470703125), (1, 19660.724609375)]","[(0, 16800.984375), (1, 17945.787109375)]","[(0, 26568.279296875), (1, 26214.9140625)]","[(0, 25202.486328125), (1, 21349.8828125)]","[(0, 20690.015625), (1, 20615.603515625)]","[(0, 20091.69921875), (1, 22376.0859375)]","[(0, 23848.583984375), (1, 21860.328125)]"
7,"[(0, 16877.328125), (1, 19701.455078125)]","[(0, 14455.7685546875), (1, 14853.4228515625)]","[(0, 17332.435546875), (1, 17939.0625)]","[(0, 22735.501953125), (1, 22496.52734375)]","[(0, 18428.00390625), (1, 21663.935546875)]","[(0, 20524.58203125), (1, 20591.474609375)]","[(0, 24973.685546875), (1, 24265.1875)]","[(0, 24104.751953125), (1, 21563.16015625)]","[(0, 18227.125), (1, 18062.1484375)]","[(0, 18093.8359375), (1, 22351.00390625)]","[(0, 21171.234375), (1, 18878.455078125)]"
8,"[(0, 19442.236328125), (1, 20741.025390625)]","[(0, 15797.294921875), (1, 15317.279296875)]","[(0, 25118.240234375), (1, 26470.15234375)]","[(0, 21555.80078125), (1, 21475.87890625)]","[(0, 24519.69921875), (1, 23742.40234375)]","[(0, 19254.54296875), (1, 19540.234375)]","[(0, 21449.86328125), (1, 22579.515625)]","[(0, 21832.97265625), (1, 21174.021484375)]","[(0, 18808.458984375), (1, 23008.962890625)]","[(0, 17206.7421875), (1, 20764.537109375)]","[(0, 19160.482421875), (1, 17976.705078125)]"
9,"[(0, 21009.283203125), (1, 23228.13671875)]","[(0, 16404.498046875), (1, 16194.5419921875)]","[(0, 21366.890625), (1, 18061.994140625)]","[(0, 29609.224609375), (1, 27840.716796875)]","[(0, 18266.712890625), (1, 18909.265625)]","[(0, 16910.56640625), (1, 18515.2890625)]","[(0, 19450.02734375), (1, 18330.6875)]","[(0, 24939.79296875), (1, 23775.576171875)]","[(0, 20635.982421875), (1, 18711.8828125)]","[(0, 24836.7578125), (1, 19555.166015625)]","[(0, 25836.66015625), (1, 24869.583984375)]"
10,"[(0, 18914.748046875), (1, 19133.1484375)]","[(0, 15883.9765625), (1, 15370.7646484375)]","[(0, 27192.908203125), (1, 27350.9609375)]","[(0, 22861.93359375), (1, 21967.498046875)]","[(0, 16876.025390625), (1, 17275.2734375)]","[(0, 25676.236328125), (1, 23562.919921875)]","[(0, 13460.0537109375), (1, 13921.1875)]","[(0, 21050.197265625), (1, 21068.19140625)]","[(0, 19304.0390625), (1, 20061.005859375)]","[(0, 21099.056640625), (1, 21556.35546875)]","[(0, 21453.17578125), (1, 18619.10546875)]"
11,"[(0, 18772.333984375), (1, 19489.22265625)]","[(0, 15903.6064453125), (1, 16134.2509765625)]","[(0, 18667.75), (1, 19173.294921875)]","[(0, 22204.705078125), (1, 20384.927734375)]","[(0, 19513.25), (1, 20353.984375)]","[(0, 25886.3828125), (1, 23285.18359375)]","[(0, 15003.2783203125), (1, 15077.5927734375)]","[(0, 18874.1875), (1, 20946.765625)]","[(0, 16276.7587890625), (1, 17008.43359375)]","[(0, 23384.212890625), (1, 27861.408203125)]","[(0, 23514.38671875), (1, 21037.61328125)]"
12,"[(0, 21695.0703125), (1, 25189.65625)]","[(0, 14984.9189453125), (1, 15618.939453125)]","[(0, 23418.1328125), (1, 21877.619140625)]","[(0, 21927.205078125), (1, 20421.04296875)]","[(0, 16671.302734375), (1, 17791.53515625)]","[(0, 25475.744140625), (1, 28100.90234375)]","[(0, 22020.1015625), (1, 22951.56640625)]","[(0, 19993.166015625), (1, 19540.328125)]","[(0, 16055.310546875), (1, 18628.146484375)]","[(0, 24949.0234375), (1, 20832.232421875)]","[(0, 23524.90625), (1, 17777.458984375)]"
13,"[(0, 19039.771484375), (1, 22229.85546875)]","[(0, 16468.671875), (1, 16688.466796875)]","[(0, 21773.751953125), (1, 20512.134765625)]","[(0, 23004.4453125), (1, 21916.166015625)]","[(0, 16537.103515625), (1, 17250.001953125)]","[(0, 16344.408203125), (1, 18114.865234375)]","[(0, 26068.345703125), (1, 23828.96484375)]","[(0, 19717.638671875), (1, 23284.560546875)]","[(0, 21688.96875), (1, 21029.267578125)]","[(0, 26288.943359375), (1, 27346.525390625)]","[(0, 23415.275390625), (1, 23523.96484375)]"
14,"[(0, 17686.900390625), (1, 19509.51171875)]","[(0, 13888.9248046875), (1, 13553.5830078125)]","[(0, 20799.955078125), (1, 23430.197265625)]","[(0, 21979.546875), (1, 25219.1953125)]","[(0, 16808.244140625), (1, 18000.84375)]","[(0, 22642.9140625), (1, 19987.390625)]","[(0, 17121.05078125), (1, 18454.048828125)]","[(0, 18969.91796875), (1, 18096.857421875)]","[(0, 17115.125), (1, 16385.296875)]","[(0, 19983.5), (1, 22836.244140625)]","[(0, 21600.826171875), (1, 19812.58203125)]"
15,"[(0, 17008.83984375), (1, 17110.931640625)]","[(0, 15789.7177734375), (1, 16770.376953125)]","[(0, 15908.4140625), (1, 14905.4580078125)]","[(0, 18380.666015625), (1, 18026.40625)]","[(0, 16189.5693359375), (1, 15500.849609375)]","[(0, 27214.69921875), (1, 25579.453125)]","[(0, 21708.068359375), (1, 20643.009765625)]","[(0, 20932.046875), (1, 20034.048828125)]","[(0, 16649.599609375), (1, 18708.45703125)]","[(0, 22730.927734375), (1, 19723.619140625)]","[(0, 19333.185546875), (1, 19026.865234375)]"
16,"[(0, 16838.82421875), (1, 17199.03125)]","[(0, 16211.076171875), (1, 16046.75390625)]","[(0, 21661.125), (1, 20717.1640625)]","[(0, 29483.97265625), (1, 27274.798828125)]","[(0, 16202.3740234375), (1, 17094.80078125)]","[(0, 23892.658203125), (1, 25618.048828125)]","[(0, 17105.189453125), (1, 18124.69921875)]","[(0, 22266.287109375), (1, 20590.138671875)]","[(0, 18660.1328125), (1, 16717.34765625)]","[(0, 24063.796875), (1, 26256.12109375)]","[(0, 19626.986328125), (1, 18298.1484375)]"
17,"[(0, 16242.427734375), (1, 17247.322265625)]","[(0, 14248.68359375), (1, 14606.1796875)]","[(0, 24461.68359375), (1, 21628.28515625)]","[(0, 20605.24609375), (1, 21156.197265625)]","[(0, 18703.55078125), (1, 18684.939453125)]","[(0, 19568.990234375), (1, 21517.88671875)]","[(0, 25003.091796875), (1, 25465.421875)]","[(0, 21774.646484375), (1, 21130.328125)]","[(0, 15182.1162109375), (1, 18736.04296875)]","[(0, 21331.869140625), (1, 24328.81640625)]","[(0, 20763.865234375), (1, 17696.212890625)]"
18,"[(0, 17799.255859375), (1, 19202.41015625)]","[(0, 15224.5107421875), (1, 15711.3701171875)]","[(0, 20623.8828125), (1, 19051.6484375)]","[(0, 21815.884765625), (1, 22623.853515625)]","[(0, 26655.35546875), (1, 26392.01171875)]","[(0, 24563.208984375), (1, 22986.154296875)]","[(0, 28897.080078125), (1, 29063.54296875)]","[(0, 20060.107421875), (1, 23751.16796875)]","[(0, 20539.931640625), (1, 21206.39453125)]","[(0, 20313.74609375), (1, 21737.091796875)]","[(0, 19845.658203125), (1, 18535.376953125)]"
19,"[(0, 19278.66796875), (1, 21164.33203125)]","[(0, 15773.66015625), (1, 15937.7529296875)]","[(0, 18809.732421875), (1, 18241.46875)]","[(0, 22894.57421875), (1, 23407.529296875)]","[(0, 14901.4228515625), (1, 14836.916015625)]","[(0, 20530.1796875), (1, 22875.87109375)]","[(0, 18858.625), (1, 15774.7431640625)]","[(0, 24981.7109375), (1, 20471.1953125)]","[(0, 15059.8447265625), (1, 13968.9580078125)]","[(0, 18672.1484375), (1, 17534.404296875)]","[(0, 20570.27734375), (1, 19775.52734375)]"
20,"[(0, 21589.169921875), (1, 23342.30078125)]","[(0, 15882.931640625), (1, 16163.3427734375)]","[(0, 29878.7578125), (1, 30020.482421875)]","[(0, 18894.267578125), (1, 19044.255859375)]","[(0, 27344.4140625), (1, 28008.22265625)]","[(0, 24565.59765625), (1, 21924.21484375)]","[(0, 20219.734375), (1, 21526.853515625)]","[(0, 20030.515625), (1, 24343.71484375)]","[(0, 13802.185546875), (1, 15828.9638671875)]","[(0, 22398.693359375), (1, 25077.55078125)]","[(0, 21196.689453125), (1, 18445.146484375)]"
