,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 921.0772094726562), (1, 1135.7315673828125)]","[(0, 1048.66650390625), (1, 1180.5860595703125)]","[(0, 2102.880859375), (1, 2120.66162109375)]","[(0, 1593.66650390625), (1, 1583.205810546875)]","[(0, 3108.859619140625), (1, 2128.704833984375)]","[(0, 4255.62158203125), (1, 4381.47802734375)]","[(0, 6962.44970703125), (1, 7687.51904296875)]","[(0, 1128.1976318359375), (1, 857.8399047851562)]","[(0, 2150.921630859375), (1, 2080.305908203125)]","[(0, 1640.3551025390625), (1, 1418.2977294921875)]","[(0, 3107.78955078125), (1, 3192.52783203125)]"
1,"[(0, 1832.1712646484375), (1, 2436.044677734375)]","[(0, 1348.5062255859375), (1, 1582.5867919921875)]","[(0, 1126.50048828125), (1, 1130.089111328125)]","[(0, 2989.535888671875), (1, 2962.85888671875)]","[(0, 3357.781494140625), (1, 1969.374267578125)]","[(0, 4606.9169921875), (1, 4375.45654296875)]","[(0, 5225.78076171875), (1, 6067.349609375)]","[(0, 932.1488647460938), (1, 626.4134521484375)]","[(0, 1547.93115234375), (1, 1079.2901611328125)]","[(0, 1362.779052734375), (1, 1638.8204345703125)]","[(0, 1239.2569580078125), (1, 1490.5208740234375)]"
2,"[(0, 1679.22607421875), (1, 2193.885498046875)]","[(0, 1202.6304931640625), (1, 1279.5283203125)]","[(0, 1172.83056640625), (1, 1204.8065185546875)]","[(0, 2878.417236328125), (1, 2885.695556640625)]","[(0, 1454.093994140625), (1, 1228.365234375)]","[(0, 7758.67431640625), (1, 7696.95263671875)]","[(0, 1569.0615234375), (1, 1549.915771484375)]","[(0, 591.200927734375), (1, 717.6305541992188)]","[(0, 1639.064208984375), (1, 1339.0352783203125)]","[(0, 3462.34423828125), (1, 3940.2158203125)]","[(0, 1713.5032958984375), (1, 2018.0743408203125)]"
3,"[(0, 2143.11328125), (1, 2748.73388671875)]","[(0, 1248.076416015625), (1, 1285.1011962890625)]","[(0, 6137.13720703125), (1, 6389.36474609375)]","[(0, 3618.853515625), (1, 3602.868408203125)]","[(0, 1421.6072998046875), (1, 1207.312744140625)]","[(0, 4499.18505859375), (1, 4506.64453125)]","[(0, 4721.3466796875), (1, 4889.2763671875)]","[(0, 2207.458984375), (1, 2012.1446533203125)]","[(0, 1082.987548828125), (1, 1312.330322265625)]","[(0, 1773.690673828125), (1, 1427.864990234375)]","[(0, 2699.11865234375), (1, 2695.399169921875)]"
4,"[(0, 1366.4561767578125), (1, 1827.8414306640625)]","[(0, 688.6041870117188), (1, 610.6649169921875)]","[(0, 5562.80322265625), (1, 5136.96728515625)]","[(0, 3375.491455078125), (1, 3601.700439453125)]","[(0, 4384.8134765625), (1, 2594.525390625)]","[(0, 3285.68408203125), (1, 3249.771728515625)]","[(0, 3735.25244140625), (1, 3659.078369140625)]","[(0, 1297.106201171875), (1, 1132.9405517578125)]","[(0, 1682.1898193359375), (1, 2695.3115234375)]","[(0, 552.2332763671875), (1, 561.6094970703125)]","[(0, 2327.05322265625), (1, 2419.243408203125)]"
5,"[(0, 1261.0252685546875), (1, 1677.825439453125)]","[(0, 405.60595703125), (1, 361.6490173339844)]","[(0, 2584.61962890625), (1, 2603.445556640625)]","[(0, 2339.062255859375), (1, 2515.39208984375)]","[(0, 4779.6982421875), (1, 2840.0439453125)]","[(0, 3865.328369140625), (1, 4079.412841796875)]","[(0, 5011.67578125), (1, 5232.7470703125)]","[(0, 1518.113037109375), (1, 1499.711181640625)]","[(0, 1450.2440185546875), (1, 1828.9180908203125)]","[(0, 838.1310424804688), (1, 1066.5482177734375)]","[(0, 1357.237060546875), (1, 1625.5460205078125)]"
6,"[(0, 1466.4129638671875), (1, 1901.8900146484375)]","[(0, 1486.3065185546875), (1, 1822.3143310546875)]","[(0, 1794.133056640625), (1, 1617.416748046875)]","[(0, 2432.229736328125), (1, 2413.26611328125)]","[(0, 2214.33056640625), (1, 1962.105224609375)]","[(0, 2847.203125), (1, 2688.89306640625)]","[(0, 9607.9970703125), (1, 10747.2158203125)]","[(0, 963.9917602539062), (1, 1044.2747802734375)]","[(0, 1806.2783203125), (1, 1625.5599365234375)]","[(0, 2079.01953125), (1, 1831.993896484375)]","[(0, 2658.130615234375), (1, 2711.43896484375)]"
7,"[(0, 1355.950927734375), (1, 1834.8990478515625)]","[(0, 1982.1436767578125), (1, 2533.625732421875)]","[(0, 1386.0732421875), (1, 1575.6578369140625)]","[(0, 5882.78076171875), (1, 5713.7451171875)]","[(0, 2118.336181640625), (1, 1775.713134765625)]","[(0, 2532.644775390625), (1, 2602.756591796875)]","[(0, 8136.49755859375), (1, 8914.3193359375)]","[(0, 1775.036865234375), (1, 1845.078369140625)]","[(0, 994.0440673828125), (1, 1388.283203125)]","[(0, 1436.980712890625), (1, 1445.838134765625)]","[(0, 2262.625732421875), (1, 2362.814208984375)]"
8,"[(0, 1955.2666015625), (1, 2652.23583984375)]","[(0, 1568.8109130859375), (1, 1767.8079833984375)]","[(0, 4282.7783203125), (1, 4132.6279296875)]","[(0, 3636.671142578125), (1, 3621.947021484375)]","[(0, 4158.57080078125), (1, 2322.8125)]","[(0, 3523.05810546875), (1, 3427.951416015625)]","[(0, 3363.393310546875), (1, 3312.758544921875)]","[(0, 963.5547485351562), (1, 1088.4483642578125)]","[(0, 2128.819580078125), (1, 2892.681396484375)]","[(0, 1658.3074951171875), (1, 2159.460693359375)]","[(0, 732.4779052734375), (1, 889.2425537109375)]"
9,"[(0, 1701.87353515625), (1, 2281.318115234375)]","[(0, 1089.1622314453125), (1, 1165.606689453125)]","[(0, 2099.777587890625), (1, 2245.617431640625)]","[(0, 6142.62353515625), (1, 6180.74853515625)]","[(0, 974.2723999023438), (1, 811.9096069335938)]","[(0, 2264.15087890625), (1, 2270.313232421875)]","[(0, 4805.10498046875), (1, 5015.2900390625)]","[(0, 1419.3665771484375), (1, 1274.23486328125)]","[(0, 860.3501586914062), (1, 1248.5008544921875)]","[(0, 3529.932373046875), (1, 1941.877685546875)]","[(0, 1655.302978515625), (1, 1947.34375)]"
