,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
10,"[(0, 1853.530517578125), (1, 2271.927734375)]","[(0, 1124.35498046875), (1, 1165.3721923828125)]","[(0, 12566.494140625), (1, 13317.8251953125)]","[(0, 5135.1005859375), (1, 5097.21435546875)]","[(0, 1800.43017578125), (1, 1405.7647705078125)]","[(0, 3586.338134765625), (1, 3840.57373046875)]","[(0, 16075.2431640625), (1, 15221.345703125)]","[(0, 4272.130859375), (1, 2644.904296875)]","[(4, 151.64383138020833), (3, 163.41395786830358), (1, 281.0842472956731), (5, 297.6643254206731), (0, 322.27537027994794), (2, 623.091796875)]","[(0, 5983.88916015625), (1, 6459.3681640625)]","[(2, 31.008763930376837), (5, 44.06258975758272), (4, 49.48555715460526), (1, 51.70106265419408), (0, 52.00293327780331), (3, 75.36599551930146)]","[(0, 2737.443359375), (1, 2785.027587890625)]","[(3, 60.668436686197914), (0, 71.48379337086396), (1, 76.98853824013158), (5, 89.01557922363281), (4, 91.40879911534927), (2, 97.13148328993056)]","[(0, 7320.5263671875), (1, 6225.3583984375)]"
11,"[(0, 1967.050537109375), (1, 2375.54833984375)]","[(0, 849.1881713867188), (1, 869.7158203125)]","[(0, 2753.13232421875), (1, 2971.72021484375)]","[(0, 6060.4501953125), (1, 5706.18701171875)]","[(0, 2770.635986328125), (1, 1736.14111328125)]","[(0, 9908.375), (1, 10727.9033203125)]","[(0, 12519.72265625), (1, 13901.9365234375)]","[(0, 3074.991455078125), (1, 2409.166015625)]","[(1, 151.55681501116072), (2, 155.47502253605768), (4, 286.7951847956731), (5, 307.0045166015625), (0, 337.13413492838544), (3, 740.5497602982955)]","[(0, 2153.59619140625), (1, 2242.930419921875)]","[(2, 233.912255859375), (1, 286.0689392089844), (4, 290.91127232142856), (5, 359.63634314903845), (0, 380.06985909598217), (3, 615.9723307291666)]","[(0, 4379.568359375), (1, 3991.367431640625)]","[(4, 170.20612980769232), (5, 200.3251953125), (3, 206.7701619466146), (1, 207.17818509615384), (2, 248.00838216145834), (0, 251.72233072916666)]","[(0, 9532.2353515625), (1, 8292.3876953125)]"
12,"[(0, 2683.21923828125), (1, 3288.8974609375)]","[(0, 1131.75048828125), (1, 1972.664794921875)]","[(0, 8457.400390625), (1, 8832.177734375)]","[(0, 7299.111328125), (1, 6703.6640625)]","[(0, 3684.795654296875), (1, 2957.37646484375)]","[(0, 13156.54296875), (1, 12031.2734375)]","[(0, 9847.3876953125), (1, 8843.9189453125)]","[(0, 2995.114990234375), (1, 3874.01171875)]","[(4, 321.7413736979167), (1, 347.9652913411458), (3, 429.35910866477275), (0, 460.1744495738636), (5, 462.6187855113636), (2, 496.8128551136364)]","[(0, 1624.2738037109375), (1, 2311.938232421875)]","[(1, 102.50503540039062), (2, 127.2810946377841), (4, 157.6504239169034), (0, 202.524560546875), (5, 217.0047119140625), (3, 375.13368055555554)]","[(0, 3668.435302734375), (1, 3545.523193359375)]","[(1, 220.0858709161932), (2, 250.82919921875), (0, 292.72822265625), (4, 297.2708185369318), (5, 342.376611328125), (3, 405.991796875)]","[(0, 6027.17626953125), (1, 5511.05029296875)]"
13,"[(0, 3104.018798828125), (1, 3876.8759765625)]","[(0, 1800.46728515625), (1, 3288.138427734375)]","[(0, 4253.23193359375), (1, 4966.65478515625)]","[(0, 16452.91015625), (1, 15941.5986328125)]","[(0, 3341.626708984375), (1, 2687.86376953125)]","[(0, 7195.3232421875), (1, 7004.01953125)]","[(0, 10798.86328125), (1, 12240.087890625)]","[(0, 869.8067016601562), (1, 934.5725708007812)]","[(4, 222.77744427849265), (3, 224.72822265625), (1, 247.74812825520834), (0, 252.94126892089844), (5, 421.1155598958333), (2, 443.2337341308594)]","[(0, 3166.296875), (1, 3425.8466796875)]","[(1, 71.94243948800224), (4, 84.30128696986607), (2, 104.55374145507812), (5, 129.8513387044271), (0, 148.63597615559897), (3, 182.57794189453125)]","[(0, 5864.9169921875), (1, 6701.61865234375)]","[(1, 181.47066824776786), (2, 204.88668118990384), (4, 209.51019287109375), (5, 245.69054066051137), (0, 333.53863525390625), (3, 358.03271484375)]","[(0, 2372.478271484375), (1, 2832.176025390625)]"
14,"[(0, 3160.7578125), (1, 3849.50244140625)]","[(0, 1366.9234619140625), (1, 2243.3837890625)]","[(0, 2728.47216796875), (1, 2722.704345703125)]","[(0, 18548.744140625), (1, 22218.91796875)]","[(0, 3945.927978515625), (1, 2160.32568359375)]","[(0, 9560.17578125), (1, 9801.0390625)]","[(0, 8671.794921875), (1, 7428.76904296875)]","[(0, 4343.8876953125), (1, 3296.257568359375)]","[(4, 213.42624080882354), (3, 247.9869842529297), (1, 301.71494140625), (5, 320.43658854166665), (0, 367.18980189732144), (2, 462.07605919471155)]","[(0, 4130.3544921875), (1, 2777.775390625)]","[(4, 482.3097478693182), (1, 562.5425248579545), (3, 594.56123046875), (5, 686.88505859375), (0, 705.35087890625), (2, 816.854541015625)]","[(0, 3926.861083984375), (1, 5259.037109375)]","[(4, 91.12651715959821), (1, 99.54196166992188), (3, 116.52371920072116), (0, 132.7780095880682), (5, 155.75609334309897), (2, 163.4759521484375)]","[(0, 12677.271484375), (1, 10751.8798828125)]"
15,"[(0, 1826.8646240234375), (1, 2042.01953125)]","[(0, 1041.379638671875), (1, 1395.369873046875)]","[(0, 1969.9171142578125), (1, 2181.870361328125)]","[(0, 3472.7080078125), (1, 3761.58056640625)]","[(0, 1493.9776611328125), (1, 1224.423828125)]","[(0, 12689.1015625), (1, 13974.71484375)]","[(0, 8577.4541015625), (1, 9603.3798828125)]","[(0, 3479.60009765625), (1, 3998.023193359375)]","[(4, 149.67378743489584), (1, 155.75363159179688), (3, 197.9520818536932), (0, 206.0086337002841), (5, 206.4446466619318), (2, 214.6449307528409)]","[(0, 3202.706787109375), (1, 4219.4248046875)]","[(1, 169.517822265625), (2, 189.36018880208334), (0, 332.07168856534093), (4, 343.59372780539775), (5, 406.414794921875), (3, 924.7523871527778)]","[(0, 1325.7315673828125), (1, 1273.74462890625)]","[(1, 294.494873046875), (0, 355.9953206380208), (4, 368.19921875), (2, 380.2307692307692), (3, 455.2888671875), (5, 479.8053533380682)]","[(0, 1796.90869140625), (1, 2110.359375)]"
16,"[(0, 2723.822265625), (1, 3085.864013671875)]","[(0, 949.91943359375), (1, 942.504150390625)]","[(0, 5224.5244140625), (1, 5501.56201171875)]","[(0, 6370.1572265625), (1, 6200.9521484375)]","[(0, 3105.55859375), (1, 2683.865234375)]","[(0, 9311.732421875), (1, 8595.0673828125)]","[(0, 13232.8486328125), (1, 14528.7705078125)]","[(0, 2515.112548828125), (1, 3029.906005859375)]","[(4, 232.28602183948863), (1, 236.6163884943182), (3, 274.1344970703125), (0, 277.3175048828125), (5, 302.0924072265625), (2, 310.5484375)]","[(0, 2202.995361328125), (1, 1226.7340087890625)]","[(4, 96.99248908547794), (3, 104.60359954833984), (5, 131.59359537760417), (0, 144.85194614955358), (1, 161.61162109375), (2, 170.5450721153846)]","[(0, 3671.9951171875), (1, 2405.796630859375)]","[(1, 118.93988037109375), (4, 130.07453264508928), (5, 130.79935396634616), (2, 139.39920748197116), (3, 149.35176908052884), (0, 158.62869966947116)]","[(0, 3959.32861328125), (1, 4384.85546875)]"
17,"[(0, 1894.7642822265625), (1, 2283.329345703125)]","[(0, 984.30224609375), (1, 1026.8291015625)]","[(0, 9234.2822265625), (1, 9929.66796875)]","[(0, 2635.6005859375), (1, 2844.528564453125)]","[(0, 3373.962890625), (1, 2846.7119140625)]","[(0, 6936.97216796875), (1, 6474.015625)]","[(0, 10810.744140625), (1, 10748.6611328125)]","[(0, 3713.16455078125), (1, 2307.849609375)]","[(4, 138.63959209735577), (1, 175.41996256510416), (3, 192.8519490559896), (5, 228.4713689630682), (0, 269.38265713778407), (2, 317.90107421875)]","[(0, 4798.75732421875), (1, 4451.30810546875)]","[(4, 133.7973836263021), (0, 154.91746937144887), (3, 154.9705144708807), (5, 166.4811456853693), (2, 167.98115678267047), (1, 241.67864990234375)]","[(0, 4966.7734375), (1, 5218.4296875)]","[(4, 208.28430989583333), (3, 233.84073311941964), (1, 303.39951869419644), (0, 331.89254056490387), (5, 379.9842998798077), (2, 629.034912109375)]","[(0, 7386.904296875), (1, 6820.07177734375)]"
18,"[(0, 2688.84814453125), (1, 3287.533203125)]","[(0, 1497.2060546875), (1, 2663.228271484375)]","[(0, 8346.9755859375), (1, 6449.8583984375)]","[(0, 5400.958984375), (1, 6186.26806640625)]","[(0, 11275.5810546875), (1, 5771.4404296875)]","[(0, 11002.85546875), (1, 11809.26171875)]","[(0, 9754.8994140625), (1, 10620.1025390625)]","[(0, 6603.71240234375), (1, 7118.99951171875)]","[(1, 151.50323486328125), (4, 155.69273158482142), (2, 163.86007486979167), (5, 183.25507061298077), (0, 218.91179547991072), (3, 259.30002848307294)]","[(0, 3981.01611328125), (1, 4521.89794921875)]","[(1, 100.24000901442308), (4, 107.99095740685097), (2, 108.22601318359375), (5, 116.2253926595052), (0, 142.8536376953125), (3, 151.12098185221353)]","[(0, 2716.720703125), (1, 1883.801513671875)]","[(2, 205.57828194754464), (1, 212.994970703125), (5, 248.60189383370536), (4, 272.59938151041666), (0, 409.5059344951923), (3, 549.4053861177885)]","[(0, 1701.0299072265625), (1, 1989.65869140625)]"
19,"[(0, 2098.676513671875), (1, 2579.77685546875)]","[(0, 2088.98681640625), (1, 3883.873779296875)]","[(0, 5505.970703125), (1, 4782.84912109375)]","[(0, 3720.161376953125), (1, 3486.209716796875)]","[(0, 2446.301025390625), (1, 1866.578369140625)]","[(0, 12419.0595703125), (1, 11953.822265625)]","[(0, 8084.412109375), (1, 9553.94140625)]","[(0, 3124.47314453125), (1, 3179.738525390625)]","[(4, 166.01881408691406), (3, 170.11835588727678), (1, 181.97308708639707), (0, 198.77356770833333), (5, 254.3614501953125), (2, 296.75416666666666)]","[(0, 2263.087646484375), (1, 1269.7919921875)]","[(4, 145.1032976422991), (3, 156.71235539362982), (0, 244.3034871419271), (5, 257.11708577473956), (1, 319.47025240384613), (2, 469.65487393465907)]","[(0, 1999.4718017578125), (1, 1804.0670166015625)]","[(1, 118.6480712890625), (4, 133.478759765625), (5, 135.71493094308036), (2, 139.03351702008928), (3, 143.5106201171875), (0, 146.32631138392858)]","[(0, 10435.490234375), (1, 8912.3046875)]"
