,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
0,"[(0, 99228.859375), (1, 96051.34375)]","[(0, 41908.81640625), (1, 39520.26953125)]","[(0, 31512.181640625), (1, 30141.283203125)]","[(0, 35632.29296875), (1, 29503.126953125)]","[(0, 29201.12109375), (1, 30925.03125)]","[(0, 23953.390625), (1, 25381.021484375)]","[(0, 25279.056640625), (1, 23938.705078125)]","[(0, 28514.125), (1, 53752.02734375)]","[(4, 2179.411075367647), (3, 2197.505126953125), (5, 2336.7692708333334), (1, 2579.3528645833335), (0, 2797.729073660714), (2, 2868.9627403846152)]","[(0, 47457.57421875), (1, 32183.171875)]","[(3, 1895.473353794643), (4, 1990.8915364583333), (5, 2148.2681790865386), (1, 2252.5618990384614), (0, 2257.58984375), (2, 2460.1890980113635)]","[(0, 52309.984375), (1, 38263.0625)]","[(1, 4674.958806818182), (4, 4825.520241477273), (2, 4839.50703125), (0, 4892.222265625), (5, 4943.078125), (3, 5086.402734375)]","[(0, 43848.203125), (1, 39436.98828125)]"
1,"[(0, 74860.671875), (1, 71670.5546875)]","[(0, 38475.69921875), (1, 34975.90625)]","[(0, 20412.298828125), (1, 23575.642578125)]","[(0, 24284.052734375), (1, 24563.04296875)]","[(0, 24352.701171875), (1, 20901.865234375)]","[(0, 47272.51171875), (1, 44647.02734375)]","[(0, 22400.423828125), (1, 21988.64453125)]","[(0, 27791.00390625), (1, 26453.3203125)]","[(4, 1725.487393465909), (3, 1800.6697265625), (5, 1825.8560546875), (1, 2193.2017045454545), (0, 2321.546875), (2, 2358.6099609375)]","[(0, 14502.44140625), (1, 17535.44140625)]","[(4, 2039.2473958333333), (3, 2235.392400568182), (5, 2286.4857954545455), (1, 2779.8981119791665), (0, 3133.5610795454545), (2, 3189.540838068182)]","[(0, 59367.76171875), (1, 50284.33984375)]","[(1, 2782.9176897321427), (5, 2826.259765625), (4, 2854.112548828125), (2, 3001.7102864583335), (3, 3176.37265625), (0, 3332.314002403846)]","[(0, 39160.69921875), (1, 44338.0)]"
2,"[(0, 53601.57421875), (1, 53720.25)]","[(0, 37722.94921875), (1, 33997.45703125)]","[(0, 28729.92578125), (1, 30295.63671875)]","[(0, 32925.67578125), (1, 28767.376953125)]","[(0, 22543.3046875), (1, 21137.26171875)]","[(0, 29634.111328125), (1, 30983.037109375)]","[(0, 29482.484375), (1, 28232.41796875)]","[(0, 60848.46484375), (1, 25381.67578125)]","[(2, 2053.8450055803573), (1, 2059.3322916666666), (0, 2416.394981971154), (4, 3695.446814903846), (5, 3798.0325520833335), (3, 3800.3082386363635)]","[(0, 38564.8203125), (1, 26267.642578125)]","[(4, 3003.3948102678573), (3, 3172.9609375), (5, 3202.3968098958335), (1, 3753.2047526041665), (2, 3842.63046875), (0, 3866.609375)]","[(0, 58815.83203125), (1, 65598.03125)]","[(0, 2102.61015625), (3, 2244.944140625), (1, 2261.7253196022725), (4, 2392.1090198863635), (2, 2408.9697265625), (5, 2531.7005859375)]","[(0, 39080.44921875), (1, 41902.8984375)]"
3,"[(0, 69260.4921875), (1, 64909.20703125)]","[(0, 45144.9296875), (1, 42564.80078125)]","[(0, 30162.1875), (1, 32751.115234375)]","[(0, 43771.828125), (1, 39881.58203125)]","[(0, 22050.341796875), (1, 21005.1171875)]","[(0, 30175.48046875), (1, 30208.103515625)]","[(0, 38427.33203125), (1, 39911.67578125)]","[(0, 29182.05078125), (1, 26521.57421875)]","[(4, 3334.6946022727275), (3, 3632.142578125), (5, 3683.6171875), (1, 4032.630681818182), (0, 4237.052734375), (2, 4257.7671875)]","[(0, 43869.69921875), (1, 21109.33984375)]","[(1, 2664.506610576923), (2, 2759.9700520833335), (0, 2797.6402994791665), (4, 3662.2572115384614), (5, 3768.8968098958335), (3, 3790.6800130208335)]","[(0, 27463.720703125), (1, 28383.24609375)]","[(1, 3865.0905539772725), (0, 4091.6921875), (2, 4452.808984375), (4, 4734.267045454545), (3, 4983.26796875), (5, 5383.44140625)]","[(0, 38443.71484375), (1, 35067.7578125)]"
4,"[(0, 73168.375), (1, 69984.609375)]","[(0, 35422.87109375), (1, 35137.1875)]","[(0, 36977.91015625), (1, 32956.90625)]","[(0, 37779.65234375), (1, 33424.66796875)]","[(0, 44637.95703125), (1, 46978.27734375)]","[(0, 39060.77734375), (1, 37126.24609375)]","[(0, 35007.33984375), (1, 32792.93359375)]","[(0, 26472.34765625), (1, 51444.359375)]","[(5, 2684.9661458333335), (4, 2715.3811383928573), (1, 2929.481510416667), (3, 2956.59375), (2, 2975.818810096154), (0, 3172.407451923077)]","[(0, 38337.6171875), (1, 22966.169921875)]","[(1, 1685.6775948660713), (0, 2005.693359375), (2, 2008.0474759615386), (4, 2355.921424278846), (5, 2382.71923828125), (3, 2644.5854048295455)]","[(0, 25915.158203125), (1, 61789.3046875)]","[(4, 2211.89501953125), (5, 2400.9132254464284), (3, 2616.2321428571427), (1, 3125.366943359375), (2, 3411.0906808035716), (0, 3736.0926339285716)]","[(0, 33819.98828125), (1, 33498.57421875)]"
5,"[(0, 75988.6640625), (1, 73370.3828125)]","[(0, 32235.392578125), (1, 31300.3671875)]","[(0, 18572.392578125), (1, 19671.640625)]","[(0, 31747.25390625), (1, 30004.51171875)]","[(0, 29683.49609375), (1, 28524.978515625)]","[(0, 28152.3515625), (1, 29820.341796875)]","[(0, 26622.279296875), (1, 28201.2578125)]","[(0, 49769.1328125), (1, 33726.64453125)]","[(4, 2812.782137784091), (3, 2822.6224609375), (5, 2894.623046875), (1, 3793.743252840909), (0, 3918.808203125), (2, 4070.069140625)]","[(0, 40044.85546875), (1, 60977.25390625)]","[(4, 1925.0342548076924), (5, 1940.2395833333333), (1, 2112.664620535714), (2, 2171.0389122596152), (3, 2252.3469460227275), (0, 2321.8172200520835)]","[(0, 36446.96484375), (1, 28735.654296875)]","[(1, 4312.2685546875), (2, 4600.31640625), (0, 4889.535866477273), (4, 4985.0078125), (5, 5358.670454545455), (3, 5601.4609375)]","[(0, 33146.40234375), (1, 35629.77734375)]"
6,"[(0, 78800.9375), (1, 75300.5234375)]","[(0, 30251.376953125), (1, 30421.83984375)]","[(0, 64673.9140625), (1, 54341.98046875)]","[(0, 42419.84765625), (1, 41533.73046875)]","[(0, 28730.009765625), (1, 27560.431640625)]","[(0, 23988.18359375), (1, 22521.212890625)]","[(0, 34181.859375), (1, 39262.86328125)]","[(0, 54744.8515625), (1, 55568.9453125)]","[(1, 3578.6663411458335), (2, 3691.751775568182), (0, 3870.93359375), (4, 3891.439453125), (5, 3980.646306818182), (3, 4210.125710227273)]","[(0, 39822.75), (1, 39154.5)]","[(1, 2862.4853515625), (0, 2869.6686789772725), (2, 3280.01875), (3, 3424.1337139423076), (4, 3629.640066964286), (5, 4339.781901041667)]","[(0, 33096.2421875), (1, 50202.01953125)]","[(3, 2561.2578125), (0, 2573.8836495535716), (5, 2847.8641183035716), (1, 2963.784375), (2, 3023.309795673077), (4, 3032.227294921875)]","[(0, 49466.1015625), (1, 46517.5234375)]"
7,"[(0, 74469.25), (1, 73784.6640625)]","[(0, 26265.5625), (1, 24989.09765625)]","[(0, 22756.78125), (1, 25860.103515625)]","[(0, 26599.79296875), (1, 26057.13671875)]","[(0, 29177.4609375), (1, 30997.458984375)]","[(0, 29253.2734375), (1, 31505.361328125)]","[(0, 24213.681640625), (1, 28587.615234375)]","[(0, 59069.515625), (1, 46985.984375)]","[(1, 2689.547119140625), (2, 2803.0989583333335), (4, 2865.2257254464284), (0, 2874.2594866071427), (3, 3092.8095703125), (5, 3096.8419471153848)]","[(0, 40648.01171875), (1, 20619.91015625)]","[(2, 2036.9673828125), (1, 2103.213778409091), (0, 2457.07265625), (5, 2523.5314453125), (4, 2571.664950284091), (3, 2990.3841796875)]","[(0, 49319.328125), (1, 55970.0703125)]","[(1, 2906.0558035714284), (0, 2979.590144230769), (2, 3219.2049278846152), (4, 3474.3370535714284), (3, 3535.6688701923076), (5, 3866.29296875)]","[(0, 39875.98828125), (1, 37989.421875)]"
8,"[(0, 67138.59375), (1, 63913.79296875)]","[(0, 27379.720703125), (1, 24824.37109375)]","[(0, 33927.49609375), (1, 34848.45703125)]","[(0, 29284.646484375), (1, 25434.837890625)]","[(0, 39734.20703125), (1, 38010.33203125)]","[(0, 41647.83984375), (1, 38983.26171875)]","[(0, 33025.01953125), (1, 30345.833984375)]","[(0, 32963.72265625), (1, 24400.75390625)]","[(4, 1984.506103515625), (3, 2022.93203125), (5, 2147.1946614583335), (1, 3242.468505859375), (0, 3370.854427083333), (2, 3491.5455729166665)]","[(0, 35523.17578125), (1, 48850.46875)]","[(0, 1795.3031850961538), (1, 1815.5889322916667), (2, 1911.9305889423076), (3, 2325.5539899553573), (4, 2407.73046875), (5, 2666.3727678571427)]","[(0, 26507.185546875), (1, 40484.67578125)]","[(0, 3051.5237165178573), (3, 3091.4771634615386), (5, 3277.4773995535716), (2, 3327.651822916667), (4, 3452.59921875), (1, 3515.43310546875)]","[(0, 28414.255859375), (1, 30769.671875)]"
9,"[(0, 75159.6875), (1, 72140.90625)]","[(0, 38695.015625), (1, 36358.0234375)]","[(0, 24712.361328125), (1, 25071.453125)]","[(0, 38781.57421875), (1, 36533.7890625)]","[(0, 22270.3203125), (1, 20618.12109375)]","[(0, 38074.984375), (1, 37163.83203125)]","[(0, 27046.986328125), (1, 28425.396484375)]","[(0, 37389.6796875), (1, 39520.26953125)]","[(2, 1999.816685267857), (4, 2097.5915178571427), (5, 2200.8326322115386), (3, 2273.26171875), (1, 2312.0794270833335), (0, 2349.981670673077)]","[(0, 28262.966796875), (1, 22181.953125)]","[(5, 3092.6015625), (3, 3225.5349264705883), (4, 3230.904296875), (2, 4628.754166666667), (1, 4891.237591911765), (0, 5093.2587890625)]","[(0, 70264.625), (1, 52034.79296875)]","[(2, 3615.161358173077), (1, 3776.6481584821427), (0, 3959.9684244791665), (5, 5331.887044270833), (3, 5509.876775568182), (4, 5731.245192307692)]","[(0, 50355.02734375), (1, 52797.5390625)]"
