,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 20842.0703125), (1, 20603.025390625)]","[(0, 23735.205078125), (1, 23582.1640625)]","[(0, 25687.431640625), (1, 23871.5)]","[(0, 23933.59375), (1, 23713.328125)]","[(0, 24560.513671875), (1, 19061.517578125)]","[(0, 23239.9921875), (1, 24571.453125)]","[(0, 37472.5), (1, 35356.3125)]","[(0, 25299.62890625), (1, 22373.076171875)]","[(0, 25410.083984375), (1, 26027.060546875)]","[(0, 21966.552734375), (1, 23350.115234375)]","[(0, 22920.091796875), (1, 23089.12890625)]"
1,"[(0, 27869.30078125), (1, 29716.296875)]","[(0, 24542.322265625), (1, 24850.33203125)]","[(0, 23239.615234375), (1, 23394.71875)]","[(0, 21617.2109375), (1, 21896.236328125)]","[(0, 21171.73828125), (1, 17872.314453125)]","[(0, 19957.50390625), (1, 19871.109375)]","[(0, 36156.74609375), (1, 34419.375)]","[(0, 23124.41015625), (1, 21454.5078125)]","[(0, 25579.306640625), (1, 27937.609375)]","[(0, 24863.892578125), (1, 27854.60546875)]","[(0, 28493.1953125), (1, 26464.244140625)]"
2,"[(0, 23427.3359375), (1, 25815.4296875)]","[(0, 25288.099609375), (1, 26136.25390625)]","[(0, 30392.8125), (1, 29872.404296875)]","[(0, 26967.142578125), (1, 27609.755859375)]","[(0, 20612.458984375), (1, 20703.951171875)]","[(0, 28104.306640625), (1, 28637.9609375)]","[(0, 18254.94140625), (1, 18132.375)]","[(0, 23652.953125), (1, 22028.29296875)]","[(0, 19956.779296875), (1, 24359.693359375)]","[(0, 27196.486328125), (1, 27885.888671875)]","[(0, 23625.068359375), (1, 26041.287109375)]"
3,"[(0, 25846.1484375), (1, 26783.603515625)]","[(0, 22090.75390625), (1, 23052.84765625)]","[(0, 21194.123046875), (1, 23081.42578125)]","[(0, 26609.10546875), (1, 26871.564453125)]","[(0, 21101.93359375), (1, 23335.15625)]","[(0, 31413.884765625), (1, 33553.0859375)]","[(0, 21613.5625), (1, 21089.5)]","[(0, 25502.533203125), (1, 20357.7109375)]","[(0, 23034.71875), (1, 24326.65625)]","[(0, 24659.0859375), (1, 25176.23046875)]","[(0, 30502.658203125), (1, 28465.13671875)]"
4,"[(0, 23916.025390625), (1, 24084.576171875)]","[(0, 19249.548828125), (1, 18147.02734375)]","[(0, 29853.634765625), (1, 31402.263671875)]","[(0, 26937.814453125), (1, 24488.6640625)]","[(0, 30200.296875), (1, 25383.85546875)]","[(0, 25354.748046875), (1, 25068.033203125)]","[(0, 21470.224609375), (1, 21987.66015625)]","[(0, 28076.927734375), (1, 22897.521484375)]","[(0, 20215.185546875), (1, 25964.06640625)]","[(0, 20092.3125), (1, 20509.75)]","[(0, 25856.80078125), (1, 24722.380859375)]"
5,"[(0, 19334.40234375), (1, 20886.521484375)]","[(0, 18248.341796875), (1, 18837.900390625)]","[(0, 23863.12109375), (1, 25115.724609375)]","[(0, 22422.82421875), (1, 20419.66015625)]","[(0, 30691.041015625), (1, 25789.88671875)]","[(0, 26935.26953125), (1, 28935.521484375)]","[(0, 23951.69921875), (1, 23700.734375)]","[(0, 30061.01953125), (1, 26172.544921875)]","[(0, 21509.71875), (1, 21708.02734375)]","[(0, 27651.548828125), (1, 28232.443359375)]","[(0, 26215.61328125), (1, 26734.7578125)]"
6,"[(0, 22171.779296875), (1, 23199.11328125)]","[(0, 20658.52734375), (1, 22031.27734375)]","[(0, 20276.140625), (1, 20977.591796875)]","[(0, 29483.607421875), (1, 33093.53125)]","[(0, 26346.369140625), (1, 26577.37890625)]","[(0, 25823.654296875), (1, 25922.5234375)]","[(0, 24703.78515625), (1, 23394.962890625)]","[(0, 24541.40625), (1, 21719.416015625)]","[(0, 29090.330078125), (1, 27841.2734375)]","[(0, 30314.25), (1, 26844.15625)]","[(0, 26437.70703125), (1, 22860.015625)]"
7,"[(0, 18580.08203125), (1, 18537.62109375)]","[(0, 21018.703125), (1, 22322.734375)]","[(0, 22649.564453125), (1, 24258.984375)]","[(0, 27229.005859375), (1, 29584.046875)]","[(0, 26921.814453125), (1, 27259.923828125)]","[(0, 23287.09375), (1, 24066.298828125)]","[(0, 28098.89453125), (1, 28109.8828125)]","[(0, 20658.48828125), (1, 25538.236328125)]","[(0, 20028.662109375), (1, 20790.654296875)]","[(0, 24910.671875), (1, 27369.224609375)]","[(0, 29225.75), (1, 30000.732421875)]"
8,"[(0, 21491.244140625), (1, 22694.8828125)]","[(0, 22649.564453125), (1, 22587.5703125)]","[(0, 30950.314453125), (1, 28507.681640625)]","[(0, 27198.953125), (1, 26059.125)]","[(0, 24943.48046875), (1, 23849.109375)]","[(0, 22156.7734375), (1, 21829.287109375)]","[(0, 24871.6953125), (1, 23779.81640625)]","[(0, 25590.017578125), (1, 27209.61328125)]","[(0, 26428.431640625), (1, 25583.552734375)]","[(0, 23049.923828125), (1, 18789.3828125)]","[(0, 24658.427734375), (1, 24587.98046875)]"
9,"[(0, 23968.814453125), (1, 24698.177734375)]","[(0, 25953.220703125), (1, 26839.064453125)]","[(0, 26811.177734375), (1, 27019.9921875)]","[(0, 25981.6015625), (1, 26566.7109375)]","[(0, 30601.927734375), (1, 29522.60546875)]","[(0, 23806.2734375), (1, 23321.4296875)]","[(0, 21685.927734375), (1, 20030.6484375)]","[(0, 24818.146484375), (1, 26572.943359375)]","[(0, 17939.0625), (1, 24552.12890625)]","[(0, 27338.912109375), (1, 23018.46875)]","[(0, 24587.62890625), (1, 23745.0546875)]"
10,"[(0, 23942.314453125), (1, 23777.298828125)]","[(0, 25218.978515625), (1, 24125.9765625)]","[(0, 25987.103515625), (1, 25530.931640625)]","[(0, 26286.86328125), (1, 28847.708984375)]","[(0, 26168.5546875), (1, 26155.404296875)]","[(0, 21626.078125), (1, 22575.919921875)]","[(0, 27935.31640625), (1, 24258.3828125)]","[(0, 21663.685546875), (1, 19409.001953125)]","[(0, 23418.24609375), (1, 23260.21484375)]","[(0, 27516.703125), (1, 21500.181640625)]","[(0, 29976.39453125), (1, 29380.73828125)]"
11,"[(0, 24710.689453125), (1, 26599.26171875)]","[(0, 18359.783203125), (1, 19326.5859375)]","[(0, 22251.001953125), (1, 19474.8046875)]","[(0, 23829.23828125), (1, 24162.91015625)]","[(0, 20309.251953125), (1, 20176.14453125)]","[(0, 20357.498046875), (1, 20849.068359375)]","[(0, 27517.857421875), (1, 24504.66796875)]","[(0, 24718.466796875), (1, 22921.42578125)]","[(0, 22186.712890625), (1, 27002.4765625)]","[(0, 17978.40234375), (1, 21336.814453125)]","[(0, 30600.177734375), (1, 28376.236328125)]"
12,"[(0, 20691.732421875), (1, 21101.1484375)]","[(0, 15921.876953125), (1, 17608.82421875)]","[(0, 31414.9921875), (1, 35655.4765625)]","[(0, 27355.916015625), (1, 23957.572265625)]","[(0, 23745.0078125), (1, 25388.888671875)]","[(0, 19189.228515625), (1, 18415.3359375)]","[(0, 18795.8359375), (1, 17157.38671875)]","[(0, 28642.412109375), (1, 25285.638671875)]","[(0, 22177.46875), (1, 26116.24609375)]","[(0, 25520.048828125), (1, 20741.361328125)]","[(0, 32932.6796875), (1, 30231.736328125)]"
13,"[(0, 18575.740234375), (1, 18909.537109375)]","[(0, 17303.75), (1, 19262.828125)]","[(0, 29344.08203125), (1, 32937.234375)]","[(0, 30018.705078125), (1, 29935.05859375)]","[(0, 24178.03125), (1, 25514.2578125)]","[(0, 19569.8671875), (1, 19917.00390625)]","[(0, 24168.71875), (1, 24811.638671875)]","[(0, 22417.62890625), (1, 22859.994140625)]","[(0, 26168.37890625), (1, 20286.7578125)]","[(0, 19291.064453125), (1, 20602.908203125)]","[(0, 23853.33984375), (1, 24334.849609375)]"
14,"[(0, 22210.486328125), (1, 22608.130859375)]","[(0, 16415.953125), (1, 18215.654296875)]","[(0, 20272.814453125), (1, 21055.55859375)]","[(0, 25734.607421875), (1, 25907.91796875)]","[(0, 25237.0), (1, 21849.365234375)]","[(0, 23182.615234375), (1, 22038.37890625)]","[(0, 18760.84375), (1, 19212.72265625)]","[(0, 22060.396484375), (1, 23659.923828125)]","[(0, 25938.796875), (1, 24114.935546875)]","[(0, 22267.21875), (1, 23267.646484375)]","[(0, 29354.578125), (1, 28717.052734375)]"
15,"[(0, 22188.150390625), (1, 21750.8203125)]","[(0, 20379.970703125), (1, 20811.681640625)]","[(0, 22625.30078125), (1, 23556.830078125)]","[(0, 21546.572265625), (1, 24163.580078125)]","[(0, 26613.318359375), (1, 24423.59375)]","[(0, 20569.806640625), (1, 21520.1015625)]","[(0, 20845.986328125), (1, 21570.708984375)]","[(0, 23742.177734375), (1, 24245.96484375)]","[(0, 23587.697265625), (1, 20685.634765625)]","[(0, 25240.779296875), (1, 22196.27734375)]","[(0, 18774.71484375), (1, 18873.361328125)]"
16,"[(0, 24513.525390625), (1, 24614.796875)]","[(0, 21033.380859375), (1, 21131.919921875)]","[(0, 25849.525390625), (1, 27098.595703125)]","[(0, 22966.521484375), (1, 21235.578125)]","[(0, 20394.126953125), (1, 21271.83984375)]","[(0, 22079.90625), (1, 21322.595703125)]","[(0, 27374.39453125), (1, 26411.044921875)]","[(0, 23101.3984375), (1, 23884.091796875)]","[(0, 19949.55078125), (1, 18803.3125)]","[(0, 21126.03515625), (1, 21022.5703125)]","[(0, 26654.720703125), (1, 26684.40234375)]"
17,"[(0, 23730.927734375), (1, 24819.63671875)]","[(0, 19119.869140625), (1, 19132.251953125)]","[(0, 22667.435546875), (1, 23481.265625)]","[(0, 24850.92578125), (1, 24820.37109375)]","[(0, 20588.13671875), (1, 21457.5546875)]","[(0, 22465.162109375), (1, 21835.4921875)]","[(0, 23833.328125), (1, 23080.28125)]","[(0, 23018.314453125), (1, 21497.06640625)]","[(0, 24777.328125), (1, 25378.529296875)]","[(0, 20743.736328125), (1, 21567.232421875)]","[(0, 32526.1015625), (1, 28141.828125)]"
18,"[(0, 19134.734375), (1, 20675.8125)]","[(0, 15927.90625), (1, 17430.51953125)]","[(0, 28656.345703125), (1, 32215.478515625)]","[(0, 22381.376953125), (1, 23309.267578125)]","[(0, 30247.857421875), (1, 25637.67578125)]","[(0, 21715.3984375), (1, 22443.041015625)]","[(0, 34312.171875), (1, 36667.72265625)]","[(0, 30311.935546875), (1, 28732.88671875)]","[(0, 22901.912109375), (1, 25926.109375)]","[(0, 27092.7578125), (1, 28470.1328125)]","[(0, 25413.162109375), (1, 25565.6484375)]"
19,"[(0, 26733.078125), (1, 26376.18359375)]","[(0, 17415.763671875), (1, 18911.681640625)]","[(0, 25607.5234375), (1, 27460.208984375)]","[(0, 26878.484375), (1, 25652.791015625)]","[(0, 30465.939453125), (1, 31712.302734375)]","[(0, 23620.85546875), (1, 24011.484375)]","[(0, 22745.390625), (1, 25600.63671875)]","[(0, 23073.4140625), (1, 23573.822265625)]","[(0, 29493.787109375), (1, 24584.228515625)]","[(0, 23441.55078125), (1, 23723.98046875)]","[(0, 31673.130859375), (1, 27522.94921875)]"
20,"[(0, 22192.892578125), (1, 22868.017578125)]","[(0, 16528.873046875), (1, 18878.869140625)]","[(0, 26926.462890625), (1, 25959.11328125)]","[(0, 24812.23046875), (1, 23748.06640625)]","[(0, 28607.76953125), (1, 25461.509765625)]","[(0, 31765.60546875), (1, 31954.564453125)]","[(0, 22372.22265625), (1, 23133.1015625)]","[(0, 21376.91796875), (1, 23176.912109375)]","[(0, 23156.5859375), (1, 20457.298828125)]","[(0, 22054.990234375), (1, 23510.552734375)]","[(0, 33581.640625), (1, 26582.576171875)]"
21,"[(0, 23274.525390625), (1, 24909.17578125)]","[(0, 18484.908203125), (1, 19792.80859375)]","[(0, 23130.716796875), (1, 22509.7890625)]","[(0, 25982.568359375), (1, 26897.923828125)]","[(0, 22776.01953125), (1, 22160.216796875)]","[(0, 25760.978515625), (1, 26925.767578125)]","[(0, 25179.255859375), (1, 24363.759765625)]","[(0, 22180.662109375), (1, 19124.591796875)]","[(0, 31182.978515625), (1, 26706.041015625)]","[(0, 24204.263671875), (1, 23773.6484375)]","[(0, 28215.97265625), (1, 24943.716796875)]"
