,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 769.4867553710938), (1, 945.6954956054688)]","[(0, 1031.7764892578125), (1, 1150.304443359375)]","[(0, 2570.66943359375), (1, 2649.87060546875)]","[(0, 1630.8370361328125), (1, 1818.1976318359375)]","[(0, 3058.0703125), (1, 2028.00341796875)]","[(0, 3913.3017578125), (1, 3925.887451171875)]","[(0, 6302.333984375), (1, 7107.84033203125)]","[(0, 1267.8408203125), (1, 901.2137451171875)]","[(0, 3238.139404296875), (1, 2870.625)]","[(0, 1668.958740234375), (1, 1364.046875)]","[(0, 3148.47998046875), (1, 3652.642333984375)]"
1,"[(0, 1559.1436767578125), (1, 1994.432861328125)]","[(0, 1364.9818115234375), (1, 1614.6273193359375)]","[(0, 1398.4013671875), (1, 1397.349365234375)]","[(0, 3007.307861328125), (1, 3175.90478515625)]","[(0, 3013.431640625), (1, 1724.1729736328125)]","[(0, 4740.720703125), (1, 4809.90087890625)]","[(0, 4992.66064453125), (1, 5877.1669921875)]","[(0, 1295.2884521484375), (1, 814.6443481445312)]","[(0, 1597.90869140625), (1, 1120.6708984375)]","[(0, 1264.0655517578125), (1, 1890.6766357421875)]","[(0, 1401.59228515625), (1, 1799.759765625)]"
2,"[(0, 1532.769775390625), (1, 1924.560302734375)]","[(0, 1222.5377197265625), (1, 1309.78662109375)]","[(0, 1367.08251953125), (1, 1434.7841796875)]","[(0, 2749.2939453125), (1, 3016.896240234375)]","[(0, 1370.7451171875), (1, 1182.5675048828125)]","[(0, 6099.99072265625), (1, 6328.123046875)]","[(0, 1914.1907958984375), (1, 1852.7802734375)]","[(0, 1056.0982666015625), (1, 970.0567626953125)]","[(0, 1697.48828125), (1, 1599.0916748046875)]","[(0, 4206.001953125), (1, 5249.37158203125)]","[(0, 2125.939697265625), (1, 2779.8134765625)]"
3,"[(0, 1589.1568603515625), (1, 2049.45556640625)]","[(0, 1273.5302734375), (1, 1319.4156494140625)]","[(0, 7557.61669921875), (1, 6978.89599609375)]","[(0, 4146.2470703125), (1, 3960.8203125)]","[(0, 1365.168701171875), (1, 1222.5242919921875)]","[(0, 4309.42529296875), (1, 4356.1005859375)]","[(0, 4261.140625), (1, 4371.6611328125)]","[(0, 3000.6669921875), (1, 2708.09130859375)]","[(0, 912.1504516601562), (1, 1278.40185546875)]","[(0, 1970.7532958984375), (1, 1398.2232666015625)]","[(0, 3288.339111328125), (1, 4068.13037109375)]"
4,"[(0, 1134.7176513671875), (1, 1601.6900634765625)]","[(0, 826.2756958007812), (1, 702.4749755859375)]","[(0, 6413.98046875), (1, 5646.87646484375)]","[(0, 3332.833251953125), (1, 3450.635498046875)]","[(0, 4462.90380859375), (1, 2765.67822265625)]","[(0, 3943.83251953125), (1, 3929.3896484375)]","[(0, 2866.6005859375), (1, 2833.076904296875)]","[(0, 1727.6754150390625), (1, 1485.522216796875)]","[(0, 1793.821533203125), (1, 2891.319091796875)]","[(0, 593.414306640625), (1, 796.6429443359375)]","[(0, 2496.40625), (1, 3039.111572265625)]"
5,"[(0, 1189.747314453125), (1, 1688.857421875)]","[(0, 431.9897155761719), (1, 385.6575927734375)]","[(0, 2728.703857421875), (1, 3114.236572265625)]","[(0, 2605.469970703125), (1, 2737.17431640625)]","[(0, 5022.84326171875), (1, 3111.751708984375)]","[(0, 4424.9482421875), (1, 4462.716796875)]","[(0, 4674.791015625), (1, 4472.75927734375)]","[(0, 2539.163818359375), (1, 2063.629638671875)]","[(0, 1296.1824951171875), (1, 1667.7059326171875)]","[(0, 833.79248046875), (1, 1177.2166748046875)]","[(0, 1325.9029541015625), (1, 1726.2376708984375)]"
6,"[(0, 1232.4493408203125), (1, 1659.18701171875)]","[(0, 1105.9400634765625), (1, 1268.1436767578125)]","[(0, 1889.0718994140625), (1, 1731.0936279296875)]","[(0, 2373.615478515625), (1, 2586.797119140625)]","[(0, 1872.4200439453125), (1, 1713.9241943359375)]","[(0, 2936.236328125), (1, 2931.064453125)]","[(0, 6114.79052734375), (1, 6925.07470703125)]","[(0, 1036.7728271484375), (1, 1121.0509033203125)]","[(0, 2194.530029296875), (1, 2080.621337890625)]","[(0, 2598.502197265625), (1, 2109.486083984375)]","[(0, 2839.85302734375), (1, 3315.700927734375)]"
7,"[(0, 1193.358154296875), (1, 1663.7059326171875)]","[(0, 1605.2852783203125), (1, 2002.3704833984375)]","[(0, 1661.384765625), (1, 1603.36279296875)]","[(0, 5198.892578125), (1, 5224.6142578125)]","[(0, 1994.615234375), (1, 1777.3701171875)]","[(0, 3232.542236328125), (1, 3282.793212890625)]","[(0, 6004.4287109375), (1, 6733.79248046875)]","[(0, 2107.387939453125), (1, 2107.826904296875)]","[(0, 1276.0389404296875), (1, 1411.0831298828125)]","[(0, 1678.9306640625), (1, 1766.8321533203125)]","[(0, 2859.147216796875), (1, 3368.20166015625)]"
8,"[(0, 1884.6927490234375), (1, 2714.714599609375)]","[(0, 1360.48974609375), (1, 1521.6722412109375)]","[(0, 4353.56298828125), (1, 4158.4912109375)]","[(0, 3651.471923828125), (1, 3613.173828125)]","[(0, 4497.34033203125), (1, 2570.6435546875)]","[(0, 3968.40869140625), (1, 3883.025634765625)]","[(0, 3556.15283203125), (1, 3525.384033203125)]","[(0, 1066.7308349609375), (1, 1021.9552001953125)]","[(0, 2604.652587890625), (1, 3382.926025390625)]","[(0, 2429.98876953125), (1, 2525.763427734375)]","[(0, 892.0625), (1, 1203.6275634765625)]"
9,"[(0, 1392.8165283203125), (1, 1985.6494140625)]","[(0, 924.9864501953125), (1, 1001.812255859375)]","[(0, 2205.64404296875), (1, 2344.322509765625)]","[(0, 5640.439453125), (1, 5794.5263671875)]","[(0, 1144.3837890625), (1, 1025.8116455078125)]","[(0, 2576.30908203125), (1, 2490.947265625)]","[(0, 3822.103271484375), (1, 3915.728271484375)]","[(0, 1712.6651611328125), (1, 1508.9237060546875)]","[(0, 843.287109375), (1, 1311.84423828125)]","[(0, 2925.814208984375), (1, 2203.302001953125)]","[(0, 1918.2330322265625), (1, 2503.466796875)]"
