,epoch_4
anaphoric-one-semantics,0.002
anaphoric-one-syntax,0.292
island-adjunct,0.74
island-complex-np,0.282
island-wh,0.99
principle_a_command,0.482
principle_a_locality,0.252
question-formation_or,0.694
question-formation_or_strict,0.17
question-formation_rr,0.67
question-formation_rr_strict,0.154
question-formation_sr,0.704
question-formation_sr_strict,0.158
wanna,0.376
