,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
10,"[(0, 14186.98828125), (1, 12141.48828125)]","[(0, 4868.3857421875), (1, 4447.455078125)]","[(0, 16024.8857421875), (1, 16818.490234375)]","[(0, 12175.5791015625), (1, 12695.85546875)]","[(0, 10270.7158203125), (1, 9571.7255859375)]","[(0, 5940.2333984375), (1, 6171.8427734375)]","[(0, 9988.935546875), (1, 8545.9443359375)]","[(0, 8686.3369140625), (1, 6659.78564453125)]","[(0, 8454.642578125), (1, 8359.275390625)]","[(0, 12568.267578125), (1, 8450.2568359375)]","[(0, 10618.26953125), (1, 13598.9501953125)]"
11,"[(0, 17590.71484375), (1, 15577.33203125)]","[(0, 4518.59130859375), (1, 4148.73486328125)]","[(0, 8232.5185546875), (1, 7445.9765625)]","[(0, 12124.548828125), (1, 11517.453125)]","[(0, 8730.328125), (1, 7361.64306640625)]","[(0, 11000.3271484375), (1, 10506.880859375)]","[(0, 9300.248046875), (1, 8750.6669921875)]","[(0, 13465.060546875), (1, 5716.044921875)]","[(0, 5342.37451171875), (1, 5824.8720703125)]","[(0, 9487.7587890625), (1, 18283.84375)]","[(0, 10559.498046875), (1, 13324.2275390625)]"
12,"[(0, 12129.7529296875), (1, 11803.3505859375)]","[(0, 5067.0146484375), (1, 5065.71484375)]","[(0, 22774.82421875), (1, 24252.18359375)]","[(0, 13081.69921875), (1, 12507.16796875)]","[(0, 12862.783203125), (1, 13210.7822265625)]","[(0, 8050.02978515625), (1, 8152.16357421875)]","[(0, 8795.8642578125), (1, 8669.4794921875)]","[(0, 16017.1689453125), (1, 9049.3818359375)]","[(0, 4873.2255859375), (1, 6738.3662109375)]","[(0, 13252.55078125), (1, 17843.39453125)]","[(0, 13399.93359375), (1, 15753.9951171875)]"
13,"[(0, 10146.3642578125), (1, 9841.248046875)]","[(0, 4395.33935546875), (1, 4671.82275390625)]","[(0, 15923.2587890625), (1, 17289.6796875)]","[(0, 17371.142578125), (1, 16873.94921875)]","[(0, 13306.1572265625), (1, 13756.53515625)]","[(0, 6580.48291015625), (1, 6665.25)]","[(0, 9960.02734375), (1, 9785.451171875)]","[(0, 5052.81787109375), (1, 7705.42822265625)]","[(0, 10755.2236328125), (1, 5463.1904296875)]","[(0, 9191.94140625), (1, 7239.56689453125)]","[(0, 6840.90380859375), (1, 5869.3984375)]"
14,"[(0, 9545.599609375), (1, 8738.8916015625)]","[(0, 4918.505859375), (1, 5443.609375)]","[(0, 9708.3935546875), (1, 9467.2060546875)]","[(0, 16375.5498046875), (1, 17290.732421875)]","[(0, 11479.916015625), (1, 9280.5439453125)]","[(0, 11983.7275390625), (1, 11285.5107421875)]","[(0, 6561.408203125), (1, 6793.97509765625)]","[(0, 5434.703125), (1, 6383.72509765625)]","[(0, 6432.9462890625), (1, 6992.9404296875)]","[(0, 8199.4296875), (1, 6009.75634765625)]","[(0, 11736.552734375), (1, 14605.9296875)]"
15,"[(0, 17181.193359375), (1, 16527.216796875)]","[(0, 5022.919921875), (1, 5028.73876953125)]","[(0, 7286.80029296875), (1, 7156.77978515625)]","[(0, 10616.8623046875), (1, 12112.8759765625)]","[(0, 12675.373046875), (1, 11059.5595703125)]","[(0, 10409.0810546875), (1, 10303.8857421875)]","[(0, 7970.75732421875), (1, 7626.1669921875)]","[(0, 5685.10595703125), (1, 5961.9130859375)]","[(0, 9275.748046875), (1, 5575.00830078125)]","[(0, 6250.5048828125), (1, 8828.1357421875)]","[(0, 5591.0185546875), (1, 5098.37109375)]"
16,"[(0, 9580.556640625), (1, 9285.12890625)]","[(0, 5620.6357421875), (1, 5231.99365234375)]","[(0, 13271.787109375), (1, 13266.876953125)]","[(0, 12345.9033203125), (1, 11692.357421875)]","[(0, 11257.046875), (1, 10863.8359375)]","[(0, 9380.12109375), (1, 9836.9130859375)]","[(0, 11265.5205078125), (1, 10183.2978515625)]","[(0, 6047.390625), (1, 7702.291015625)]","[(0, 3581.761474609375), (1, 4059.44921875)]","[(0, 9739.9423828125), (1, 10016.84765625)]","[(0, 9344.3720703125), (1, 8560.9619140625)]"
17,"[(0, 22360.46875), (1, 21692.546875)]","[(0, 5083.07861328125), (1, 4764.611328125)]","[(0, 15128.94140625), (1, 16146.7041015625)]","[(0, 12633.73828125), (1, 12409.7421875)]","[(0, 10579.587890625), (1, 10202.7587890625)]","[(0, 9298.0048828125), (1, 9622.677734375)]","[(0, 9741.41015625), (1, 9057.6875)]","[(0, 6417.345703125), (1, 6383.1953125)]","[(0, 9790.109375), (1, 7420.35009765625)]","[(0, 8376.912109375), (1, 8480.8466796875)]","[(0, 15458.1875), (1, 17402.232421875)]"
18,"[(0, 12899.2177734375), (1, 12799.580078125)]","[(0, 4597.27490234375), (1, 5029.337890625)]","[(0, 12799.0908203125), (1, 15378.388671875)]","[(0, 12420.421875), (1, 12203.8857421875)]","[(0, 18039.115234375), (1, 14158.7529296875)]","[(0, 9604.4140625), (1, 9549.5419921875)]","[(0, 14312.1337890625), (1, 16876.830078125)]","[(0, 16233.8486328125), (1, 8856.748046875)]","[(0, 4679.5859375), (1, 9302.2353515625)]","[(0, 9500.30859375), (1, 10115.890625)]","[(0, 6040.94677734375), (1, 5571.25537109375)]"
19,"[(0, 15060.0166015625), (1, 13932.99609375)]","[(0, 4699.537109375), (1, 5396.40234375)]","[(0, 11990.5751953125), (1, 13193.9365234375)]","[(0, 12670.974609375), (1, 12262.6494140625)]","[(0, 13254.142578125), (1, 12762.916015625)]","[(0, 11556.3681640625), (1, 11569.6337890625)]","[(0, 7038.22216796875), (1, 8583.337890625)]","[(0, 5990.998046875), (1, 7445.2451171875)]","[(0, 9931.7421875), (1, 4569.5009765625)]","[(0, 5770.64794921875), (1, 6050.5)]","[(0, 12357.56640625), (1, 15786.70703125)]"
