,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 50065.7109375), (1, 51732.37109375)]","[(0, 35967.9375), (1, 36424.86328125)]","[(0, 10676.595703125), (1, 11316.517578125)]","[(0, 25930.609375), (1, 23899.744140625)]","[(0, 32841.00390625), (1, 19795.453125)]","[(0, 16619.96484375), (1, 17771.40625)]","[(0, 24473.044921875), (1, 21996.23828125)]","[(0, 15292.6416015625), (1, 19835.306640625)]","[(0, 31584.091796875), (1, 14043.9208984375)]","[(0, 22439.017578125), (1, 35897.41015625)]","[(0, 34525.0703125), (1, 27352.658203125)]"
1,"[(0, 46534.8671875), (1, 47986.9140625)]","[(0, 34113.30859375), (1, 34205.109375)]","[(0, 21654.744140625), (1, 21104.509765625)]","[(0, 32445.2734375), (1, 32174.94921875)]","[(0, 34837.65625), (1, 33499.7890625)]","[(0, 26497.708984375), (1, 25329.46875)]","[(0, 15639.822265625), (1, 14673.23828125)]","[(0, 28090.185546875), (1, 37826.7734375)]","[(0, 11120.6376953125), (1, 6618.54150390625)]","[(0, 24720.84765625), (1, 29694.822265625)]","[(0, 29939.169921875), (1, 24987.55078125)]"
2,"[(0, 43697.12890625), (1, 47518.8515625)]","[(0, 33221.27734375), (1, 33050.54296875)]","[(0, 13520.8818359375), (1, 13990.5029296875)]","[(0, 31337.880859375), (1, 26921.4296875)]","[(0, 31317.35546875), (1, 31500.64453125)]","[(0, 25816.12109375), (1, 25020.50390625)]","[(0, 12451.435546875), (1, 12661.1298828125)]","[(0, 41498.13671875), (1, 29024.515625)]","[(0, 33516.98046875), (1, 22148.9140625)]","[(0, 30073.923828125), (1, 28428.08203125)]","[(0, 36729.6328125), (1, 29695.783203125)]"
3,"[(0, 43524.27734375), (1, 44818.69140625)]","[(0, 34445.6796875), (1, 36331.16015625)]","[(0, 15737.8828125), (1, 17819.859375)]","[(0, 16204.599609375), (1, 14923.8505859375)]","[(0, 30590.578125), (1, 31427.759765625)]","[(0, 21546.16015625), (1, 21803.322265625)]","[(0, 12737.4541015625), (1, 12761.8203125)]","[(0, 19576.044921875), (1, 22047.35546875)]","[(0, 36391.5), (1, 15942.541015625)]","[(0, 14848.494140625), (1, 23153.537109375)]","[(0, 29200.396484375), (1, 22512.947265625)]"
4,"[(0, 28298.326171875), (1, 30492.275390625)]","[(0, 18989.16015625), (1, 19430.392578125)]","[(0, 18218.57421875), (1, 17415.365234375)]","[(0, 14188.0986328125), (1, 14590.1708984375)]","[(0, 17415.298828125), (1, 14626.9365234375)]","[(0, 27813.064453125), (1, 29284.81640625)]","[(0, 16234.8388671875), (1, 16574.962890625)]","[(0, 22910.0390625), (1, 27090.845703125)]","[(0, 12892.3427734375), (1, 9853.326171875)]","[(0, 20551.767578125), (1, 29510.556640625)]","[(0, 27034.76171875), (1, 23196.107421875)]"
5,"[(0, 33514.421875), (1, 35895.59375)]","[(0, 18068.109375), (1, 18956.248046875)]","[(0, 29281.12890625), (1, 23995.484375)]","[(0, 30199.345703125), (1, 29761.080078125)]","[(0, 30610.890625), (1, 26876.689453125)]","[(0, 18446.81640625), (1, 18832.384765625)]","[(0, 17453.056640625), (1, 18328.396484375)]","[(0, 29173.955078125), (1, 24104.10546875)]","[(0, 36973.53515625), (1, 34691.87890625)]","[(0, 22804.40234375), (1, 20668.224609375)]","[(0, 26648.240234375), (1, 22818.806640625)]"
6,"[(0, 27793.390625), (1, 29629.67578125)]","[(0, 19751.798828125), (1, 19466.09765625)]","[(0, 19019.84375), (1, 16627.57421875)]","[(0, 17339.759765625), (1, 15078.5849609375)]","[(0, 26583.486328125), (1, 27556.3046875)]","[(0, 13841.2431640625), (1, 13631.7490234375)]","[(0, 17545.51171875), (1, 19041.83984375)]","[(0, 15153.7783203125), (1, 22605.521484375)]","[(0, 24535.275390625), (1, 21483.068359375)]","[(0, 23047.19921875), (1, 30990.39453125)]","[(0, 32698.90234375), (1, 26929.568359375)]"
7,"[(0, 22126.3671875), (1, 24464.576171875)]","[(0, 16881.642578125), (1, 16555.390625)]","[(0, 27816.619140625), (1, 28178.78125)]","[(0, 19420.037109375), (1, 18841.619140625)]","[(0, 22892.521484375), (1, 24684.35546875)]","[(0, 21447.041015625), (1, 21561.310546875)]","[(0, 16166.951171875), (1, 17235.384765625)]","[(0, 38605.0078125), (1, 26665.34765625)]","[(0, 27264.78515625), (1, 12865.6650390625)]","[(0, 24203.82421875), (1, 21063.8125)]","[(0, 31506.50390625), (1, 25622.568359375)]"
8,"[(0, 18693.119140625), (1, 20179.337890625)]","[(0, 18519.59765625), (1, 16846.7421875)]","[(0, 16395.09765625), (1, 16932.189453125)]","[(0, 19538.986328125), (1, 18869.130859375)]","[(0, 16298.70703125), (1, 13832.69140625)]","[(0, 16093.267578125), (1, 16285.1591796875)]","[(0, 26200.916015625), (1, 25283.63671875)]","[(0, 22572.8203125), (1, 25631.244140625)]","[(0, 19243.087890625), (1, 26834.125)]","[(0, 16795.0234375), (1, 26289.0703125)]","[(0, 29748.564453125), (1, 22778.38671875)]"
9,"[(0, 37871.71484375), (1, 40436.671875)]","[(0, 19613.30859375), (1, 19679.126953125)]","[(0, 30971.54296875), (1, 27160.900390625)]","[(0, 17888.169921875), (1, 17660.58984375)]","[(0, 31483.794921875), (1, 31936.345703125)]","[(0, 18217.02734375), (1, 18846.525390625)]","[(0, 14405.8125), (1, 14213.423828125)]","[(0, 24763.74609375), (1, 23753.296875)]","[(0, 26232.267578125), (1, 27031.6171875)]","[(0, 37320.2109375), (1, 20946.583984375)]","[(0, 34902.203125), (1, 29058.052734375)]"
