,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
10,"[(0, 963.6944580078125), (1, 1050.5152587890625)]","[(0, 406.1900634765625), (1, 350.6470947265625)]","[(0, 20790.734375), (1, 22925.228515625)]","[(0, 5705.96923828125), (1, 5045.3447265625)]","[(0, 4661.95556640625), (1, 2763.0869140625)]","[(0, 2190.22509765625), (1, 2421.6728515625)]","[(0, 20601.39453125), (1, 26403.96875)]","[(0, 4836.15966796875), (1, 2546.049072265625)]","[(4, 71.50274251302083), (3, 84.04717145647321), (5, 127.27096792367789), (1, 197.00319260817307), (0, 271.38592529296875), (2, 421.7509765625)]","[(0, 2672.629638671875), (1, 2939.82275390625)]","[(2, 12.73311570111443), (5, 20.142642750459558), (1, 20.333065635279606), (0, 21.11422909007353), (4, 21.268734580592106), (3, 33.64757941750919)]","[(0, 2478.89208984375), (1, 1925.5810546875)]","[(1, 35.76560893811678), (5, 41.66625213623047), (2, 42.50494723849826), (3, 43.342000325520836), (0, 46.3095703125), (4, 55.464897604549634)]","[(0, 9730.7041015625), (1, 7679.60498046875)]"
11,"[(0, 997.7709350585938), (1, 1075.529541015625)]","[(0, 402.37982177734375), (1, 366.4384460449219)]","[(0, 3080.80029296875), (1, 2287.561767578125)]","[(0, 2970.093994140625), (1, 2871.179443359375)]","[(0, 4621.650390625), (1, 2650.076416015625)]","[(0, 10006.2119140625), (1, 10892.541015625)]","[(0, 19879.39453125), (1, 29420.97265625)]","[(0, 1714.8087158203125), (1, 1629.3958740234375)]","[(1, 101.47895159040179), (2, 103.4729755108173), (4, 219.72462815504807), (0, 241.98099772135416), (5, 247.0350341796875), (3, 633.4493519176136)]","[(0, 2963.1708984375), (1, 1949.104248046875)]","[(2, 128.9814697265625), (1, 177.8560333251953), (0, 244.59577287946428), (4, 265.23971121651783), (5, 316.33875450721155), (3, 698.610107421875)]","[(0, 2537.61572265625), (1, 1975.281494140625)]","[(4, 151.3972449669471), (5, 174.7880655924479), (1, 175.87334735576923), (2, 208.31022135416666), (3, 227.33919270833334), (0, 261.35693359375)]","[(0, 11293.7255859375), (1, 9033.2578125)]"
12,"[(0, 2001.3128662109375), (1, 2135.66748046875)]","[(0, 451.85369873046875), (1, 819.88232421875)]","[(0, 26053.806640625), (1, 19382.939453125)]","[(0, 9744.2158203125), (1, 9098.2822265625)]","[(0, 5158.361328125), (1, 4481.59765625)]","[(0, 10651.59765625), (1, 10108.30078125)]","[(0, 7137.66064453125), (1, 6751.4814453125)]","[(0, 1783.4598388671875), (1, 1768.6453857421875)]","[(1, 279.15651448567706), (4, 302.67433675130206), (2, 345.9373890269886), (5, 391.77938565340907), (0, 409.1990411931818), (3, 445.42427201704544)]","[(0, 995.0067749023438), (1, 970.913330078125)]","[(1, 75.38206481933594), (2, 92.36897971413352), (4, 107.89536354758523), (5, 140.39085693359374), (0, 192.14041748046876), (3, 365.02379014756946)]","[(0, 1991.1514892578125), (1, 1644.64697265625)]","[(1, 156.2438409978693), (2, 175.3130126953125), (4, 226.28007368607953), (0, 253.5977783203125), (5, 258.02333984375), (3, 377.2098876953125)]","[(0, 13646.369140625), (1, 10996.91796875)]"
13,"[(0, 1845.643310546875), (1, 2031.4024658203125)]","[(0, 719.8408203125), (1, 1643.245361328125)]","[(0, 5106.75537109375), (1, 4269.0927734375)]","[(0, 39753.15625), (1, 29337.982421875)]","[(0, 5161.39208984375), (1, 4200.9150390625)]","[(0, 2976.6103515625), (1, 2811.329833984375)]","[(0, 26311.08984375), (1, 29102.177734375)]","[(0, 408.4913330078125), (1, 331.6067810058594)]","[(1, 96.89999050564236), (4, 96.90877039292279), (3, 114.64248860677084), (0, 115.83902740478516), (2, 160.3866729736328), (5, 161.07600911458334)]","[(0, 2486.664306640625), (1, 2813.68359375)]","[(1, 32.286302839006694), (4, 39.005580357142854), (2, 43.99993896484375), (5, 55.1582997639974), (0, 57.96988423665365), (3, 73.18871561686198)]","[(0, 5003.42333984375), (1, 5337.65380859375)]","[(2, 110.5222637469952), (1, 114.82568359375), (5, 182.33790172230113), (4, 194.8268025716146), (0, 262.1477457682292), (3, 481.855517578125)]","[(0, 3183.470703125), (1, 3173.70361328125)]"
14,"[(0, 1464.87548828125), (1, 1582.5867919921875)]","[(0, 529.7371215820312), (1, 1002.9188232421875)]","[(0, 2481.0419921875), (1, 2678.5888671875)]","[(0, 23850.154296875), (1, 24876.60546875)]","[(0, 5815.724609375), (1, 3303.599853515625)]","[(0, 4136.45654296875), (1, 4319.275390625)]","[(0, 12598.1728515625), (1, 11320.2744140625)]","[(0, 2894.291748046875), (1, 1979.62451171875)]","[(4, 80.4110969094669), (3, 98.74955749511719), (5, 125.28107096354167), (1, 146.31902669270832), (0, 193.57875279017858), (2, 268.492431640625)]","[(0, 3007.5517578125), (1, 2237.4716796875)]","[(4, 667.2296697443181), (1, 733.4271573153409), (5, 868.24287109375), (2, 939.25732421875), (3, 961.753125), (0, 1101.5119140625)]","[(0, 4429.634765625), (1, 4635.82421875)]","[(4, 57.11956787109375), (3, 89.19906850961539), (5, 89.7379659016927), (1, 94.31434122721355), (0, 162.8206121271307), (2, 170.26097412109374)]","[(0, 18585.150390625), (1, 14202.638671875)]"
15,"[(0, 734.0464477539062), (1, 770.1611328125)]","[(0, 372.0120544433594), (1, 595.2842407226562)]","[(0, 2544.576904296875), (1, 2579.71923828125)]","[(0, 6507.22412109375), (1, 4859.66943359375)]","[(0, 2230.25634765625), (1, 1695.60400390625)]","[(0, 22209.57421875), (1, 22769.15625)]","[(0, 5190.2734375), (1, 6054.48876953125)]","[(0, 2550.592529296875), (1, 2150.4326171875)]","[(4, 122.64333089192708), (5, 128.76179643110797), (1, 161.88433837890625), (3, 171.2926580255682), (2, 182.03993918678978), (0, 231.18943093039772)]","[(0, 3438.054931640625), (1, 4452.6962890625)]","[(1, 107.79649000901442), (2, 110.4412841796875), (0, 223.11583362926137), (4, 413.2249644886364), (5, 485.888134765625), (3, 1394.7041015625)]","[(0, 989.8500366210938), (1, 766.1956176757812)]","[(1, 150.54922921316964), (2, 173.5482459435096), (0, 230.92411295572916), (4, 257.3594563802083), (5, 329.705322265625), (3, 459.204736328125)]","[(0, 1549.312744140625), (1, 1387.3143310546875)]"
16,"[(0, 1226.2269287109375), (1, 1359.741943359375)]","[(0, 491.51251220703125), (1, 408.1558837890625)]","[(0, 5591.4560546875), (1, 4708.82373046875)]","[(0, 4738.96240234375), (1, 4793.21875)]","[(0, 4196.50634765625), (1, 3690.34521484375)]","[(0, 14991.921875), (1, 15366.8798828125)]","[(0, 25546.32421875), (1, 21462.40625)]","[(0, 1732.1661376953125), (1, 1611.6881103515625)]","[(4, 167.6986416903409), (5, 189.60367431640626), (1, 210.2394353693182), (3, 219.2409912109375), (2, 239.7567138671875), (0, 281.2787353515625)]","[(0, 2060.586669921875), (1, 757.1113891601562)]","[(4, 50.18093333524816), (5, 60.48647867838542), (3, 62.36737823486328), (0, 107.55227225167411), (2, 115.78487454927884), (1, 122.52865397135416)]","[(0, 1685.0140380859375), (1, 1666.1495361328125)]","[(4, 101.72021484375), (5, 104.86476487379808), (1, 111.43402099609375), (2, 134.97705078125), (3, 147.9958777794471), (0, 191.29364483173077)]","[(0, 4733.8671875), (1, 4444.8095703125)]"
17,"[(0, 1222.5784912109375), (1, 1500.73779296875)]","[(0, 460.0088195800781), (1, 437.8033752441406)]","[(0, 9037.255859375), (1, 12282.16015625)]","[(0, 2694.502197265625), (1, 3049.269775390625)]","[(0, 3221.29443359375), (1, 3105.123291015625)]","[(0, 6446.97998046875), (1, 6132.0234375)]","[(0, 14024.5537109375), (1, 13390.9521484375)]","[(0, 1561.726318359375), (1, 1450.328369140625)]","[(4, 103.13034292367789), (1, 128.94788614908853), (3, 164.53153483072916), (5, 197.29469992897728), (0, 227.15043501420453), (2, 268.398046875)]","[(0, 2753.468505859375), (1, 3853.70068359375)]","[(4, 216.30303955078125), (2, 253.18769975142047), (5, 258.814208984375), (0, 301.21875), (3, 316.53608842329544), (1, 357.1981608072917)]","[(0, 4772.29248046875), (1, 5466.58837890625)]","[(4, 97.87943522135417), (3, 119.64197649274554), (1, 148.16782924107142), (5, 157.2073035606971), (0, 189.59621018629807), (2, 289.11895751953125)]","[(0, 12374.890625), (1, 11555.94921875)]"
18,"[(0, 1479.4273681640625), (1, 1707.8585205078125)]","[(0, 721.3794555664062), (1, 1431.6500244140625)]","[(0, 10798.3798828125), (1, 10034.71875)]","[(0, 5481.59716796875), (1, 5124.70458984375)]","[(0, 12938.7666015625), (1, 6962.7021484375)]","[(0, 13692.8310546875), (1, 13939.57421875)]","[(0, 12023.599609375), (1, 16995.236328125)]","[(0, 3434.089599609375), (1, 4628.583984375)]","[(2, 75.15330403645834), (1, 82.21619415283203), (0, 118.00572858537946), (4, 119.78497314453125), (5, 120.55675330528847), (3, 247.70878092447916)]","[(0, 3897.509521484375), (1, 3594.374267578125)]","[(2, 75.06022135416667), (5, 93.5404052734375), (1, 93.8520977313702), (4, 115.68311485877403), (0, 136.20559692382812), (3, 169.91789754231772)]","[(0, 2193.2861328125), (1, 1498.9783935546875)]","[(2, 144.36567034040178), (1, 152.65777994791668), (5, 172.54275948660714), (4, 221.35452473958333), (0, 370.0615234375), (3, 474.12954477163464)]","[(0, 2277.384765625), (1, 2119.04931640625)]"
19,"[(0, 1250.963134765625), (1, 1366.1278076171875)]","[(0, 1079.21044921875), (1, 2625.947509765625)]","[(0, 6777.12451171875), (1, 7934.9287109375)]","[(0, 5804.310546875), (1, 5156.59033203125)]","[(0, 6110.41845703125), (1, 4594.4873046875)]","[(0, 8695.6455078125), (1, 8238.361328125)]","[(0, 13451.5078125), (1, 17172.970703125)]","[(0, 2317.28564453125), (1, 1490.8499755859375)]","[(4, 85.19042205810547), (1, 86.42460363051471), (3, 105.22526332310268), (0, 110.79093424479167), (5, 133.02265276227678), (2, 134.81455891927084)]","[(0, 1496.61865234375), (1, 997.8204345703125)]","[(4, 108.56246512276786), (3, 144.96745417668268), (5, 198.0376180013021), (0, 301.7644449869792), (1, 404.74278846153845), (2, 439.73095703125)]","[(0, 1146.815185546875), (1, 1022.5177001953125)]","[(1, 122.16350911458333), (2, 135.16224016462053), (4, 140.70852864583333), (5, 144.31136648995536), (0, 169.73892647879464), (3, 176.67449079241072)]","[(0, 12564.9970703125), (1, 10111.212890625)]"
