,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 104900.265625), (1, 102207.4140625)]","[(0, 36020.62890625), (1, 33827.1171875)]","[(0, 24049.986328125), (1, 23230.462890625)]","[(0, 34459.96875), (1, 28275.93359375)]","[(0, 26409.53515625), (1, 27153.02734375)]","[(0, 20572.513671875), (1, 21204.5546875)]","[(0, 20940.572265625), (1, 19969.669921875)]","[(0, 26769.7109375), (1, 48687.17578125)]","[(0, 41599.015625), (1, 25501.33984375)]","[(0, 49908.39453125), (1, 33561.85546875)]","[(0, 41419.57421875), (1, 36777.7265625)]"
1,"[(0, 73531.4921875), (1, 69638.015625)]","[(0, 32940.46875), (1, 29734.326171875)]","[(0, 15647.384765625), (1, 18945.205078125)]","[(0, 22347.294921875), (1, 23053.947265625)]","[(0, 21730.5625), (1, 18089.90234375)]","[(0, 40816.4453125), (1, 39109.64453125)]","[(0, 19757.921875), (1, 19382.013671875)]","[(0, 25491.078125), (1, 22567.482421875)]","[(0, 11044.7080078125), (1, 13807.833984375)]","[(0, 52238.546875), (1, 46491.0)]","[(0, 30077.13671875), (1, 35584.375)]"
2,"[(0, 52768.34375), (1, 52274.23046875)]","[(0, 30686.357421875), (1, 27224.6171875)]","[(0, 20764.201171875), (1, 22135.103515625)]","[(0, 29790.98046875), (1, 26523.29296875)]","[(0, 18375.091796875), (1, 17155.619140625)]","[(0, 25912.48828125), (1, 26444.240234375)]","[(0, 23617.001953125), (1, 23486.3046875)]","[(0, 58926.66015625), (1, 21639.15625)]","[(0, 30385.623046875), (1, 21546.38671875)]","[(0, 52473.5234375), (1, 54527.67578125)]","[(0, 36058.67578125), (1, 39538.55078125)]"
3,"[(0, 68734.0859375), (1, 63441.09765625)]","[(0, 41315.66015625), (1, 38491.8828125)]","[(0, 27139.4609375), (1, 29589.125)]","[(0, 41053.13671875), (1, 38530.3046875)]","[(0, 18480.5703125), (1, 17386.88671875)]","[(0, 24319.048828125), (1, 24058.107421875)]","[(0, 31604.005859375), (1, 31849.5703125)]","[(0, 24561.73046875), (1, 23375.18359375)]","[(0, 33769.1640625), (1, 18055.275390625)]","[(0, 24774.73046875), (1, 24079.24609375)]","[(0, 35677.82421875), (1, 31827.375)]"
4,"[(0, 66239.0), (1, 63426.51171875)]","[(0, 33238.55078125), (1, 33207.59375)]","[(0, 33346.34375), (1, 30501.435546875)]","[(0, 34429.78125), (1, 28693.94921875)]","[(0, 40226.55078125), (1, 41572.64453125)]","[(0, 33582.984375), (1, 32271.962890625)]","[(0, 24875.98828125), (1, 24390.634765625)]","[(0, 21232.560546875), (1, 41804.03125)]","[(0, 33883.03515625), (1, 20831.619140625)]","[(0, 20322.01953125), (1, 56631.453125)]","[(0, 33091.984375), (1, 32431.53515625)]"
5,"[(0, 67860.4609375), (1, 64963.0234375)]","[(0, 32449.884765625), (1, 31127.771484375)]","[(0, 16529.66015625), (1, 17755.76953125)]","[(0, 31847.412109375), (1, 28949.982421875)]","[(0, 27074.677734375), (1, 25483.8359375)]","[(0, 22588.3671875), (1, 23519.095703125)]","[(0, 21761.81640625), (1, 22420.64453125)]","[(0, 46278.44921875), (1, 31787.787109375)]","[(0, 33943.453125), (1, 51728.765625)]","[(0, 32606.10546875), (1, 25338.84375)]","[(0, 26759.6796875), (1, 29544.826171875)]"
6,"[(0, 73685.0234375), (1, 70433.078125)]","[(0, 24707.5546875), (1, 26055.943359375)]","[(0, 54403.63671875), (1, 42248.7890625)]","[(0, 36922.55078125), (1, 36449.5390625)]","[(0, 23988.18359375), (1, 22195.642578125)]","[(0, 17826.318359375), (1, 16954.34375)]","[(0, 29092.603515625), (1, 33697.390625)]","[(0, 45874.578125), (1, 46098.41796875)]","[(0, 32066.9375), (1, 30780.6484375)]","[(0, 27695.5703125), (1, 42453.92578125)]","[(0, 44879.296875), (1, 41889.515625)]"
7,"[(0, 63132.19921875), (1, 62179.7421875)]","[(0, 21325.380859375), (1, 21129.521484375)]","[(0, 19876.853515625), (1, 22064.8984375)]","[(0, 25211.64453125), (1, 24762.990234375)]","[(0, 23607.904296875), (1, 24842.798828125)]","[(0, 26312.521484375), (1, 27885.01171875)]","[(0, 21067.62890625), (1, 24542.2265625)]","[(0, 49825.07421875), (1, 38741.50390625)]","[(0, 35107.67578125), (1, 19087.693359375)]","[(0, 44771.95703125), (1, 51894.890625)]","[(0, 37024.8046875), (1, 34677.390625)]"
8,"[(0, 56327.23046875), (1, 53321.05859375)]","[(0, 21557.546875), (1, 19782.35546875)]","[(0, 28378.99609375), (1, 29051.59765625)]","[(0, 25324.6875), (1, 22322.62890625)]","[(0, 34083.09375), (1, 32015.234375)]","[(0, 34590.65625), (1, 33054.921875)]","[(0, 27562.0078125), (1, 25871.376953125)]","[(0, 28246.15234375), (1, 20848.791015625)]","[(0, 28372.69140625), (1, 39772.87890625)]","[(0, 22547.732421875), (1, 32348.78515625)]","[(0, 25408.96875), (1, 28237.91015625)]"
9,"[(0, 68293.765625), (1, 65611.796875)]","[(0, 31602.890625), (1, 29113.55859375)]","[(0, 21853.115234375), (1, 22209.2578125)]","[(0, 34316.1953125), (1, 32428.72265625)]","[(0, 17774.119140625), (1, 16462.185546875)]","[(0, 30315.173828125), (1, 30105.4296875)]","[(0, 22102.513671875), (1, 22725.18359375)]","[(0, 35046.89453125), (1, 34808.265625)]","[(0, 23701.86328125), (1, 18460.861328125)]","[(0, 58437.09375), (1, 41206.89453125)]","[(0, 39998.671875), (1, 44020.6171875)]"
