,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 2668.918701171875), (1, 3103.1337890625)]","[(0, 2778.660400390625), (1, 2605.82275390625)]","[(0, 3761.003173828125), (1, 3896.602783203125)]","[(0, 2347.73583984375), (1, 2434.18359375)]","[(0, 4142.646484375), (1, 2529.8291015625)]","[(0, 4910.486328125), (1, 5587.06884765625)]","[(0, 8995.517578125), (1, 9858.4384765625)]","[(0, 2315.51708984375), (1, 1985.66455078125)]","[(0, 3043.22705078125), (1, 4496.62890625)]","[(0, 2235.892333984375), (1, 2233.92724609375)]","[(0, 3885.37060546875), (1, 3368.009033203125)]"
1,"[(0, 3938.990966796875), (1, 4840.52001953125)]","[(0, 3182.7998046875), (1, 3164.521728515625)]","[(0, 2287.62841796875), (1, 2225.55322265625)]","[(0, 3261.321044921875), (1, 3240.916748046875)]","[(0, 3357.4228515625), (1, 2069.3212890625)]","[(0, 5291.7490234375), (1, 4742.40771484375)]","[(0, 6148.548828125), (1, 6684.5693359375)]","[(0, 1636.7952880859375), (1, 1558.91015625)]","[(0, 1520.7054443359375), (1, 2130.972900390625)]","[(0, 1504.3961181640625), (1, 1891.3890380859375)]","[(0, 2597.658447265625), (1, 1979.5726318359375)]"
2,"[(0, 2981.782470703125), (1, 3723.21044921875)]","[(0, 2369.734375), (1, 2195.95068359375)]","[(0, 2897.7275390625), (1, 3182.289794921875)]","[(0, 3708.846923828125), (1, 3839.16748046875)]","[(0, 1854.2359619140625), (1, 1716.99072265625)]","[(0, 6895.8798828125), (1, 7648.2861328125)]","[(0, 2796.514404296875), (1, 2404.60498046875)]","[(0, 1469.853759765625), (1, 2137.27587890625)]","[(0, 2022.4603271484375), (1, 2145.0966796875)]","[(0, 3597.591064453125), (1, 4171.0625)]","[(0, 3011.2509765625), (1, 2340.75146484375)]"
3,"[(0, 3470.569091796875), (1, 4310.07080078125)]","[(0, 2205.171875), (1, 2061.99609375)]","[(0, 7232.7763671875), (1, 7672.21875)]","[(0, 4883.80078125), (1, 4970.7490234375)]","[(0, 1908.38525390625), (1, 1793.7496337890625)]","[(0, 4865.5634765625), (1, 5530.7900390625)]","[(0, 5083.2822265625), (1, 5584.0966796875)]","[(0, 2537.39306640625), (1, 3104.391845703125)]","[(0, 1452.52783203125), (1, 1994.9378662109375)]","[(0, 2026.1014404296875), (1, 1597.5765380859375)]","[(0, 4159.0625), (1, 3379.859375)]"
4,"[(0, 4189.54052734375), (1, 4741.51171875)]","[(0, 1739.3487548828125), (1, 1457.54345703125)]","[(0, 6795.99072265625), (1, 7118.91162109375)]","[(0, 3792.58740234375), (1, 4394.42529296875)]","[(0, 5322.48046875), (1, 3456.17822265625)]","[(0, 3808.68408203125), (1, 3415.899658203125)]","[(0, 4260.94189453125), (1, 3740.51416015625)]","[(0, 2786.3330078125), (1, 1666.7264404296875)]","[(0, 1480.9102783203125), (1, 3246.79150390625)]","[(0, 1086.288818359375), (1, 1481.0330810546875)]","[(0, 3563.077880859375), (1, 2786.572265625)]"
5,"[(0, 3472.25439453125), (1, 3863.072998046875)]","[(0, 2408.397705078125), (1, 2063.485107421875)]","[(0, 3239.439697265625), (1, 3599.972900390625)]","[(0, 3524.059814453125), (1, 3734.2412109375)]","[(0, 6243.46875), (1, 4071.262451171875)]","[(0, 4132.88818359375), (1, 4703.419921875)]","[(0, 6123.2578125), (1, 7187.89501953125)]","[(0, 2708.450439453125), (1, 2187.742919921875)]","[(0, 1900.9642333984375), (1, 1676.4234619140625)]","[(0, 1384.619384765625), (1, 1456.4090576171875)]","[(0, 2691.16357421875), (1, 2112.24609375)]"
6,"[(0, 3150.357421875), (1, 3765.657958984375)]","[(0, 3899.015625), (1, 4212.37255859375)]","[(0, 2983.298583984375), (1, 2437.6005859375)]","[(0, 3234.83056640625), (1, 3594.326416015625)]","[(0, 2577.938720703125), (1, 2263.8076171875)]","[(0, 3791.556640625), (1, 3374.69970703125)]","[(0, 8203.19921875), (1, 9069.0458984375)]","[(0, 2087.18359375), (1, 1321.799072265625)]","[(0, 2365.238037109375), (1, 2327.42822265625)]","[(0, 3214.2177734375), (1, 2871.603759765625)]","[(0, 3644.78857421875), (1, 2964.937744140625)]"
7,"[(0, 2465.728759765625), (1, 2910.18701171875)]","[(0, 4730.84326171875), (1, 5313.4326171875)]","[(0, 1891.6976318359375), (1, 2090.241455078125)]","[(0, 6860.9814453125), (1, 6754.025390625)]","[(0, 2685.79443359375), (1, 2259.368896484375)]","[(0, 2478.385009765625), (1, 3128.068603515625)]","[(0, 7556.1611328125), (1, 8526.68359375)]","[(0, 2835.300048828125), (1, 3511.60302734375)]","[(0, 1738.7783203125), (1, 1435.7176513671875)]","[(0, 2527.61865234375), (1, 3223.31640625)]","[(0, 4109.294921875), (1, 3438.831787109375)]"
8,"[(0, 3780.08984375), (1, 4359.23828125)]","[(0, 2896.99658203125), (1, 3038.566650390625)]","[(0, 6035.71240234375), (1, 5858.23095703125)]","[(0, 4943.26416015625), (1, 4909.6904296875)]","[(0, 5252.47119140625), (1, 3566.18505859375)]","[(0, 3858.879150390625), (1, 3160.983642578125)]","[(0, 4472.09814453125), (1, 4039.961181640625)]","[(0, 1819.0821533203125), (1, 1433.7596435546875)]","[(0, 3668.526123046875), (1, 2912.520751953125)]","[(0, 2637.140625), (1, 2571.544677734375)]","[(0, 1676.1868896484375), (1, 1212.478515625)]"
9,"[(0, 3374.461669921875), (1, 3964.470703125)]","[(0, 2202.167724609375), (1, 2079.312255859375)]","[(0, 3332.4326171875), (1, 3243.94091796875)]","[(0, 6786.7099609375), (1, 6546.50048828125)]","[(0, 1930.125), (1, 1720.25732421875)]","[(0, 4060.908935546875), (1, 3590.862548828125)]","[(0, 5183.46142578125), (1, 5527.07763671875)]","[(0, 2406.432373046875), (1, 1656.24560546875)]","[(0, 986.8969116210938), (1, 1366.6158447265625)]","[(0, 3605.477294921875), (1, 3449.263427734375)]","[(0, 3233.189697265625), (1, 2587.764404296875)]"
