,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 14505.5810546875), (1, 16256.85546875)]","[(0, 22726.548828125), (1, 22493.587890625)]","[(0, 18290.62890625), (1, 16421.62109375)]","[(0, 16295.86328125), (1, 14254.119140625)]","[(0, 15263.5009765625), (1, 14263.4609375)]","[(0, 27972.748046875), (1, 28353.919921875)]","[(0, 25949.880859375), (1, 25677.779296875)]","[(0, 12646.9140625), (1, 17472.29296875)]","[(0, 31966.939453125), (1, 18731.34375)]","[(0, 23566.134765625), (1, 12820.5302734375)]","[(0, 31078.888671875), (1, 24773.5234375)]"
1,"[(0, 25383.345703125), (1, 27792.859375)]","[(0, 22936.818359375), (1, 22295.65234375)]","[(0, 8103.57861328125), (1, 9076.5986328125)]","[(0, 12326.927734375), (1, 12769.4892578125)]","[(0, 13397.3271484375), (1, 9721.11328125)]","[(0, 40076.48828125), (1, 39356.47265625)]","[(0, 21132.12109375), (1, 21590.673828125)]","[(0, 10680.16015625), (1, 5993.1181640625)]","[(0, 6815.50732421875), (1, 7120.126953125)]","[(0, 18143.4609375), (1, 18320.673828125)]","[(0, 18964.22265625), (1, 20069.828125)]"
2,"[(0, 25241.35546875), (1, 27189.92578125)]","[(0, 20552.884765625), (1, 19681.8671875)]","[(0, 9824.416015625), (1, 11373.25390625)]","[(0, 19224.783203125), (1, 17379.509765625)]","[(0, 10384.02734375), (1, 8709.9951171875)]","[(0, 32537.361328125), (1, 32539.443359375)]","[(0, 20614.740234375), (1, 20222.087890625)]","[(0, 13061.23046875), (1, 7334.36962890625)]","[(0, 22126.32421875), (1, 18378.59765625)]","[(0, 45469.2890625), (1, 43472.71484375)]","[(0, 20938.35546875), (1, 22066.205078125)]"
3,"[(0, 17885.373046875), (1, 19705.36328125)]","[(0, 24155.951171875), (1, 24162.7734375)]","[(0, 23015.0), (1, 26362.8046875)]","[(0, 29687.177734375), (1, 28448.1484375)]","[(0, 9234.0625), (1, 8021.4453125)]","[(0, 27568.263671875), (1, 26511.154296875)]","[(0, 30615.734375), (1, 31141.99609375)]","[(0, 19636.046875), (1, 15895.720703125)]","[(0, 12491.5048828125), (1, 10279.447265625)]","[(0, 14118.74609375), (1, 9270.8134765625)]","[(0, 25148.921875), (1, 20261.12109375)]"
4,"[(0, 18880.380859375), (1, 20737.50390625)]","[(0, 12707.7265625), (1, 12837.255859375)]","[(0, 25776.658203125), (1, 22489.341796875)]","[(0, 24877.6015625), (1, 23814.517578125)]","[(0, 31383.251953125), (1, 24349.890625)]","[(0, 23402.505859375), (1, 22917.94921875)]","[(0, 27736.115234375), (1, 26923.5078125)]","[(0, 10678.4287109375), (1, 19014.65625)]","[(0, 20219.15625), (1, 19968.3359375)]","[(0, 5990.11865234375), (1, 11558.021484375)]","[(0, 20491.6640625), (1, 17859.908203125)]"
5,"[(0, 20777.849609375), (1, 23099.701171875)]","[(0, 10706.3173828125), (1, 9987.849609375)]","[(0, 12377.1923828125), (1, 14243.96875)]","[(0, 18435.404296875), (1, 18652.1796875)]","[(0, 21229.50390625), (1, 15529.806640625)]","[(0, 19468.677734375), (1, 20392.5703125)]","[(0, 22066.435546875), (1, 22057.32421875)]","[(0, 20673.447265625), (1, 15591.0654296875)]","[(0, 21592.3828125), (1, 37125.78515625)]","[(0, 10402.3330078125), (1, 8238.5341796875)]","[(0, 17439.46484375), (1, 17605.853515625)]"
6,"[(0, 28272.916015625), (1, 29935.400390625)]","[(0, 18903.91015625), (1, 21086.78515625)]","[(0, 23968.9296875), (1, 17953.935546875)]","[(0, 24462.66015625), (1, 26771.064453125)]","[(0, 10808.837890625), (1, 9146.453125)]","[(0, 17056.61328125), (1, 16318.3037109375)]","[(0, 36971.984375), (1, 39026.74609375)]","[(0, 16700.51953125), (1, 21577.58203125)]","[(0, 25105.283203125), (1, 18548.408203125)]","[(0, 18513.9296875), (1, 18177.7890625)]","[(0, 28415.693359375), (1, 24104.17578125)]"
7,"[(0, 19399.453125), (1, 21934.630859375)]","[(0, 19115.255859375), (1, 21219.7265625)]","[(0, 10185.7451171875), (1, 10933.359375)]","[(0, 21799.517578125), (1, 22183.728515625)]","[(0, 10187.474609375), (1, 8504.974609375)]","[(0, 20271.88671875), (1, 21236.69140625)]","[(0, 26586.19921875), (1, 28853.65234375)]","[(0, 35516.0625), (1, 31529.4375)]","[(0, 11948.06640625), (1, 10351.45703125)]","[(0, 29085.61328125), (1, 24163.439453125)]","[(0, 23280.03125), (1, 19856.03125)]"
8,"[(0, 26348.177734375), (1, 28650.935546875)]","[(0, 16953.955078125), (1, 18418.375)]","[(0, 19405.021484375), (1, 18407.435546875)]","[(0, 16094.83203125), (1, 14701.474609375)]","[(0, 20750.58203125), (1, 16049.6923828125)]","[(0, 27491.6796875), (1, 26497.125)]","[(0, 18965.341796875), (1, 17489.9296875)]","[(0, 10674.7431640625), (1, 8196.365234375)]","[(0, 20439.611328125), (1, 32747.9609375)]","[(0, 15718.1884765625), (1, 20616.095703125)]","[(0, 9042.5830078125), (1, 9823.67578125)]"
9,"[(0, 25887.666015625), (1, 28188.02734375)]","[(0, 15712.373046875), (1, 15803.3671875)]","[(0, 11091.552734375), (1, 12542.0458984375)]","[(0, 26939.5625), (1, 28220.03515625)]","[(0, 5214.23583984375), (1, 4388.18115234375)]","[(0, 28021.314453125), (1, 28220.3046875)]","[(0, 19814.83203125), (1, 20828.28125)]","[(0, 17805.25), (1, 16580.75)]","[(0, 9298.8291015625), (1, 12562.12109375)]","[(0, 36029.4921875), (1, 18941.62890625)]","[(0, 24842.6328125), (1, 25886.826171875)]"
