,best
anaphoric-one-semantics,0.0
anaphoric-one-syntax,0.12
island-adjunct,0.546
island-complex-np,0.326
island-wh,0.984
principle_a_command,0.502
principle_a_locality,0.268
question-formation_or,0.658
question-formation_or_strict,0.082
question-formation_rr,0.682
question-formation_rr_strict,0.048
question-formation_sr,0.674
question-formation_sr_strict,0.06
wanna,0.026
