,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 6.607180913289388), (1, 6.780972024668818)]","[(0, 6.894506117876838), (1, 6.857893371582032)]","[(0, 7.400018865411932), (1, 7.450730757279829)]","[(0, 6.922608693440755), (1, 6.877366807725695)]","[(0, 7.46004401312934), (1, 6.986971537272136)]","[(0, 7.486308704723012), (1, 7.513660777698863)]","[(0, 7.696554183959961), (1, 7.835585594177246)]","[(0, 7.204246520996094), (1, 6.5014495849609375)]","[(0, 7.179463195800781), (1, 7.60482177734375)]","[(0, 6.6881553649902346), (1, 6.923265075683593)]","[(0, 6.894187291463216), (1, 7.023352305094401)]"
1,"[(0, 6.702111053466797), (1, 6.868265252364309)]","[(0, 7.219950058880975), (1, 7.245748392740885)]","[(0, 6.90629785711115), (1, 6.849014975807884)]","[(0, 7.38527594672309), (1, 7.359006245930989)]","[(0, 7.579175313313802), (1, 7.009192996554905)]","[(0, 7.788508328524503), (1, 7.746661099520597)]","[(0, 7.532260417938232), (1, 7.673872470855713)]","[(0, 6.736644398082387), (1, 6.556843150745738)]","[(0, 6.90675417582194), (1, 7.220668792724609)]","[(0, 6.911300114222935), (1, 7.172127859933036)]","[(0, 7.0961357116699215), (1, 7.1349853515625)]"
2,"[(0, 6.985557887865149), (1, 7.201637268066406)]","[(0, 7.066383361816406), (1, 7.058292865753174)]","[(0, 7.145168940226237), (1, 7.183830897013347)]","[(0, 7.7325592041015625), (1, 7.839770230379972)]","[(0, 7.076308780246311), (1, 6.912086486816406)]","[(0, 8.31503404889788), (1, 8.335515703473773)]","[(0, 7.303362528483073), (1, 7.330718994140625)]","[(0, 6.554732689490685), (1, 6.562288556780134)]","[(0, 7.1675465901692705), (1, 7.096881866455078)]","[(0, 7.450141906738281), (1, 7.380278847434304)]","[(0, 7.167469024658203), (1, 7.1545158386230465)]"
3,"[(0, 6.973366546630859), (1, 7.162800035978618)]","[(0, 7.2401885986328125), (1, 7.245574951171875)]","[(0, 7.746369361877441), (1, 7.755127906799316)]","[(0, 7.574009365505642), (1, 7.545222812228733)]","[(0, 7.086983998616536), (1, 6.893978542751736)]","[(0, 7.199634898792613), (1, 7.258009477095171)]","[(0, 7.657886505126953), (1, 7.667723083496094)]","[(0, 6.980886840820313), (1, 7.032917785644531)]","[(0, 6.726123174031575), (1, 7.202059427897136)]","[(0, 7.4825275127704325), (1, 6.940913273737981)]","[(0, 6.786053975423177), (1, 6.966725667317708)]"
4,"[(0, 6.867758614676339), (1, 7.1435089111328125)]","[(0, 6.817902998490767), (1, 6.689917755126953)]","[(0, 7.634010314941406), (1, 7.665505409240723)]","[(0, 7.385971917046441), (1, 7.388035244411892)]","[(0, 7.776874542236328), (1, 7.226026916503907)]","[(0, 7.4602409362792965), (1, 7.4158988952636715)]","[(0, 7.078351762559679), (1, 7.093913184271918)]","[(0, 6.735005060831706), (1, 6.880579168146307)]","[(0, 6.9781349182128904), (1, 7.738465881347656)]","[(0, 6.106650352478027), (1, 6.137839373420267)]","[(0, 6.449828465779622), (1, 6.527521133422852)]"
5,"[(0, 6.811562674386161), (1, 7.07958755493164)]","[(0, 6.475037314675071), (1, 6.318214416503906)]","[(0, 7.5283253987630205), (1, 7.506857130262587)]","[(0, 7.2090708414713545), (1, 7.220457288953993)]","[(0, 7.896597290039063), (1, 7.359559631347656)]","[(0, 7.698756408691406), (1, 7.715606689453125)]","[(0, 7.464234092018821), (1, 7.46924521706321)]","[(0, 7.035192636343149), (1, 7.15458615620931)]","[(0, 7.4407179696219305), (1, 7.473365238734654)]","[(0, 6.297590255737305), (1, 6.376769383748372)]","[(0, 7.427180480957031), (1, 7.473121643066406)]"
6,"[(0, 7.040043223987926), (1, 7.255471365792411)]","[(0, 6.822388712565104), (1, 6.860937265249399)]","[(0, 7.0228118896484375), (1, 7.060142517089844)]","[(0, 7.636088978160512), (1, 7.649694269353693)]","[(0, 7.46742566426595), (1, 7.344817479451497)]","[(0, 7.329838562011719), (1, 7.310525512695312)]","[(0, 7.91572740342882), (1, 7.970000372992621)]","[(0, 7.133891514369419), (1, 6.655147552490234)]","[(0, 7.431923457554409), (1, 7.2700449625651045)]","[(0, 7.460362361027644), (1, 7.291860140286959)]","[(0, 6.626515706380208), (1, 6.74957275390625)]"
7,"[(0, 7.071925571986607), (1, 7.335340118408203)]","[(0, 7.181433614095052), (1, 7.305147024301382)]","[(0, 6.9924072265625), (1, 7.079683685302735)]","[(0, 7.848270416259766), (1, 7.903850555419922)]","[(0, 7.464122009277344), (1, 7.289601898193359)]","[(0, 7.836657842000325), (1, 7.876916885375977)]","[(0, 7.548742506239149), (1, 7.58872307671441)]","[(0, 7.261949666341146), (1, 7.507460117340088)]","[(0, 6.47953732808431), (1, 7.454460144042969)]","[(0, 7.238735743931362), (1, 7.555047255295974)]","[(0, 6.81515375773112), (1, 6.917604446411133)]"
8,"[(0, 7.271363757905506), (1, 7.575230407714844)]","[(0, 6.896772384643555), (1, 6.958126613071987)]","[(0, 7.788578457302517), (1, 7.822716606987847)]","[(0, 7.764163547092014), (1, 7.6496124267578125)]","[(0, 7.672916836208767), (1, 7.122384813096788)]","[(0, 7.5749251047770185), (1, 7.528592427571614)]","[(0, 6.901062859429254), (1, 6.937834845648871)]","[(0, 6.673230997721354), (1, 6.443192618233817)]","[(0, 7.315959385463169), (1, 7.5896453857421875)]","[(0, 6.906267547607422), (1, 7.033561706542969)]","[(0, 6.6348876953125), (1, 6.5670722961425785)]"
9,"[(0, 6.928974696568081), (1, 7.219461059570312)]","[(0, 6.827197681773793), (1, 6.867954254150391)]","[(0, 7.5062400817871096), (1, 7.478902435302734)]","[(0, 7.766987323760986), (1, 7.772102355957031)]","[(0, 6.737715403238933), (1, 6.653619978162977)]","[(0, 7.6842449733189175), (1, 7.690252031598773)]","[(0, 7.47516098022461), (1, 7.432343292236328)]","[(0, 7.008880615234375), (1, 6.904517540564904)]","[(0, 6.516143798828125), (1, 6.8956138610839846)]","[(0, 7.608406066894531), (1, 7.204393513997396)]","[(0, 7.326510620117188), (1, 7.351497650146484)]"
