,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 4092.82568359375), (1, 4446.29345703125)]","[(0, 4509.1123046875), (1, 4284.685546875)]","[(0, 4330.36181640625), (1, 4355.85546875)]","[(0, 2906.0615234375), (1, 2793.613037109375)]","[(0, 4348.2685546875), (1, 2736.387451171875)]","[(0, 4875.33154296875), (1, 5442.0263671875)]","[(0, 9615.705078125), (1, 9478.5986328125)]","[(0, 3323.37158203125), (1, 2830.37890625)]","[(0, 3591.50634765625), (1, 3635.63037109375)]","[(0, 2550.8671875), (1, 2246.91357421875)]","[(0, 4225.2431640625), (1, 4228.61328125)]"
1,"[(0, 6137.482421875), (1, 6917.36474609375)]","[(0, 4998.49658203125), (1, 4838.2216796875)]","[(0, 2826.451416015625), (1, 2763.73779296875)]","[(0, 3729.53955078125), (1, 3684.040283203125)]","[(0, 3910.15673828125), (1, 2467.02001953125)]","[(0, 5653.466796875), (1, 5167.26318359375)]","[(0, 7515.6494140625), (1, 7373.63037109375)]","[(0, 2021.7275390625), (1, 1986.4951171875)]","[(0, 2214.419189453125), (1, 2434.29248046875)]","[(0, 2586.197509765625), (1, 2931.356689453125)]","[(0, 3437.97265625), (1, 2950.2734375)]"
2,"[(0, 5037.3974609375), (1, 5924.5224609375)]","[(0, 4134.9619140625), (1, 3954.400146484375)]","[(0, 3529.730712890625), (1, 3655.315185546875)]","[(0, 4343.59765625), (1, 4550.69677734375)]","[(0, 2298.3896484375), (1, 2267.944580078125)]","[(0, 6818.6279296875), (1, 7446.53759765625)]","[(0, 2459.4052734375), (1, 2191.671875)]","[(0, 2170.52001953125), (1, 2699.72607421875)]","[(0, 2291.705322265625), (1, 2803.711181640625)]","[(0, 4425.87646484375), (1, 4576.04248046875)]","[(0, 3237.31494140625), (1, 3003.177734375)]"
3,"[(0, 5632.5537109375), (1, 6437.84423828125)]","[(0, 3688.997314453125), (1, 3407.73583984375)]","[(0, 7391.38671875), (1, 7569.35986328125)]","[(0, 5370.4140625), (1, 5622.66259765625)]","[(0, 2280.918701171875), (1, 2334.69091796875)]","[(0, 5369.41015625), (1, 5909.83349609375)]","[(0, 4709.650390625), (1, 5214.4345703125)]","[(0, 3288.041259765625), (1, 3086.9560546875)]","[(0, 1838.34521484375), (1, 2652.331787109375)]","[(0, 2656.224853515625), (1, 2494.779541015625)]","[(0, 5226.16943359375), (1, 5380.9541015625)]"
4,"[(0, 6051.89111328125), (1, 6218.99169921875)]","[(0, 2885.47265625), (1, 2430.0283203125)]","[(0, 6523.21728515625), (1, 7006.72509765625)]","[(0, 4452.47998046875), (1, 4728.68701171875)]","[(0, 5292.56103515625), (1, 3554.806640625)]","[(0, 4025.765380859375), (1, 3552.5732421875)]","[(0, 3817.025390625), (1, 3527.34130859375)]","[(0, 3357.6435546875), (1, 2428.555908203125)]","[(0, 2300.046142578125), (1, 3609.78466796875)]","[(0, 1431.370849609375), (1, 2083.95849609375)]","[(0, 4028.999267578125), (1, 3867.994384765625)]"
5,"[(0, 5325.32373046875), (1, 5532.41455078125)]","[(0, 4045.89892578125), (1, 3633.994384765625)]","[(0, 3762.22607421875), (1, 4037.989013671875)]","[(0, 3685.361328125), (1, 3626.364013671875)]","[(0, 6361.55419921875), (1, 4233.13232421875)]","[(0, 4149.9931640625), (1, 4827.52392578125)]","[(0, 6364.43701171875), (1, 7052.45947265625)]","[(0, 3826.979736328125), (1, 3190.935791015625)]","[(0, 2246.071533203125), (1, 2192.364990234375)]","[(0, 2814.80810546875), (1, 2375.620849609375)]","[(0, 2999.8173828125), (1, 2766.77978515625)]"
6,"[(0, 4902.57861328125), (1, 5379.05029296875)]","[(0, 5671.2216796875), (1, 5952.48828125)]","[(0, 3365.668212890625), (1, 3286.285888671875)]","[(0, 3879.102294921875), (1, 4122.0986328125)]","[(0, 3612.905029296875), (1, 3462.733642578125)]","[(0, 4550.7529296875), (1, 3994.878662109375)]","[(0, 8323.802734375), (1, 8411.7109375)]","[(0, 2009.22900390625), (1, 1853.01806640625)]","[(0, 3488.2119140625), (1, 3508.737548828125)]","[(0, 3614.51416015625), (1, 3497.37890625)]","[(0, 4388.658203125), (1, 4330.78759765625)]"
7,"[(0, 3707.386474609375), (1, 4097.53173828125)]","[(0, 6349.83837890625), (1, 6814.92919921875)]","[(0, 2566.157470703125), (1, 2615.30078125)]","[(0, 6663.10205078125), (1, 6828.1806640625)]","[(0, 3830.26220703125), (1, 3637.916259765625)]","[(0, 2815.447021484375), (1, 3213.947998046875)]","[(0, 7618.93359375), (1, 7724.80859375)]","[(0, 2737.470703125), (1, 3435.7275390625)]","[(0, 2763.73779296875), (1, 2447.348876953125)]","[(0, 3432.66845703125), (1, 3281.73193359375)]","[(0, 4192.85009765625), (1, 4178.35595703125)]"
8,"[(0, 5073.91015625), (1, 5538.8759765625)]","[(0, 5035.72607421875), (1, 4950.28369140625)]","[(0, 6634.6884765625), (1, 6349.77734375)]","[(0, 5361.1875), (1, 5287.96044921875)]","[(0, 5633.37060546875), (1, 4002.826171875)]","[(0, 4136.279296875), (1, 3716.452392578125)]","[(0, 4407.7724609375), (1, 4117.3447265625)]","[(0, 2579.855712890625), (1, 2028.3565673828125)]","[(0, 4272.689453125), (1, 3929.56591796875)]","[(0, 2901.2490234375), (1, 2545.88623046875)]","[(0, 2329.012451171875), (1, 2007.5550537109375)]"
9,"[(0, 4688.0283203125), (1, 5180.1259765625)]","[(0, 3808.43310546875), (1, 3647.70263671875)]","[(0, 4114.0439453125), (1, 4086.881591796875)]","[(0, 6804.46728515625), (1, 6794.765625)]","[(0, 3085.83740234375), (1, 3001.039306640625)]","[(0, 3506.04833984375), (1, 3248.95654296875)]","[(0, 4614.8720703125), (1, 4897.9892578125)]","[(0, 3044.06298828125), (1, 2564.0390625)]","[(0, 1548.5904541015625), (1, 1820.2586669921875)]","[(0, 4369.41064453125), (1, 4006.78271484375)]","[(0, 4091.514404296875), (1, 3506.823974609375)]"
