,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 1860.922607421875), (1, 2384.742431640625)]","[(0, 2878.878662109375), (1, 3112.603759765625)]","[(0, 2486.70703125), (1, 2571.90283203125)]","[(0, 1883.5185546875), (1, 1895.60107421875)]","[(0, 3631.489501953125), (1, 2270.6650390625)]","[(0, 5075.125), (1, 4901.447265625)]","[(0, 6486.9384765625), (1, 7166.94970703125)]","[(0, 1773.1519775390625), (1, 1069.620361328125)]","[(0, 2142.25390625), (1, 2222.090087890625)]","[(0, 2152.51806640625), (1, 1916.331298828125)]","[(0, 4118.240234375), (1, 3701.32763671875)]"
1,"[(0, 2914.846435546875), (1, 4147.291015625)]","[(0, 2999.7431640625), (1, 3315.267822265625)]","[(0, 1410.6834716796875), (1, 1445.8428955078125)]","[(0, 3252.146484375), (1, 3211.2978515625)]","[(0, 3420.920166015625), (1, 2047.050048828125)]","[(0, 4718.32177734375), (1, 4931.05078125)]","[(0, 4359.92822265625), (1, 5063.6669921875)]","[(0, 1714.5911865234375), (1, 1015.4848022460938)]","[(0, 1875.87841796875), (1, 1213.7071533203125)]","[(0, 1517.9610595703125), (1, 1974.78515625)]","[(0, 2384.049072265625), (1, 1952.3319091796875)]"
2,"[(0, 2819.196533203125), (1, 3970.157470703125)]","[(0, 2519.944580078125), (1, 2582.45751953125)]","[(0, 1227.24072265625), (1, 1393.561279296875)]","[(0, 2769.7841796875), (1, 2791.937744140625)]","[(0, 1723.345947265625), (1, 1452.3768310546875)]","[(0, 8179.13916015625), (1, 7755.80419921875)]","[(0, 2071.792236328125), (1, 2214.767822265625)]","[(0, 1087.3138427734375), (1, 1331.216064453125)]","[(0, 2745.328125), (1, 2005.8021240234375)]","[(0, 2973.982666015625), (1, 3654.182373046875)]","[(0, 2591.974365234375), (1, 2105.243408203125)]"
3,"[(0, 3003.764892578125), (1, 4118.57763671875)]","[(0, 2166.598876953125), (1, 2272.6982421875)]","[(0, 6980.42724609375), (1, 7600.84814453125)]","[(0, 3886.285888671875), (1, 3965.896484375)]","[(0, 1635.5587158203125), (1, 1396.948974609375)]","[(0, 5544.00244140625), (1, 5210.3583984375)]","[(0, 5091.7431640625), (1, 4845.859375)]","[(0, 3003.948486328125), (1, 2349.311279296875)]","[(0, 1703.62255859375), (1, 2017.0323486328125)]","[(0, 2077.615234375), (1, 1213.755126953125)]","[(0, 3670.7939453125), (1, 3165.315673828125)]"
4,"[(0, 2240.822265625), (1, 3142.6455078125)]","[(0, 813.061767578125), (1, 751.3653564453125)]","[(0, 6530.6435546875), (1, 6050.51171875)]","[(0, 3637.257080078125), (1, 4308.9609375)]","[(0, 4295.42138671875), (1, 2547.189208984375)]","[(0, 3745.704345703125), (1, 3929.584716796875)]","[(0, 3798.6904296875), (1, 4089.509521484375)]","[(0, 1949.459228515625), (1, 1525.9112548828125)]","[(0, 1956.9119873046875), (1, 3599.832275390625)]","[(0, 724.8748779296875), (1, 1142.0010986328125)]","[(0, 3215.312255859375), (1, 2955.2900390625)]"
5,"[(0, 2493.674560546875), (1, 3368.622314453125)]","[(0, 775.9654541015625), (1, 698.0247192382812)]","[(0, 2231.408203125), (1, 2650.33447265625)]","[(0, 2474.699462890625), (1, 2857.578369140625)]","[(0, 4438.65869140625), (1, 2669.032958984375)]","[(0, 4271.28369140625), (1, 4286.173828125)]","[(0, 5106.2587890625), (1, 4954.29833984375)]","[(0, 2195.399658203125), (1, 1576.240966796875)]","[(0, 2322.112548828125), (1, 3249.910888671875)]","[(0, 761.6583251953125), (1, 1172.85302734375)]","[(0, 1918.9766845703125), (1, 1857.298583984375)]"
6,"[(0, 2662.814208984375), (1, 3786.140380859375)]","[(0, 2593.658203125), (1, 3224.524658203125)]","[(0, 2499.897705078125), (1, 1938.36962890625)]","[(0, 2532.015869140625), (1, 2545.70166015625)]","[(0, 1871.5469970703125), (1, 1637.5540771484375)]","[(0, 2976.722412109375), (1, 2932.0166015625)]","[(0, 8727.880859375), (1, 10291.158203125)]","[(0, 1565.2041015625), (1, 1631.8162841796875)]","[(0, 1999.7474365234375), (1, 1754.595458984375)]","[(0, 2445.30615234375), (1, 2060.837158203125)]","[(0, 3710.945068359375), (1, 3316.400146484375)]"
7,"[(0, 2078.119873046875), (1, 2895.110107421875)]","[(0, 2792.314453125), (1, 3639.71728515625)]","[(0, 1495.1065673828125), (1, 1605.9193115234375)]","[(0, 5604.11328125), (1, 5429.34130859375)]","[(0, 1616.0267333984375), (1, 1338.4033203125)]","[(0, 3276.000244140625), (1, 3355.806396484375)]","[(0, 6980.57373046875), (1, 7783.86572265625)]","[(0, 3314.325927734375), (1, 2890.420166015625)]","[(0, 1205.6541748046875), (1, 1452.300048828125)]","[(0, 2093.271484375), (1, 2067.991455078125)]","[(0, 2715.628662109375), (1, 2611.66455078125)]"
8,"[(0, 3238.315185546875), (1, 4414.2421875)]","[(0, 2346.015625), (1, 2647.214599609375)]","[(0, 4653.32080078125), (1, 4647.8076171875)]","[(0, 3710.4423828125), (1, 3836.72216796875)]","[(0, 4566.58251953125), (1, 2522.1142578125)]","[(0, 4045.60205078125), (1, 4013.226806640625)]","[(0, 3401.732177734375), (1, 3609.80517578125)]","[(0, 1517.0355224609375), (1, 1494.8712158203125)]","[(0, 2368.85205078125), (1, 3083.645751953125)]","[(0, 1869.35205078125), (1, 2638.666259765625)]","[(0, 1041.950927734375), (1, 910.51953125)]"
9,"[(0, 2485.6435546875), (1, 3459.700439453125)]","[(0, 1554.10302734375), (1, 1597.248291015625)]","[(0, 2105.298583984375), (1, 2249.192626953125)]","[(0, 6631.87353515625), (1, 6675.83544921875)]","[(0, 1015.8209228515625), (1, 845.9424438476562)]","[(0, 3300.324951171875), (1, 3461.40966796875)]","[(0, 5344.12255859375), (1, 5209.98095703125)]","[(0, 2185.320068359375), (1, 1590.0057373046875)]","[(0, 1078.7108154296875), (1, 1513.24609375)]","[(0, 4086.31640625), (1, 2530.853271484375)]","[(0, 2856.487060546875), (1, 2347.111083984375)]"
