,epoch_8
anaphoric-one-semantics,0.002
anaphoric-one-syntax,0.252
island-adjunct,0.892
island-complex-np,0.568
island-wh,0.936
principle_a_command,0.482
principle_a_locality,0.286
question-formation_or,0.712
question-formation_or_strict,0.204
question-formation_rr,0.698
question-formation_rr_strict,0.216
question-formation_sr,0.724
question-formation_sr_strict,0.212
wanna,0.678
