,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 10567.849609375), (1, 11407.9287109375)]","[(0, 11587.1796875), (1, 12099.0791015625)]","[(0, 4636.9609375), (1, 4795.27587890625)]","[(0, 6821.83447265625), (1, 6582.37890625)]","[(0, 11359.37890625), (1, 6169.31201171875)]","[(0, 7507.08154296875), (1, 7806.21923828125)]","[(0, 13480.53125), (1, 11947.9306640625)]","[(0, 4078.471435546875), (1, 5482.888671875)]","[(0, 9817.400390625), (1, 4654.55908203125)]","[(0, 6889.57568359375), (1, 9987.1923828125)]","[(0, 12178.4697265625), (1, 7609.68212890625)]"
1,"[(0, 21490.669921875), (1, 22896.38671875)]","[(0, 11812.123046875), (1, 12282.6171875)]","[(0, 5072.6669921875), (1, 5130.47998046875)]","[(0, 11251.1337890625), (1, 10903.630859375)]","[(0, 12451.8037109375), (1, 9729.0341796875)]","[(0, 13169.033203125), (1, 12612.70703125)]","[(0, 7544.83447265625), (1, 7398.76318359375)]","[(0, 6242.974609375), (1, 7252.1640625)]","[(0, 3527.085693359375), (1, 2364.41357421875)]","[(0, 10284.83984375), (1, 11050.7353515625)]","[(0, 7105.02099609375), (1, 6728.96435546875)]"
2,"[(0, 12143.943359375), (1, 13777.5146484375)]","[(0, 11526.5185546875), (1, 11484.3837890625)]","[(0, 3747.6552734375), (1, 3886.964111328125)]","[(0, 9929.7822265625), (1, 8543.2890625)]","[(0, 7736.65625), (1, 7167.55126953125)]","[(0, 13043.779296875), (1, 12511.5107421875)]","[(0, 3845.554443359375), (1, 3981.141357421875)]","[(0, 8529.26171875), (1, 5923.4033203125)]","[(0, 9827.4326171875), (1, 4887.30908203125)]","[(0, 11905.390625), (1, 15360.3603515625)]","[(0, 10810.01171875), (1, 9687.6015625)]"
3,"[(0, 22393.482421875), (1, 23591.8125)]","[(0, 10888.189453125), (1, 11429.9365234375)]","[(0, 8439.3203125), (1, 9700.0634765625)]","[(0, 7142.849609375), (1, 6926.66015625)]","[(0, 7697.98046875), (1, 7167.96142578125)]","[(0, 9140.7578125), (1, 9125.037109375)]","[(0, 6273.06591796875), (1, 6332.958984375)]","[(0, 5380.88720703125), (1, 5939.22509765625)]","[(0, 12766.03125), (1, 4665.7275390625)]","[(0, 4912.837890625), (1, 6507.2431640625)]","[(0, 8925.6669921875), (1, 5863.32275390625)]"
4,"[(0, 8529.26953125), (1, 10145.8994140625)]","[(0, 4099.900390625), (1, 4083.367431640625)]","[(0, 8547.35546875), (1, 8293.328125)]","[(0, 6255.09619140625), (1, 6259.177734375)]","[(0, 7799.9013671875), (1, 5817.50537109375)]","[(0, 8840.5703125), (1, 9099.01171875)]","[(0, 6211.53466796875), (1, 6318.673828125)]","[(0, 5003.53271484375), (1, 8710.0703125)]","[(0, 4444.99609375), (1, 4350.5166015625)]","[(0, 4110.431640625), (1, 5385.68798828125)]","[(0, 8338.048828125), (1, 5761.39306640625)]"
5,"[(0, 12266.9306640625), (1, 14295.6142578125)]","[(0, 3160.215087890625), (1, 3218.7607421875)]","[(0, 8747.4375), (1, 7566.7470703125)]","[(0, 10757.2236328125), (1, 10883.2998046875)]","[(0, 12249.6875), (1, 9179.7998046875)]","[(0, 7759.3330078125), (1, 7912.734375)]","[(0, 7803.3984375), (1, 8031.6796875)]","[(0, 8372.447265625), (1, 7140.4248046875)]","[(0, 11221.87890625), (1, 15074.515625)]","[(0, 6157.45068359375), (1, 6057.185546875)]","[(0, 6370.7646484375), (1, 6225.9462890625)]"
6,"[(0, 9496.630859375), (1, 10951.1201171875)]","[(0, 5589.15771484375), (1, 6048.53857421875)]","[(0, 6613.802734375), (1, 4996.513671875)]","[(0, 6553.44677734375), (1, 5651.26171875)]","[(0, 9581.1044921875), (1, 9490.29296875)]","[(0, 5587.857421875), (1, 5521.13525390625)]","[(0, 10993.79296875), (1, 12215.529296875)]","[(0, 4118.8251953125), (1, 6547.3251953125)]","[(0, 8866.263671875), (1, 6768.4951171875)]","[(0, 6802.1181640625), (1, 10910.580078125)]","[(0, 10264.8984375), (1, 6525.6318359375)]"
7,"[(0, 9163.46875), (1, 11026.84765625)]","[(0, 5445.74365234375), (1, 5877.68896484375)]","[(0, 7373.201171875), (1, 7761.568359375)]","[(0, 9963.7890625), (1, 9775.9091796875)]","[(0, 8373.0537109375), (1, 8568.4033203125)]","[(0, 6830.60400390625), (1, 6955.68017578125)]","[(0, 9700.7021484375), (1, 10664.271484375)]","[(0, 13782.82421875), (1, 7928.294921875)]","[(0, 6354.2119140625), (1, 4291.68701171875)]","[(0, 8337.150390625), (1, 6134.46875)]","[(0, 9134.771484375), (1, 6314.34228515625)]"
8,"[(0, 7820.51123046875), (1, 9329.1455078125)]","[(0, 5777.34375), (1, 5541.8876953125)]","[(0, 7829.2646484375), (1, 7598.24658203125)]","[(0, 8082.56982421875), (1, 7803.7109375)]","[(0, 6980.3935546875), (1, 5151.4443359375)]","[(0, 7250.15869140625), (1, 7201.69384765625)]","[(0, 8838.2353515625), (1, 8643.8876953125)]","[(0, 4632.18701171875), (1, 6032.2421875)]","[(0, 6904.5), (1, 11198.818359375)]","[(0, 4514.32275390625), (1, 9316.7958984375)]","[(0, 5471.8984375), (1, 4864.49658203125)]"
9,"[(0, 15623.7353515625), (1, 17995.28125)]","[(0, 4824.2841796875), (1, 5226.18408203125)]","[(0, 9748.064453125), (1, 8812.6328125)]","[(0, 9274.828125), (1, 9078.607421875)]","[(0, 9079.6376953125), (1, 8516.427734375)]","[(0, 7021.72265625), (1, 7304.41064453125)]","[(0, 7215.77978515625), (1, 7188.6904296875)]","[(0, 5476.2001953125), (1, 5624.5986328125)]","[(0, 6781.85693359375), (1, 6964.64111328125)]","[(0, 20202.09765625), (1, 7241.83203125)]","[(0, 8813.12890625), (1, 8296.548828125)]"
