,best
anaphoric-one-semantics,0.0
anaphoric-one-syntax,0.524
island-adjunct,0.566
island-complex-np,0.598
island-wh,0.982
principle_a_command,0.516
principle_a_locality,0.42
question-formation_or,0.454
question-formation_rr,0.488
question-formation_sr,0.474
wanna,0.95
