,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 18457.552734375), (1, 19365.7734375)]","[(0, 11676.009765625), (1, 12938.3466796875)]","[(0, 8532.076171875), (1, 8775.8310546875)]","[(0, 9524.9111328125), (1, 8887.40234375)]","[(0, 10095.333984375), (1, 9278.640625)]","[(0, 9543.87890625), (1, 8766.02734375)]","[(0, 9927.2255859375), (1, 9502.5009765625)]","[(0, 7586.306640625), (1, 7394.87646484375)]","[(0, 6667.39892578125), (1, 5900.91845703125)]","[(0, 11920.3076171875), (1, 10756.7626953125)]","[(0, 12507.5263671875), (1, 9344.3359375)]"
1,"[(0, 18434.62890625), (1, 20010.849609375)]","[(0, 10937.90625), (1, 11769.865234375)]","[(0, 5413.52587890625), (1, 6147.34716796875)]","[(0, 9580.4462890625), (1, 9966.935546875)]","[(0, 9064.859375), (1, 7789.5166015625)]","[(0, 14423.1455078125), (1, 16051.421875)]","[(0, 6955.103515625), (1, 6968.69384765625)]","[(0, 8254.7119140625), (1, 7904.6044921875)]","[(0, 5013.73583984375), (1, 4440.23388671875)]","[(0, 12662.1318359375), (1, 13243.5419921875)]","[(0, 9922.7861328125), (1, 7412.4150390625)]"
2,"[(0, 13478.794921875), (1, 15482.8994140625)]","[(0, 10353.8857421875), (1, 10374.31640625)]","[(0, 6674.001953125), (1, 6480.19873046875)]","[(0, 9011.1103515625), (1, 8037.8173828125)]","[(0, 5466.92236328125), (1, 5376.9326171875)]","[(0, 12328.80859375), (1, 10950.890625)]","[(0, 4420.57421875), (1, 5320.4453125)]","[(0, 8989.0341796875), (1, 8890.6572265625)]","[(0, 5904.37451171875), (1, 4760.4736328125)]","[(0, 11466.654296875), (1, 13071.685546875)]","[(0, 11623.416015625), (1, 8507.5390625)]"
3,"[(0, 15267.30078125), (1, 16140.4228515625)]","[(0, 10678.4697265625), (1, 11281.7451171875)]","[(0, 13634.2587890625), (1, 15929.623046875)]","[(0, 12036.7705078125), (1, 11106.9013671875)]","[(0, 5425.12353515625), (1, 5291.3505859375)]","[(0, 11111.53125), (1, 10064.5244140625)]","[(0, 7122.58544921875), (1, 7045.3876953125)]","[(0, 8322.287109375), (1, 7684.923828125)]","[(0, 7051.8203125), (1, 6785.69384765625)]","[(0, 7237.44775390625), (1, 6478.36962890625)]","[(0, 12919.2236328125), (1, 9583.6083984375)]"
4,"[(0, 10464.98046875), (1, 12466.2041015625)]","[(0, 6594.06494140625), (1, 6652.23193359375)]","[(0, 15167.513671875), (1, 14424.177734375)]","[(0, 10016.599609375), (1, 9191.765625)]","[(0, 11365.46875), (1, 10068.2109375)]","[(0, 10179.2001953125), (1, 11770.62890625)]","[(0, 6530.1455078125), (1, 7189.869140625)]","[(0, 7412.66259765625), (1, 7838.25927734375)]","[(0, 6366.73779296875), (1, 7221.71435546875)]","[(0, 5154.29931640625), (1, 8361.236328125)]","[(0, 10293.1015625), (1, 9005.259765625)]"
5,"[(0, 11799.07421875), (1, 12669.765625)]","[(0, 6307.84814453125), (1, 6387.40283203125)]","[(0, 7491.46923828125), (1, 7411.72900390625)]","[(0, 9398.9169921875), (1, 8875.5361328125)]","[(0, 10283.8779296875), (1, 9108.9775390625)]","[(0, 9042.6787109375), (1, 8491.8935546875)]","[(0, 7812.61669921875), (1, 7367.88037109375)]","[(0, 11931.4189453125), (1, 7761.3095703125)]","[(0, 6980.267578125), (1, 7870.69384765625)]","[(0, 6035.38427734375), (1, 8903.1298828125)]","[(0, 7349.22021484375), (1, 6212.52978515625)]"
6,"[(0, 14466.0703125), (1, 16929.978515625)]","[(0, 7009.21826171875), (1, 8211.5751953125)]","[(0, 9568.15625), (1, 8027.697265625)]","[(0, 9243.462890625), (1, 8506.60546875)]","[(0, 7958.04296875), (1, 8092.333984375)]","[(0, 6847.92041015625), (1, 7232.8662109375)]","[(0, 12143.3994140625), (1, 13438.7744140625)]","[(0, 6921.06005859375), (1, 7905.4560546875)]","[(0, 7090.974609375), (1, 6713.5234375)]","[(0, 7766.58837890625), (1, 8785.6123046875)]","[(0, 15236.029296875), (1, 12031.2958984375)]"
7,"[(0, 10665.8388671875), (1, 12421.689453125)]","[(0, 6123.15283203125), (1, 7163.9296875)]","[(0, 5764.4931640625), (1, 5948.15234375)]","[(0, 10834.6484375), (1, 10780.6396484375)]","[(0, 7603.451171875), (1, 8375.482421875)]","[(0, 9131.9326171875), (1, 8869.8583984375)]","[(0, 9984.2587890625), (1, 10834.8447265625)]","[(0, 9727.35546875), (1, 9222.7353515625)]","[(0, 8288.197265625), (1, 6566.62255859375)]","[(0, 9090.5546875), (1, 7350.64990234375)]","[(0, 10359.9208984375), (1, 8375.4658203125)]"
8,"[(0, 9382.904296875), (1, 10161.0341796875)]","[(0, 7205.72607421875), (1, 7117.16015625)]","[(0, 10832.8193359375), (1, 10953.0322265625)]","[(0, 9373.333984375), (1, 9174.9423828125)]","[(0, 10811.6728515625), (1, 9064.9033203125)]","[(0, 8362.87890625), (1, 8604.720703125)]","[(0, 6738.98291015625), (1, 7548.43310546875)]","[(0, 7565.484375), (1, 8494.98828125)]","[(0, 7219.345703125), (1, 8325.0810546875)]","[(0, 5228.60693359375), (1, 7140.404296875)]","[(0, 7813.5107421875), (1, 5641.07958984375)]"
9,"[(0, 13109.3505859375), (1, 14984.4892578125)]","[(0, 6849.3310546875), (1, 6893.97900390625)]","[(0, 8292.0546875), (1, 7194.8359375)]","[(0, 13917.85546875), (1, 13461.4013671875)]","[(0, 6252.14404296875), (1, 6454.7255859375)]","[(0, 8129.19873046875), (1, 9685.1728515625)]","[(0, 9190.1708984375), (1, 8449.435546875)]","[(0, 9695.7080078125), (1, 8000.10009765625)]","[(0, 7197.91015625), (1, 6258.1513671875)]","[(0, 12470.67578125), (1, 9810.1474609375)]","[(0, 13370.802734375), (1, 9786.216796875)]"
10,"[(0, 11211.888671875), (1, 11588.2958984375)]","[(0, 6334.36083984375), (1, 5979.6904296875)]","[(0, 14648.0986328125), (1, 14839.51953125)]","[(0, 9233.09375), (1, 9295.478515625)]","[(0, 5586.70654296875), (1, 5519.45068359375)]","[(0, 11167.73046875), (1, 9398.451171875)]","[(0, 6484.37158203125), (1, 7369.4755859375)]","[(0, 8562.1953125), (1, 7263.79296875)]","[(0, 7558.72705078125), (1, 9028.072265625)]","[(0, 6686.94140625), (1, 7461.47314453125)]","[(0, 10840.39453125), (1, 8667.8671875)]"
11,"[(0, 15832.5869140625), (1, 16622.263671875)]","[(0, 5781.615234375), (1, 5851.97705078125)]","[(0, 8259.5791015625), (1, 7463.15966796875)]","[(0, 9175.3701171875), (1, 8703.1953125)]","[(0, 7382.18603515625), (1, 6581.8203125)]","[(0, 11598.9765625), (1, 10707.603515625)]","[(0, 7483.60791015625), (1, 8049.75341796875)]","[(0, 7586.234375), (1, 7158.3974609375)]","[(0, 8504.6103515625), (1, 5310.26171875)]","[(0, 11990.7919921875), (1, 13175.5654296875)]","[(0, 11650.0615234375), (1, 9251.9912109375)]"
12,"[(0, 15556.904296875), (1, 17965.685546875)]","[(0, 6985.68115234375), (1, 6573.03857421875)]","[(0, 11339.150390625), (1, 10707.09375)]","[(0, 9686.927734375), (1, 9266.560546875)]","[(0, 6631.0576171875), (1, 6902.41259765625)]","[(0, 12427.353515625), (1, 13150.232421875)]","[(0, 10364.8818359375), (1, 10975.345703125)]","[(0, 8884.8349609375), (1, 8677.5029296875)]","[(0, 4746.83740234375), (1, 6108.9853515625)]","[(0, 12578.31640625), (1, 10153.5556640625)]","[(0, 11162.0224609375), (1, 8010.73486328125)]"
13,"[(0, 12668.6787109375), (1, 14738.4794921875)]","[(0, 6664.44873046875), (1, 6379.1484375)]","[(0, 10800.326171875), (1, 8784.0283203125)]","[(0, 12268.966796875), (1, 12353.48828125)]","[(0, 6699.3115234375), (1, 6871.904296875)]","[(0, 7718.46875), (1, 8606.7802734375)]","[(0, 9018.296875), (1, 7668.7734375)]","[(0, 7436.701171875), (1, 12121.8662109375)]","[(0, 7187.91552734375), (1, 7294.86572265625)]","[(0, 11301.4619140625), (1, 11552.6875)]","[(0, 10553.6181640625), (1, 7979.99853515625)]"
14,"[(0, 12903.966796875), (1, 14571.6474609375)]","[(0, 5830.51904296875), (1, 5570.99560546875)]","[(0, 8936.484375), (1, 9009.2626953125)]","[(0, 12034.853515625), (1, 12720.2880859375)]","[(0, 7139.62158203125), (1, 6615.68896484375)]","[(0, 10262.255859375), (1, 9136.166015625)]","[(0, 6112.56298828125), (1, 6529.8466796875)]","[(0, 6087.1943359375), (1, 6955.759765625)]","[(0, 7263.716796875), (1, 5288.43408203125)]","[(0, 6627.45361328125), (1, 8266.4189453125)]","[(0, 11106.826171875), (1, 9256.712890625)]"
15,"[(0, 10814.0126953125), (1, 11649.638671875)]","[(0, 5971.2568359375), (1, 6173.30224609375)]","[(0, 5089.06884765625), (1, 5335.7451171875)]","[(0, 8070.10791015625), (1, 7803.7626953125)]","[(0, 5391.0166015625), (1, 5006.68359375)]","[(0, 11762.818359375), (1, 10716.337890625)]","[(0, 9306.0419921875), (1, 8871.5673828125)]","[(0, 7354.927734375), (1, 8074.76513671875)]","[(0, 5298.1572265625), (1, 5623.998046875)]","[(0, 10560.5859375), (1, 10278.95703125)]","[(0, 7745.45654296875), (1, 5989.08447265625)]"
16,"[(0, 11436.435546875), (1, 12236.5634765625)]","[(0, 5366.42578125), (1, 5353.72265625)]","[(0, 10967.7705078125), (1, 10440.8466796875)]","[(0, 12813.1845703125), (1, 12316.43359375)]","[(0, 7045.22607421875), (1, 6732.35400390625)]","[(0, 10293.779296875), (1, 11462.4453125)]","[(0, 8078.2080078125), (1, 9031.19921875)]","[(0, 7798.0419921875), (1, 10358.666015625)]","[(0, 5582.41943359375), (1, 5207.8349609375)]","[(0, 11592.0869140625), (1, 11848.8701171875)]","[(0, 8764.205078125), (1, 6910.6064453125)]"
17,"[(0, 11698.814453125), (1, 13322.1435546875)]","[(0, 5952.23828125), (1, 5902.7529296875)]","[(0, 13267.345703125), (1, 11480.15625)]","[(0, 8492.509765625), (1, 8188.6845703125)]","[(0, 7125.0517578125), (1, 7148.95556640625)]","[(0, 7376.3798828125), (1, 8704.3984375)]","[(0, 10081.8740234375), (1, 10899.0048828125)]","[(0, 9237.779296875), (1, 9432.8701171875)]","[(0, 6625.7158203125), (1, 7170.7646484375)]","[(0, 8691.98046875), (1, 10294.583984375)]","[(0, 10406.26171875), (1, 8249.9970703125)]"
18,"[(0, 11985.5107421875), (1, 13036.7529296875)]","[(0, 7227.53662109375), (1, 7381.29248046875)]","[(0, 9487.43359375), (1, 8922.986328125)]","[(0, 8548.48828125), (1, 8411.2783203125)]","[(0, 10939.5546875), (1, 9398.4873046875)]","[(0, 11238.42578125), (1, 9845.6513671875)]","[(0, 15223.17578125), (1, 14354.6455078125)]","[(0, 10705.0927734375), (1, 11772.2109375)]","[(0, 5104.72998046875), (1, 6198.888671875)]","[(0, 8090.150390625), (1, 8436.3427734375)]","[(0, 10156.064453125), (1, 6719.28125)]"
19,"[(0, 13933.978515625), (1, 15312.5908203125)]","[(0, 6194.267578125), (1, 6425.33740234375)]","[(0, 8200.2666015625), (1, 8798.3984375)]","[(0, 10576.681640625), (1, 10430.3466796875)]","[(0, 5880.5146484375), (1, 5611.19384765625)]","[(0, 9442.5908203125), (1, 10769.439453125)]","[(0, 9050.736328125), (1, 7877.39208984375)]","[(0, 9092.375), (1, 9567.6826171875)]","[(0, 4859.0439453125), (1, 4208.38134765625)]","[(0, 6582.19091796875), (1, 6774.9853515625)]","[(0, 8948.765625), (1, 7854.4599609375)]"
20,"[(0, 13819.0185546875), (1, 15292.4375)]","[(0, 6815.8193359375), (1, 6666.2734375)]","[(0, 14153.2451171875), (1, 14817.21875)]","[(0, 8206.4619140625), (1, 8956.748046875)]","[(0, 10541.798828125), (1, 9149.7333984375)]","[(0, 13424.3251953125), (1, 11281.8740234375)]","[(0, 8130.966796875), (1, 9573.2490234375)]","[(0, 7504.81298828125), (1, 8049.74609375)]","[(0, 4734.67529296875), (1, 4570.4423828125)]","[(0, 9991.650390625), (1, 10921.603515625)]","[(0, 13072.9443359375), (1, 9757.951171875)]"
