,best
anaphoric-one-semantics,0.0
anaphoric-one-syntax,0.11
island-adjunct,0.692
island-complex-np,0.61
island-wh,1.0
principle_a_command,0.482
principle_a_locality,0.26
question-formation_or,0.778
question-formation_rr,0.766
question-formation_sr,0.728
wanna,0.998
