,epoch_6
anaphoric-one-semantics,0.0
anaphoric-one-syntax,0.138
island-adjunct,0.778
island-complex-np,0.378
island-wh,1.0
principle_a_command,0.486
principle_a_locality,0.272
question-formation_or,0.796
question-formation_or_strict,0.19
question-formation_rr,0.736
question-formation_rr_strict,0.228
question-formation_sr,0.706
question-formation_sr_strict,0.168
wanna,0.59
