,best
anaphoric-one-semantics,0.0
anaphoric-one-syntax,0.102
island-adjunct,0.694
island-complex-np,0.568
island-wh,1.0
principle_a_command,0.482
principle_a_locality,0.26
question-formation_or,0.76
question-formation_or_strict,0.036
question-formation_rr,0.764
question-formation_rr_strict,0.014
question-formation_sr,0.72
question-formation_sr_strict,0.018
wanna,0.956
