,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 1785.1904296875), (1, 2157.383544921875)]","[(0, 1303.799560546875), (1, 1678.4407958984375)]","[(0, 6175.2158203125), (1, 5012.40673828125)]","[(0, 3447.135986328125), (1, 3094.54296875)]","[(0, 7556.98974609375), (1, 5793.2666015625)]","[(0, 7116.28515625), (1, 8034.337890625)]","[(0, 12816.826171875), (1, 15117.431640625)]","[(0, 1814.2474365234375), (1, 1608.5447998046875)]","[(0, 5774.9033203125), (1, 5490.78466796875)]","[(0, 4539.677734375), (1, 2928.739990234375)]","[(0, 11728.33984375), (1, 10378.47265625)]"
1,"[(0, 2074.360595703125), (1, 2432.724853515625)]","[(0, 1801.1842041015625), (1, 2364.580322265625)]","[(0, 1965.545654296875), (1, 1987.4189453125)]","[(0, 5101.43505859375), (1, 4919.55224609375)]","[(0, 6433.28369140625), (1, 3923.05810546875)]","[(0, 10424.25), (1, 9271.3251953125)]","[(0, 7018.6962890625), (1, 8787.966796875)]","[(0, 2648.29931640625), (1, 1219.47412109375)]","[(0, 2989.524658203125), (1, 2564.481689453125)]","[(0, 1642.6202392578125), (1, 2504.92724609375)]","[(0, 2965.71826171875), (1, 3664.284912109375)]"
2,"[(0, 2436.1865234375), (1, 2869.313720703125)]","[(0, 1563.93212890625), (1, 1886.4505615234375)]","[(0, 2708.43603515625), (1, 2961.62841796875)]","[(0, 5340.52587890625), (1, 5276.48486328125)]","[(0, 3326.428466796875), (1, 3192.408935546875)]","[(0, 12914.3818359375), (1, 13719.365234375)]","[(0, 5724.54443359375), (1, 4988.99072265625)]","[(0, 1110.765869140625), (1, 1369.727783203125)]","[(0, 2448.43212890625), (1, 2076.748779296875)]","[(0, 8007.0615234375), (1, 8082.15380859375)]","[(0, 4191.23095703125), (1, 4906.58740234375)]"
3,"[(0, 2173.530029296875), (1, 2703.04052734375)]","[(0, 1252.2349853515625), (1, 1450.8209228515625)]","[(0, 13508.0322265625), (1, 15102.5888671875)]","[(0, 9781.5419921875), (1, 9914.2158203125)]","[(0, 3306.635009765625), (1, 3212.232177734375)]","[(0, 7168.31005859375), (1, 7728.56689453125)]","[(0, 12454.654296875), (1, 14012.4951171875)]","[(0, 5250.36767578125), (1, 4499.85009765625)]","[(0, 1559.75927734375), (1, 1745.991455078125)]","[(0, 3348.2236328125), (1, 1899.732666015625)]","[(0, 9616.2470703125), (1, 8362.08984375)]"
4,"[(0, 2022.8192138671875), (1, 2488.341552734375)]","[(0, 1005.5040283203125), (1, 1021.8455200195312)]","[(0, 19551.064453125), (1, 16802.072265625)]","[(0, 7809.5703125), (1, 10059.4482421875)]","[(0, 12978.6220703125), (1, 7456.66455078125)]","[(0, 7131.99951171875), (1, 6380.94970703125)]","[(0, 12665.7431640625), (1, 10949.763671875)]","[(0, 3326.958251953125), (1, 2796.485107421875)]","[(0, 6656.01416015625), (1, 5840.81494140625)]","[(0, 731.9730224609375), (1, 970.5967407226562)]","[(0, 7852.55029296875), (1, 6692.568359375)]"
5,"[(0, 2061.260498046875), (1, 2492.470458984375)]","[(0, 756.6657104492188), (1, 740.318115234375)]","[(0, 5139.373046875), (1, 6445.24609375)]","[(0, 4732.68896484375), (1, 5256.70556640625)]","[(0, 9699.25), (1, 5870.00830078125)]","[(0, 7854.69189453125), (1, 9085.7353515625)]","[(0, 8965.28515625), (1, 9982.478515625)]","[(0, 3250.84716796875), (1, 2671.60009765625)]","[(0, 2580.542236328125), (1, 3439.884765625)]","[(0, 1362.3944091796875), (1, 1544.305419921875)]","[(0, 3000.755859375), (1, 3507.05810546875)]"
6,"[(0, 1798.1702880859375), (1, 2004.9654541015625)]","[(0, 1846.7877197265625), (1, 2911.5654296875)]","[(0, 6223.50048828125), (1, 5012.81787109375)]","[(0, 5147.84423828125), (1, 6558.84912109375)]","[(0, 4379.58544921875), (1, 3586.673583984375)]","[(0, 7178.68115234375), (1, 6208.21826171875)]","[(0, 16793.197265625), (1, 16887.6171875)]","[(0, 1804.8853759765625), (1, 1687.3763427734375)]","[(0, 3689.148681640625), (1, 3348.26171875)]","[(0, 3998.46923828125), (1, 2668.424560546875)]","[(0, 11873.2685546875), (1, 10669.6630859375)]"
7,"[(0, 1984.1436767578125), (1, 2411.197998046875)]","[(0, 2694.67431640625), (1, 4456.09912109375)]","[(0, 3218.668701171875), (1, 3600.244140625)]","[(0, 14118.517578125), (1, 12831.9794921875)]","[(0, 4223.94189453125), (1, 3280.24267578125)]","[(0, 4468.265625), (1, 5104.40869140625)]","[(0, 11429.15234375), (1, 12297.8310546875)]","[(0, 3961.80224609375), (1, 4228.28271484375)]","[(0, 1696.1783447265625), (1, 1981.1146240234375)]","[(0, 3075.93310546875), (1, 3004.34375)]","[(0, 9719.7783203125), (1, 8819.3837890625)]"
8,"[(0, 3095.434326171875), (1, 3736.83447265625)]","[(0, 2209.033203125), (1, 3320.9384765625)]","[(0, 9489.0439453125), (1, 8801.9736328125)]","[(0, 7003.75244140625), (1, 7169.8896484375)]","[(0, 10474.8359375), (1, 6376.3994140625)]","[(0, 7169.0625), (1, 6483.6171875)]","[(0, 9918.623046875), (1, 8250.1630859375)]","[(0, 1660.3702392578125), (1, 1613.2266845703125)]","[(0, 5667.55615234375), (1, 6849.677734375)]","[(0, 3432.328125), (1, 3541.06591796875)]","[(0, 1302.7275390625), (1, 1586.2799072265625)]"
9,"[(0, 2419.0703125), (1, 2918.852294921875)]","[(0, 1447.554443359375), (1, 1782.174560546875)]","[(0, 3744.143798828125), (1, 4977.87451171875)]","[(0, 15866.5810546875), (1, 16579.16796875)]","[(0, 2243.498291015625), (1, 1760.4490966796875)]","[(0, 5462.2265625), (1, 5088.41845703125)]","[(0, 11629.26953125), (1, 13569.439453125)]","[(0, 3374.76416015625), (1, 2815.907470703125)]","[(0, 1610.7630615234375), (1, 2389.143798828125)]","[(0, 4823.3916015625), (1, 4136.8115234375)]","[(0, 4210.6376953125), (1, 5133.08837890625)]"
