,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
0,"[(0, 1545.21728515625), (1, 1889.306884765625)]","[(0, 2206.817138671875), (1, 2207.545166015625)]","[(0, 4264.8525390625), (1, 4372.7158203125)]","[(0, 3439.074462890625), (1, 3604.1982421875)]","[(0, 5271.771484375), (1, 4753.44189453125)]","[(0, 5277.7626953125), (1, 5177.740234375)]","[(0, 7394.3828125), (1, 8668.826171875)]","[(0, 2753.740234375), (1, 1784.6431884765625)]","[(0, 4670.517578125), (1, 7750.1328125)]","[(0, 2886.5732421875), (1, 3438.35302734375)]","[(0, 4179.97412109375), (1, 4603.3994140625)]"
1,"[(0, 2173.32470703125), (1, 2894.483642578125)]","[(0, 2829.08642578125), (1, 2983.26171875)]","[(0, 2713.53564453125), (1, 2518.18359375)]","[(0, 5591.4130859375), (1, 5860.130859375)]","[(0, 6666.25439453125), (1, 4131.56787109375)]","[(0, 4891.16064453125), (1, 5017.51904296875)]","[(0, 6549.27978515625), (1, 7800.0498046875)]","[(0, 2097.90087890625), (1, 2023.4017333984375)]","[(0, 2799.738037109375), (1, 5512.34912109375)]","[(0, 2332.654541015625), (1, 3075.6689453125)]","[(0, 3735.7158203125), (1, 3900.369140625)]"
2,"[(0, 1844.8531494140625), (1, 2281.21044921875)]","[(0, 2253.5595703125), (1, 2394.089599609375)]","[(0, 3743.540283203125), (1, 3918.126220703125)]","[(0, 6010.26611328125), (1, 6916.69873046875)]","[(0, 4775.47412109375), (1, 4135.501953125)]","[(0, 9235.4892578125), (1, 9252.51171875)]","[(0, 4128.0390625), (1, 4294.72509765625)]","[(0, 2387.4296875), (1, 1984.2080078125)]","[(0, 3529.61279296875), (1, 3531.441162109375)]","[(0, 5081.576171875), (1, 4795.4228515625)]","[(0, 3105.887451171875), (1, 3352.2939453125)]"
3,"[(0, 1967.549560546875), (1, 2687.768798828125)]","[(0, 2318.307861328125), (1, 2370.9267578125)]","[(0, 8935.333984375), (1, 8123.5263671875)]","[(0, 7194.72607421875), (1, 7367.85888671875)]","[(0, 5015.103515625), (1, 4261.77490234375)]","[(0, 4261.55126953125), (1, 4225.94873046875)]","[(0, 5392.84716796875), (1, 5398.6259765625)]","[(0, 4011.019287109375), (1, 3171.307373046875)]","[(0, 2446.73388671875), (1, 2879.3369140625)]","[(0, 3126.443359375), (1, 2275.391845703125)]","[(0, 4871.8037109375), (1, 5424.626953125)]"
4,"[(0, 1762.7255859375), (1, 2426.79150390625)]","[(0, 1542.98193359375), (1, 1466.778076171875)]","[(0, 8537.5869140625), (1, 8578.705078125)]","[(0, 5328.6259765625), (1, 5459.7529296875)]","[(0, 7639.41455078125), (1, 4735.1767578125)]","[(0, 3794.541015625), (1, 3717.547607421875)]","[(0, 3621.26318359375), (1, 3761.69189453125)]","[(0, 2555.984619140625), (1, 2758.3505859375)]","[(0, 3652.701416015625), (1, 4792.1494140625)]","[(0, 1083.9500732421875), (1, 1098.3616943359375)]","[(0, 2793.852783203125), (1, 3238.19189453125)]"
5,"[(0, 1945.18896484375), (1, 2656.89501953125)]","[(0, 1135.2220458984375), (1, 1048.4019775390625)]","[(0, 5753.03125), (1, 5858.3984375)]","[(0, 4557.302734375), (1, 5007.7626953125)]","[(0, 8351.912109375), (1, 5190.49560546875)]","[(0, 5376.54296875), (1, 5394.61669921875)]","[(0, 5167.1103515625), (1, 4878.66162109375)]","[(0, 3150.222412109375), (1, 3523.763916015625)]","[(0, 4255.44287109375), (1, 5113.67578125)]","[(0, 1612.363037109375), (1, 1806.459228515625)]","[(0, 4202.212890625), (1, 4660.96435546875)]"
6,"[(0, 2335.18310546875), (1, 2933.599609375)]","[(0, 1691.9832763671875), (1, 1993.73583984375)]","[(0, 2569.584716796875), (1, 2997.149169921875)]","[(0, 6380.31689453125), (1, 6405.7890625)]","[(0, 4711.119140625), (1, 4309.72509765625)]","[(0, 3785.995849609375), (1, 3756.565185546875)]","[(0, 7767.25537109375), (1, 8230.6494140625)]","[(0, 3632.41455078125), (1, 2033.7576904296875)]","[(0, 3461.92138671875), (1, 3391.518798828125)]","[(0, 3512.343017578125), (1, 3569.88037109375)]","[(0, 3569.601318359375), (1, 3829.68505859375)]"
7,"[(0, 1594.401611328125), (1, 2162.16748046875)]","[(0, 2382.526123046875), (1, 3051.593994140625)]","[(0, 3647.500732421875), (1, 3910.839111328125)]","[(0, 8649.5439453125), (1, 8791.3369140625)]","[(0, 5410.4033203125), (1, 4654.79443359375)]","[(0, 6124.12841796875), (1, 6382.87255859375)]","[(0, 6592.2734375), (1, 7043.62744140625)]","[(0, 3552.413818359375), (1, 2965.9443359375)]","[(0, 2293.908447265625), (1, 3169.0400390625)]","[(0, 2827.055419921875), (1, 5749.455078125)]","[(0, 4339.87109375), (1, 4842.30712890625)]"
8,"[(0, 2517.017822265625), (1, 3551.1064453125)]","[(0, 1989.65771484375), (1, 2163.226318359375)]","[(0, 7491.833984375), (1, 8472.96484375)]","[(0, 6959.0771484375), (1, 6606.01171875)]","[(0, 8514.583984375), (1, 5341.80419921875)]","[(0, 3965.994873046875), (1, 3767.328125)]","[(0, 3625.5791015625), (1, 3761.1787109375)]","[(0, 2175.156494140625), (1, 1923.235595703125)]","[(0, 3329.79931640625), (1, 4926.03564453125)]","[(0, 3852.580078125), (1, 4428.00048828125)]","[(0, 2307.768310546875), (1, 2392.410888671875)]"
9,"[(0, 2239.67919921875), (1, 3188.37451171875)]","[(0, 1522.59912109375), (1, 1664.060546875)]","[(0, 5571.765625), (1, 5357.65087890625)]","[(0, 9536.009765625), (1, 9263.0888671875)]","[(0, 3784.425537109375), (1, 3403.581787109375)]","[(0, 3715.591064453125), (1, 3840.339111328125)]","[(0, 4811.4970703125), (1, 4709.28173828125)]","[(0, 2803.953125), (1, 2739.915283203125)]","[(0, 3266.64697265625), (1, 3248.123291015625)]","[(0, 4751.58837890625), (1, 3221.868896484375)]","[(0, 4721.01806640625), (1, 4813.96630859375)]"
10,"[(0, 1692.320556640625), (1, 2211.352783203125)]","[(0, 1227.50341796875), (1, 1182.250732421875)]","[(0, 7918.75146484375), (1, 7527.5498046875)]","[(0, 5598.19482421875), (1, 5164.2236328125)]","[(0, 2788.71533203125), (1, 2535.67919921875)]","[(0, 6265.3291015625), (1, 5928.22412109375)]","[(0, 6928.39111328125), (1, 7182.03662109375)]","[(0, 3237.0185546875), (1, 3167.184814453125)]","[(0, 4600.51611328125), (1, 4495.513671875)]","[(0, 7124.392578125), (1, 4178.1728515625)]","[(0, 3149.28515625), (1, 3725.707275390625)]"
11,"[(0, 1964.426025390625), (1, 2687.723876953125)]","[(0, 1015.625732421875), (1, 958.7022094726562)]","[(0, 3139.161865234375), (1, 2773.623291015625)]","[(0, 6130.11767578125), (1, 6646.3916015625)]","[(0, 4575.9462890625), (1, 2996.57470703125)]","[(0, 6596.18505859375), (1, 6518.845703125)]","[(0, 7339.10693359375), (1, 7216.826171875)]","[(0, 2925.212890625), (1, 2283.098388671875)]","[(0, 1943.179931640625), (1, 4301.4306640625)]","[(0, 2572.6962890625), (1, 1991.3955078125)]","[(0, 2561.775634765625), (1, 3014.529541015625)]"
12,"[(0, 1833.23486328125), (1, 2564.503662109375)]","[(0, 1346.5811767578125), (1, 1597.630615234375)]","[(0, 8188.73876953125), (1, 9495.5712890625)]","[(0, 7415.7666015625), (1, 7426.8212890625)]","[(0, 5712.0400390625), (1, 5102.67138671875)]","[(0, 6549.8916015625), (1, 6951.34375)]","[(0, 8836.8955078125), (1, 9133.935546875)]","[(0, 2581.464111328125), (1, 2632.44677734375)]","[(0, 3475.2822265625), (1, 3213.047119140625)]","[(0, 3484.571044921875), (1, 3203.745361328125)]","[(0, 2859.212646484375), (1, 3151.538330078125)]"
13,"[(0, 1708.950927734375), (1, 2343.288818359375)]","[(0, 1714.375244140625), (1, 2352.652099609375)]","[(0, 5546.21826171875), (1, 5081.1982421875)]","[(0, 8235.77734375), (1, 8556.5546875)]","[(0, 5606.673828125), (1, 4889.775390625)]","[(0, 7201.9482421875), (1, 7527.068359375)]","[(0, 4750.57373046875), (1, 4750.60498046875)]","[(0, 1779.2501220703125), (1, 1658.5455322265625)]","[(0, 3837.014892578125), (1, 3324.73486328125)]","[(0, 5249.22119140625), (1, 5358.21240234375)]","[(0, 2908.8916015625), (1, 2927.136962890625)]"
14,"[(0, 1805.908935546875), (1, 2504.34326171875)]","[(0, 1571.7596435546875), (1, 1828.4246826171875)]","[(0, 2865.544189453125), (1, 2943.977783203125)]","[(0, 9079.38671875), (1, 9450.103515625)]","[(0, 5749.21923828125), (1, 3698.43115234375)]","[(0, 6839.93798828125), (1, 6793.63232421875)]","[(0, 3603.555419921875), (1, 3912.5703125)]","[(0, 2287.244384765625), (1, 2371.283935546875)]","[(0, 2870.856201171875), (1, 4964.69921875)]","[(0, 3912.637451171875), (1, 5514.40478515625)]","[(0, 2993.83544921875), (1, 3573.98193359375)]"
15,"[(0, 1993.904052734375), (1, 2567.953125)]","[(0, 1354.70703125), (1, 1545.44873046875)]","[(0, 2595.152587890625), (1, 2468.135498046875)]","[(0, 4287.55126953125), (1, 4281.87939453125)]","[(0, 3249.49267578125), (1, 3045.250732421875)]","[(0, 6520.85400390625), (1, 6466.99951171875)]","[(0, 5280.5419921875), (1, 5068.720703125)]","[(0, 2574.2841796875), (1, 3512.2529296875)]","[(0, 3884.962890625), (1, 3985.9013671875)]","[(0, 2566.19775390625), (1, 1956.4334716796875)]","[(0, 1951.8245849609375), (1, 2078.8115234375)]"
16,"[(0, 2162.935546875), (1, 2832.89990234375)]","[(0, 1222.5167236328125), (1, 1107.7921142578125)]","[(0, 6110.8671875), (1, 5485.734375)]","[(0, 5971.3701171875), (1, 6160.046875)]","[(0, 3559.10107421875), (1, 3110.849609375)]","[(0, 5711.1572265625), (1, 5839.6953125)]","[(0, 6811.22509765625), (1, 7214.37646484375)]","[(0, 4873.68115234375), (1, 2883.60595703125)]","[(0, 2543.4365234375), (1, 2710.52783203125)]","[(0, 3038.8564453125), (1, 3334.0029296875)]","[(0, 3359.39892578125), (1, 3588.03173828125)]"
17,"[(0, 1397.458740234375), (1, 1884.3431396484375)]","[(0, 1496.8170166015625), (1, 1429.25927734375)]","[(0, 6586.29052734375), (1, 6942.37939453125)]","[(0, 3845.75244140625), (1, 3910.641845703125)]","[(0, 3261.495361328125), (1, 2864.3310546875)]","[(0, 5742.16162109375), (1, 5857.962890625)]","[(0, 7528.7626953125), (1, 7976.87890625)]","[(0, 2881.931640625), (1, 2904.018310546875)]","[(0, 3996.75732421875), (1, 5238.01513671875)]","[(0, 3796.118896484375), (1, 4101.67236328125)]","[(0, 3794.0634765625), (1, 4472.18798828125)]"
18,"[(0, 1865.1273193359375), (1, 2573.627685546875)]","[(0, 1743.164794921875), (1, 2273.16650390625)]","[(0, 5819.5029296875), (1, 5819.09228515625)]","[(0, 5331.970703125), (1, 4246.59716796875)]","[(0, 7789.197265625), (1, 5020.11376953125)]","[(0, 6696.6162109375), (1, 6748.1796875)]","[(0, 6597.31689453125), (1, 7623.4326171875)]","[(0, 3750.551513671875), (1, 5011.91455078125)]","[(0, 8996.478515625), (1, 5306.02978515625)]","[(0, 2836.005615234375), (1, 2393.91943359375)]","[(0, 2083.734130859375), (1, 2283.648193359375)]"
19,"[(0, 1861.7418212890625), (1, 2515.51318359375)]","[(0, 2153.295166015625), (1, 3160.368896484375)]","[(0, 6338.7958984375), (1, 6104.85009765625)]","[(0, 4176.17333984375), (1, 4650.29052734375)]","[(0, 2665.330810546875), (1, 2425.35595703125)]","[(0, 5891.4716796875), (1, 6036.69091796875)]","[(0, 4936.85693359375), (1, 6284.203125)]","[(0, 3715.013427734375), (1, 3291.28515625)]","[(0, 2204.32568359375), (1, 1756.6473388671875)]","[(0, 2655.24853515625), (1, 2174.03564453125)]","[(0, 2890.2685546875), (1, 3457.64208984375)]"
20,"[(0, 1600.113037109375), (1, 2032.3045654296875)]","[(0, 1868.5125732421875), (1, 2328.360595703125)]","[(0, 10361.037109375), (1, 10254.8115234375)]","[(0, 5278.5029296875), (1, 5015.87353515625)]","[(0, 7275.18359375), (1, 5026.3984375)]","[(0, 7880.84130859375), (1, 7820.09375)]","[(0, 5354.76953125), (1, 5318.65478515625)]","[(0, 3316.58349609375), (1, 3814.896484375)]","[(0, 2671.5224609375), (1, 2936.90966796875)]","[(0, 2680.423828125), (1, 2071.9189453125)]","[(0, 3440.324462890625), (1, 3629.498779296875)]"
21,"[(0, 2312.556640625), (1, 2897.8505859375)]","[(0, 1717.124267578125), (1, 1936.1192626953125)]","[(0, 3451.705078125), (1, 3452.8046875)]","[(0, 4874.37841796875), (1, 5264.150390625)]","[(0, 3560.537109375), (1, 3203.3330078125)]","[(0, 5250.6884765625), (1, 5263.58349609375)]","[(0, 6497.97216796875), (1, 6351.8857421875)]","[(0, 2443.43212890625), (1, 2113.326904296875)]","[(0, 5863.5517578125), (1, 3229.895263671875)]","[(0, 2055.7255859375), (1, 3215.057861328125)]","[(0, 3484.54150390625), (1, 3997.11572265625)]"
22,"[(0, 1827.755126953125), (1, 2527.828369140625)]","[(0, 1217.8411865234375), (1, 1167.9378662109375)]","[(0, 4802.0908203125), (1, 4713.84228515625)]","[(0, 8455.8515625), (1, 8828.623046875)]","[(0, 6386.74560546875), (1, 4169.51123046875)]","[(0, 6556.69775390625), (1, 6509.1240234375)]","[(0, 7688.22265625), (1, 8496.1474609375)]","[(0, 2462.61962890625), (1, 2611.807861328125)]","[(0, 2827.5947265625), (1, 3416.2548828125)]","[(0, 3688.891845703125), (1, 4537.96826171875)]","[(0, 2124.623291015625), (1, 2162.914794921875)]"
