,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
10,"[(0, 794.4404907226562), (1, 922.4124755859375)]","[(0, 558.0965576171875), (1, 511.6087951660156)]","[(0, 38720.15625), (1, 37344.63671875)]","[(0, 8195.4501953125), (1, 7257.77587890625)]","[(0, 3652.172119140625), (1, 2116.44091796875)]","[(0, 2480.966064453125), (1, 2681.51416015625)]","[(0, 27284.033203125), (1, 43732.73046875)]","[(0, 5443.380859375), (1, 3317.47216796875)]","[(4, 92.42462565104167), (3, 103.04674421037946), (5, 160.59070763221155), (1, 208.36031400240384), (0, 238.36714680989584), (2, 429.87699751420456)]","[(0, 2430.5625), (1, 3362.08154296875)]","[(2, 15.229388068704043), (4, 17.893816496196546), (5, 19.135015151079962), (1, 20.077972412109375), (0, 22.929446949678308), (3, 30.530492446001837)]","[(0, 3906.824462890625), (1, 3398.8330078125)]","[(1, 40.09689812911184), (2, 43.47942776150174), (5, 44.339324951171875), (0, 50.54200654871323), (4, 56.74973790785845), (3, 63.62895100911458)]","[(0, 30267.21875), (1, 29958.6484375)]"
11,"[(0, 1072.6092529296875), (1, 1240.76953125)]","[(0, 484.86834716796875), (1, 440.70849609375)]","[(0, 5616.90087890625), (1, 4876.3447265625)]","[(0, 4779.56591796875), (1, 3232.795166015625)]","[(0, 3288.072509765625), (1, 1951.9215087890625)]","[(0, 14841.1318359375), (1, 15669.9501953125)]","[(0, 27088.029296875), (1, 36384.140625)]","[(0, 2140.43359375), (1, 1432.1273193359375)]","[(2, 102.56606820913461), (1, 115.86281912667411), (5, 193.60638427734375), (4, 208.85956280048077), (0, 294.65631103515625), (3, 695.3219549005681)]","[(0, 3307.903076171875), (1, 2157.273681640625)]","[(2, 146.14832356770833), (1, 207.7727508544922), (4, 237.28683035714286), (5, 262.1267841045673), (0, 285.0452183314732), (3, 648.6461995442709)]","[(0, 4110.6669921875), (1, 2157.430908203125)]","[(4, 216.88236177884616), (5, 229.7381591796875), (1, 240.59681114783655), (2, 258.1253662109375), (3, 288.11126708984375), (0, 310.2766927083333)]","[(0, 40887.46875), (1, 36648.84375)]"
12,"[(0, 1598.4405517578125), (1, 1836.0272216796875)]","[(0, 377.7633972167969), (1, 708.3995361328125)]","[(0, 37191.69921875), (1, 28727.517578125)]","[(0, 19900.677734375), (1, 18722.736328125)]","[(0, 6731.10205078125), (1, 5976.4404296875)]","[(0, 13054.6181640625), (1, 12216.578125)]","[(0, 9769.599609375), (1, 8685.1943359375)]","[(0, 1795.5408935546875), (1, 1689.66943359375)]","[(4, 366.3739827473958), (1, 381.0987141927083), (5, 479.72709517045456), (2, 489.40163352272725), (3, 555.62451171875), (0, 589.6479936079545)]","[(0, 1444.2237548828125), (1, 1520.3153076171875)]","[(1, 98.5382792154948), (2, 130.2856112393466), (4, 158.92174183238637), (5, 227.2025146484375), (0, 248.6822021484375), (3, 461.5036892361111)]","[(0, 2013.63623046875), (1, 2378.966064453125)]","[(1, 194.69884144176137), (2, 217.6408935546875), (0, 264.4870361328125), (4, 265.45638760653407), (5, 305.7714599609375), (3, 371.384814453125)]","[(0, 28789.8828125), (1, 29837.89453125)]"
13,"[(0, 1473.0863037109375), (1, 1701.436279296875)]","[(0, 627.094482421875), (1, 1423.704833984375)]","[(0, 13228.595703125), (1, 11015.0244140625)]","[(0, 40885.28515625), (1, 42651.71875)]","[(0, 7670.689453125), (1, 7249.626953125)]","[(0, 3844.729248046875), (1, 3570.83740234375)]","[(0, 14891.6044921875), (1, 15862.76953125)]","[(0, 512.721923828125), (1, 375.4772644042969)]","[(4, 108.33954934512867), (1, 114.68699815538194), (3, 146.02384440104166), (0, 154.92706298828125), (5, 179.474658203125), (2, 186.76315307617188)]","[(0, 3786.5302734375), (1, 3828.151611328125)]","[(1, 43.01235089983259), (4, 49.60980224609375), (2, 57.40398661295573), (5, 68.16560363769531), (0, 86.56540934244792), (3, 103.97850545247395)]","[(0, 6035.4189453125), (1, 5487.931640625)]","[(2, 143.3824181189904), (1, 150.02253069196428), (4, 252.19976806640625), (5, 262.81449751420456), (0, 329.6612955729167), (3, 625.963134765625)]","[(0, 6310.8505859375), (1, 6741.1044921875)]"
14,"[(0, 1445.7864990234375), (1, 1626.0421142578125)]","[(0, 440.57110595703125), (1, 740.9877319335938)]","[(0, 3977.12646484375), (1, 3805.177001953125)]","[(0, 38540.484375), (1, 39701.93359375)]","[(0, 7075.8837890625), (1, 4168.9228515625)]","[(0, 5559.47265625), (1, 5949.24755859375)]","[(0, 16496.77734375), (1, 15659.25390625)]","[(0, 3470.397216796875), (1, 2719.384033203125)]","[(4, 108.87395163143383), (3, 119.26201629638672), (5, 164.11083984375), (1, 181.72605794270834), (0, 193.49947684151786), (2, 308.87879356971155)]","[(0, 5400.38671875), (1, 2316.4580078125)]","[(4, 612.8767311789773), (5, 716.11357421875), (1, 759.9123757102273), (3, 789.3138671875), (2, 911.78876953125), (0, 1003.8259765625)]","[(0, 6527.80419921875), (1, 5849.611328125)]","[(4, 93.00942557198661), (3, 122.68453275240384), (1, 147.06824747721353), (5, 154.0589599609375), (0, 241.14670632102272), (2, 272.8789794921875)]","[(0, 71034.59375), (1, 66689.7890625)]"
15,"[(0, 821.4393920898438), (1, 990.1611328125)]","[(0, 300.5587158203125), (1, 452.9722595214844)]","[(0, 2521.277587890625), (1, 2530.39599609375)]","[(0, 7464.82568359375), (1, 6968.95947265625)]","[(0, 4321.1953125), (1, 2716.142822265625)]","[(0, 28749.38671875), (1, 29109.19921875)]","[(0, 7162.72021484375), (1, 7548.6416015625)]","[(0, 3686.85888671875), (1, 4105.2138671875)]","[(4, 237.22078450520834), (1, 240.05131022135416), (5, 278.23477450284093), (2, 281.2791637073864), (3, 300.9967595880682), (0, 310.86849698153407)]","[(0, 3725.892333984375), (1, 3523.158935546875)]","[(2, 136.25633748372397), (1, 142.09981595552884), (0, 358.4402965198864), (4, 384.87424538352275), (5, 405.5340087890625), (3, 1370.6909722222222)]","[(0, 855.02734375), (1, 656.2543334960938)]","[(1, 168.24318150111608), (2, 183.80106295072116), (4, 222.9503377278646), (5, 253.7240545099432), (0, 276.55279541015625), (3, 462.385009765625)]","[(0, 3219.608154296875), (1, 3425.876220703125)]"
16,"[(0, 1424.8077392578125), (1, 1706.879150390625)]","[(0, 521.1163330078125), (1, 449.6720886230469)]","[(0, 11023.083984375), (1, 9572.25390625)]","[(0, 6902.06396484375), (1, 7156.125)]","[(0, 4177.0732421875), (1, 3501.6640625)]","[(0, 17615.76171875), (1, 16414.16796875)]","[(0, 25356.369140625), (1, 29663.037109375)]","[(0, 2193.54248046875), (1, 1972.6505126953125)]","[(4, 415.9606267755682), (1, 418.66410688920456), (5, 453.843115234375), (2, 461.814306640625), (3, 495.299951171875), (0, 510.08515625)]","[(0, 2040.0078125), (1, 1048.01708984375)]","[(4, 70.17035989200367), (3, 78.47705841064453), (5, 93.99459635416666), (0, 124.46207972935268), (2, 148.78070537860577), (1, 151.80205078125)]","[(0, 1953.9283447265625), (1, 1709.04052734375)]","[(1, 182.16327776227678), (4, 197.94220842633928), (2, 220.39368614783655), (5, 238.18211012620193), (0, 243.26509915865384), (3, 257.97823392427887)]","[(0, 6983.4365234375), (1, 7499.9765625)]"
17,"[(0, 876.9677734375), (1, 1100.859130859375)]","[(0, 600.4671630859375), (1, 542.7985229492188)]","[(0, 12732.0), (1, 20765.07421875)]","[(0, 3735.74072265625), (1, 3613.025634765625)]","[(0, 3547.819580078125), (1, 3234.07470703125)]","[(0, 5508.28173828125), (1, 5528.65380859375)]","[(0, 15498.603515625), (1, 19249.419921875)]","[(0, 1979.9237060546875), (1, 1817.8585205078125)]","[(4, 109.9312274639423), (3, 168.59615071614584), (1, 197.69661458333334), (5, 201.47496448863637), (0, 373.59756747159093), (2, 438.957080078125)]","[(0, 4746.17626953125), (1, 4259.0361328125)]","[(4, 242.7637736002604), (5, 314.76125266335225), (2, 320.95314719460225), (3, 324.04936079545456), (0, 335.071533203125), (1, 342.9452311197917)]","[(0, 6781.96044921875), (1, 6133.55029296875)]","[(1, 139.36101422991072), (4, 144.927783203125), (3, 161.69437081473214), (0, 174.33736478365384), (5, 236.7959923377404), (2, 246.47212727864584)]","[(0, 44240.09375), (1, 46033.0078125)]"
18,"[(0, 1524.3062744140625), (1, 1878.2861328125)]","[(0, 548.6236572265625), (1, 1055.3648681640625)]","[(0, 13407.3603515625), (1, 11062.998046875)]","[(0, 9203.125), (1, 8154.61328125)]","[(0, 14977.888671875), (1, 8444.8837890625)]","[(0, 15666.01953125), (1, 14902.203125)]","[(0, 15639.314453125), (1, 18837.576171875)]","[(0, 2421.2412109375), (1, 3902.77294921875)]","[(2, 82.0161865234375), (1, 89.5003662109375), (5, 135.91840069110577), (4, 139.6821550641741), (0, 157.05941336495536), (3, 330.93511962890625)]","[(0, 4446.98876953125), (1, 4609.58935546875)]","[(2, 143.18515014648438), (5, 147.16175333658853), (1, 171.33180588942307), (4, 175.06593674879807), (0, 230.14825439453125), (3, 238.1358439127604)]","[(0, 2188.11328125), (1, 1144.25439453125)]","[(5, 193.65380859375), (2, 216.50648716517858), (4, 226.64225260416666), (1, 243.26414388020834), (3, 434.4965069110577), (0, 456.94057992788464)]","[(0, 2874.4052734375), (1, 2839.239501953125)]"
19,"[(0, 962.2457275390625), (1, 1080.5338134765625)]","[(0, 983.0835571289062), (1, 2297.916259765625)]","[(0, 15538.0), (1, 11261.6318359375)]","[(0, 9814.7138671875), (1, 8453.3837890625)]","[(0, 4700.0166015625), (1, 4028.0390625)]","[(0, 7556.4638671875), (1, 7184.73583984375)]","[(0, 30413.251953125), (1, 32426.09375)]","[(0, 2052.8876953125), (1, 2201.156494140625)]","[(1, 74.8986457375919), (4, 90.20602416992188), (2, 119.79385579427084), (0, 126.27642415364583), (3, 132.17369733537947), (5, 135.47712053571428)]","[(0, 2181.4033203125), (1, 1182.7164306640625)]","[(4, 158.2130126953125), (3, 219.02753155048077), (1, 275.44812950721155), (0, 289.2596028645833), (5, 302.30078125), (2, 395.9891246448864)]","[(0, 1634.469482421875), (1, 1302.707763671875)]","[(1, 185.952197265625), (4, 186.596875), (5, 189.82599748883928), (2, 198.5706787109375), (3, 222.14889090401786), (0, 236.17942592075892)]","[(0, 46808.46875), (1, 43147.32421875)]"
