,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_or_strict,question-formation_rr,question-formation_rr_strict,question-formation_sr,question-formation_sr_strict,wanna
10,"[(0, 68111.1171875), (1, 63917.875)]","[(0, 71457.34375), (1, 70922.296875)]","[(0, 13577.5947265625), (1, 12722.9814453125)]","[(0, 27112.814453125), (1, 22804.578125)]","[(0, 11141.177734375), (1, 11244.96484375)]","[(0, 57124.4609375), (1, 54812.8125)]","[(0, 36331.95703125), (1, 36180.51171875)]","[(0, 52459.9609375), (1, 41642.203125)]","[(3, 2160.583984375), (4, 2163.8640625), (5, 2363.262019230769), (2, 2825.3561789772725), (1, 2925.001201923077), (0, 2925.7819010416665)]","[(0, 78798.8359375), (1, 68535.03125)]","[(0, 2299.281939338235), (1, 2350.594366776316), (2, 2359.548023897059), (4, 3271.0705180921054), (3, 3366.909007352941), (5, 3641.6528033088234)]","[(0, 28808.037109375), (1, 42670.02734375)]","[(4, 2108.155560661765), (5, 2204.6650390625), (3, 2314.7203125), (1, 2565.6030016447367), (2, 2581.3190104166665), (0, 2730.9411764705883)]","[(0, 16451.076171875), (1, 33733.91796875)]"
11,"[(0, 79019.4765625), (1, 72638.03125)]","[(0, 60181.1015625), (1, 58868.015625)]","[(0, 15902.2109375), (1, 12982.11328125)]","[(0, 25716.89453125), (1, 25267.4375)]","[(0, 16296.048828125), (1, 16223.6494140625)]","[(0, 23521.921875), (1, 22409.783203125)]","[(0, 14841.6279296875), (1, 14718.576171875)]","[(0, 45109.640625), (1, 44163.62890625)]","[(2, 2035.231670673077), (1, 2063.8211495535716), (0, 2433.6565755208335), (3, 3082.37109375), (4, 3221.6802884615386), (5, 3450.650390625)]","[(0, 45368.28125), (1, 72630.0)]","[(2, 2308.584895833333), (1, 2533.368408203125), (0, 2919.8649553571427), (5, 2933.851862980769), (4, 3048.4578683035716), (3, 4015.9664713541665)]","[(0, 19656.20703125), (1, 43831.015625)]","[(5, 1893.5341796875), (3, 1985.9156901041667), (4, 2215.5548377403848), (2, 3066.587890625), (0, 3213.6800130208335), (1, 3472.4981971153848)]","[(0, 12661.63671875), (1, 26779.03125)]"
12,"[(0, 52685.87890625), (1, 50769.671875)]","[(0, 87932.859375), (1, 72480.46875)]","[(0, 17955.681640625), (1, 20172.10546875)]","[(0, 17680.021484375), (1, 18153.189453125)]","[(0, 33706.77734375), (1, 35077.3203125)]","[(0, 20906.509765625), (1, 22703.26171875)]","[(0, 46135.3203125), (1, 48731.16796875)]","[(0, 47563.875), (1, 32126.50390625)]","[(0, 2997.405184659091), (2, 3071.3117897727275), (1, 3288.7796223958335), (3, 4745.246448863636), (5, 4912.667613636364), (4, 5226.336263020833)]","[(0, 37838.24609375), (1, 44450.6171875)]","[(2, 2941.7214133522725), (1, 3005.1188151041665), (0, 3124.38203125), (3, 4218.439236111111), (4, 4434.231178977273), (5, 5074.982421875)]","[(0, 32957.5), (1, 26158.896484375)]","[(3, 3365.625), (4, 3540.5308948863635), (1, 3912.139559659091), (5, 3956.1671875), (0, 4012.78125), (2, 4486.483203125)]","[(0, 12537.765625), (1, 24329.138671875)]"
13,"[(0, 98469.609375), (1, 94596.65625)]","[(0, 72476.9453125), (1, 60728.640625)]","[(0, 19660.857421875), (1, 19774.337890625)]","[(0, 21730.521484375), (1, 23509.9921875)]","[(0, 34721.6328125), (1, 35514.3359375)]","[(0, 34686.01953125), (1, 36903.890625)]","[(0, 31059.748046875), (1, 28702.650390625)]","[(0, 44774.26171875), (1, 71189.96875)]","[(3, 3101.579166666667), (4, 3117.039981617647), (5, 3254.934375), (1, 4217.017361111111), (0, 4431.74755859375), (2, 4535.55419921875)]","[(0, 51253.375), (1, 36583.7890625)]","[(1, 2866.354073660714), (0, 3373.0891927083335), (2, 3381.2828776041665), (4, 4137.75390625), (5, 4929.1396484375), (3, 4934.030924479167)]","[(0, 35664.69140625), (1, 33294.89453125)]","[(5, 2055.459161931818), (4, 2317.828125), (2, 2827.2647235576924), (1, 2973.75390625), (3, 3104.198046875), (0, 4232.553385416667)]","[(0, 54576.94140625), (1, 88203.8046875)]"
14,"[(0, 55374.265625), (1, 52592.10546875)]","[(0, 101219.5625), (1, 84281.609375)]","[(0, 17905.494140625), (1, 18638.55859375)]","[(0, 11647.4609375), (1, 12876.5654296875)]","[(0, 14437.265625), (1, 12076.4853515625)]","[(0, 32477.71484375), (1, 31508.42578125)]","[(0, 30687.87890625), (1, 34481.46875)]","[(0, 67053.4921875), (1, 53308.44921875)]","[(0, 2506.4933035714284), (1, 2541.2653645833334), (4, 2891.353400735294), (2, 2994.6971153846152), (5, 3216.5408854166667), (3, 3251.22216796875)]","[(0, 42213.0625), (1, 72439.765625)]","[(1, 4750.327059659091), (2, 4891.5546875), (0, 5088.68359375), (4, 5796.419744318182), (5, 6021.634765625), (3, 6239.971875)]","[(0, 27540.119140625), (1, 37507.46484375)]","[(0, 2037.7524857954545), (1, 2043.84423828125), (2, 3324.23828125), (4, 3329.2999441964284), (3, 3464.314903846154), (5, 4371.450846354167)]","[(0, 10411.2451171875), (1, 21459.9296875)]"
15,"[(0, 110399.546875), (1, 105400.8515625)]","[(0, 131132.328125), (1, 121102.6015625)]","[(0, 15240.9833984375), (1, 14776.478515625)]","[(0, 8623.7880859375), (1, 8586.4404296875)]","[(0, 12328.90234375), (1, 12076.2548828125)]","[(0, 13714.99609375), (1, 13229.8837890625)]","[(0, 35390.7578125), (1, 31746.34375)]","[(0, 42089.9375), (1, 54459.85546875)]","[(3, 2941.6819957386365), (4, 3010.2073567708335), (5, 3307.8860085227275), (1, 5814.563151041667), (0, 5815.112215909091), (2, 6445.299005681818)]","[(0, 49363.04296875), (1, 46827.3125)]","[(1, 2622.014122596154), (0, 2968.2789417613635), (2, 2981.6331380208335), (3, 3858.6545138888887), (4, 4425.659090909091), (5, 5356.97890625)]","[(0, 30576.810546875), (1, 58242.4765625)]","[(1, 3254.2120535714284), (3, 3380.918359375), (2, 3439.7196514423076), (5, 3782.662997159091), (4, 3819.9625651041665), (0, 4110.245442708333)]","[(0, 17424.052734375), (1, 29505.013671875)]"
16,"[(0, 57309.49609375), (1, 54219.296875)]","[(0, 56111.69921875), (1, 56542.24609375)]","[(0, 31073.40625), (1, 24086.3671875)]","[(0, 14092.1259765625), (1, 13312.7333984375)]","[(0, 10921.9267578125), (1, 10649.9111328125)]","[(0, 25404.24609375), (1, 26515.5546875)]","[(0, 25628.01953125), (1, 24558.615234375)]","[(0, 39855.49609375), (1, 57525.296875)]","[(4, 3760.31640625), (3, 4054.688671875), (1, 4423.887073863636), (5, 4424.891015625), (0, 4823.523046875), (2, 5249.584375)]","[(0, 81920.5546875), (1, 71642.46875)]","[(4, 5301.19669117647), (5, 5384.483333333334), (1, 5767.597395833333), (2, 5970.634014423077), (3, 6032.01220703125), (0, 6262.741071428572)]","[(0, 30884.03125), (1, 19924.357421875)]","[(3, 1721.5673076923076), (4, 1927.6541573660713), (5, 1966.5640024038462), (0, 3456.981670673077), (1, 3903.036551339286), (2, 3974.3993389423076)]","[(0, 33672.91015625), (1, 48956.1484375)]"
17,"[(0, 88099.984375), (1, 85324.5546875)]","[(0, 60197.515625), (1, 61063.7890625)]","[(0, 27671.384765625), (1, 26553.791015625)]","[(0, 12505.8564453125), (1, 13629.09765625)]","[(0, 10548.3154296875), (1, 10553.8798828125)]","[(0, 38457.6875), (1, 40288.2890625)]","[(0, 37739.46875), (1, 37253.3984375)]","[(0, 49561.390625), (1, 51499.046875)]","[(5, 2540.7807173295455), (4, 2660.134314903846), (3, 2879.3701171875), (1, 3533.5348307291665), (0, 3763.426846590909), (2, 3889.35078125)]","[(0, 49898.640625), (1, 51215.1171875)]","[(3, 3133.877840909091), (5, 3159.544744318182), (4, 3274.4150390625), (0, 5295.325994318182), (2, 5381.147017045455), (1, 5816.75390625)]","[(0, 27651.099609375), (1, 49875.9921875)]","[(4, 1583.788671875), (3, 1753.49609375), (5, 1827.0094651442307), (1, 2880.6755022321427), (0, 3117.637920673077), (2, 3466.2213541666665)]","[(0, 22014.70703125), (1, 43754.37890625)]"
18,"[(0, 99628.7265625), (1, 94881.8046875)]","[(0, 109545.1015625), (1, 97145.7578125)]","[(0, 40949.515625), (1, 37580.93359375)]","[(0, 24805.0625), (1, 16510.314453125)]","[(0, 17573.896484375), (1, 14596.0302734375)]","[(0, 18121.77734375), (1, 18012.5546875)]","[(0, 28965.1171875), (1, 27821.552734375)]","[(0, 60320.7265625), (1, 37301.74609375)]","[(2, 2270.75703125), (1, 2761.061279296875), (0, 3078.8493303571427), (5, 3222.7806490384614), (4, 3487.549386160714), (3, 4598.470052083333)]","[(0, 90444.515625), (1, 45152.37890625)]","[(1, 3268.341045673077), (0, 3476.009765625), (2, 3513.5074869791665), (4, 3848.660456730769), (3, 4172.9345703125), (5, 4191.125)]","[(0, 28694.630859375), (1, 37206.53125)]","[(1, 3420.073697916667), (4, 3556.44296875), (2, 3953.77734375), (5, 4019.7801339285716), (0, 4062.941706730769), (3, 4239.368990384615)]","[(0, 24528.5859375), (1, 39815.3828125)]"
19,"[(0, 70119.4296875), (1, 66527.359375)]","[(0, 90209.7734375), (1, 80001.421875)]","[(0, 23142.94140625), (1, 23594.19921875)]","[(0, 12083.09765625), (1, 12436.38671875)]","[(0, 8531.9296875), (1, 8994.8916015625)]","[(0, 27013.087890625), (1, 28337.943359375)]","[(0, 23245.423828125), (1, 23706.1796875)]","[(0, 45512.32421875), (1, 36173.71484375)]","[(1, 4206.98299632353), (0, 4327.165104166666), (2, 4519.85625), (3, 4586.544921875), (5, 4762.189174107143), (4, 4798.904296875)]","[(0, 32714.0), (1, 26667.560546875)]","[(0, 4664.759765625), (2, 4828.512428977273), (1, 5015.560697115385), (3, 5120.7067307692305), (4, 5586.2578125), (5, 6359.719401041667)]","[(0, 71716.9140625), (1, 34973.0390625)]","[(1, 3917.72890625), (2, 4000.146484375), (0, 4816.799107142857), (4, 5697.696354166666), (5, 5926.188058035715), (3, 7008.254464285715)]","[(0, 12394.1416015625), (1, 24693.5859375)]"
20,"[(0, 81613.390625), (1, 76973.4609375)]","[(0, 119921.7109375), (1, 104131.484375)]","[(0, 29855.85546875), (1, 28634.900390625)]","[(0, 20067.435546875), (1, 18744.890625)]","[(0, 16132.328125), (1, 15335.6669921875)]","[(0, 34896.87890625), (1, 32972.0234375)]","[(0, 55214.80078125), (1, 58058.19140625)]","[(0, 34035.15234375), (1, 60966.5546875)]","[(4, 2102.2150607638887), (1, 2239.5392680921054), (5, 2359.74951171875), (2, 2657.6617647058824), (3, 3031.9697265625), (0, 3106.905101102941)]","[(0, 46086.46484375), (1, 60618.81640625)]","[(0, 4724.630642361111), (2, 4764.166232638889), (1, 4842.7109375), (3, 6005.001736111111), (5, 6084.211371527777), (4, 6255.033984375)]","[(0, 24149.25), (1, 19682.111328125)]","[(1, 1461.4693714488637), (0, 1566.5736328125), (2, 1589.591796875), (4, 2305.9026988636365), (5, 2476.6294921875), (3, 2557.5744140625)]","[(0, 14030.8154296875), (1, 27613.15234375)]"
21,"[(0, 90389.1484375), (1, 82881.1484375)]","[(0, 143122.90625), (1, 134355.015625)]","[(0, 14487.3173828125), (1, 14745.8193359375)]","[(0, 14523.908203125), (1, 17313.15625)]","[(0, 8818.4501953125), (1, 8672.1005859375)]","[(0, 32467.435546875), (1, 31936.435546875)]","[(0, 37855.24609375), (1, 35392.6484375)]","[(0, 66463.0625), (1, 38630.67578125)]","[(3, 2245.968331473214), (4, 2313.2802734375), (5, 2384.606863839286), (1, 3990.832720588235), (2, 4100.700260416666), (0, 4113.469270833333)]","[(0, 46440.21484375), (1, 31441.337890625)]","[(0, 3848.3602120535716), (1, 3964.2838541666665), (2, 4100.685825892857), (4, 4445.2841796875), (5, 4491.0640625), (3, 4564.4125)]","[(0, 32381.904296875), (1, 63047.90234375)]","[(4, 4185.877103365385), (1, 4218.799579326923), (5, 4997.650390625), (2, 5029.282877604167), (0, 5371.103338068182), (3, 5407.172230113636)]","[(0, 18896.810546875), (1, 36746.03125)]"
22,"[(0, 89031.6796875), (1, 88135.359375)]","[(0, 67238.6171875), (1, 66966.8984375)]","[(0, 13999.2978515625), (1, 15743.197265625)]","[(0, 14983.48828125), (1, 15095.044921875)]","[(0, 21900.349609375), (1, 20267.671875)]","[(0, 30309.623046875), (1, 30913.943359375)]","[(0, 33969.29296875), (1, 34415.140625)]","[(0, 51590.42578125), (1, 37172.6953125)]","[(4, 2661.4763020833334), (1, 2690.1592548076924), (2, 2882.0651633522725), (5, 2915.2127403846152), (3, 3068.159598214286), (0, 3155.6481119791665)]","[(0, 37842.50390625), (1, 38443.71484375)]","[(3, 4914.523082386364), (4, 4961.270182291667), (5, 5117.308948863636), (1, 5814.26953125), (0, 5827.587002840909), (2, 5987.928977272727)]","[(0, 60363.828125), (1, 52435.44921875)]","[(4, 4140.812144886364), (5, 4400.307421875), (1, 4772.841264204545), (2, 5047.64296875), (3, 5139.06171875), (0, 5936.94609375)]","[(0, 30572.37890625), (1, 50124.6640625)]"
23,"[(0, 90216.1328125), (1, 85128.4296875)]","[(0, 90229.6484375), (1, 90908.5390625)]","[(0, 16079.5673828125), (1, 17803.09375)]","[(0, 15846.37890625), (1, 16902.1328125)]","[(0, 20940.234375), (1, 20273.607421875)]","[(0, 30943.8515625), (1, 31977.21484375)]","[(0, 29798.11328125), (1, 31379.83984375)]","[(0, 35724.5), (1, 50429.56640625)]","[(2, 3029.2115384615386), (1, 3112.083426339286), (5, 3613.420099431818), (0, 3949.0279947916665), (4, 3966.908203125), (3, 4905.80859375)]","[(0, 35324.09375), (1, 59313.3203125)]","[(4, 3009.056463068182), (3, 3754.190972222222), (5, 4046.769140625), (1, 5375.376302083333), (2, 5600.622159090909), (0, 6151.267578125)]","[(0, 25909.25390625), (1, 33533.60546875)]","[(2, 1374.5766927083334), (1, 1597.3212890625), (0, 2049.911690848214), (5, 2092.4547991071427), (4, 2173.83984375), (3, 2852.7427884615386)]","[(0, 16491.603515625), (1, 31893.916015625)]"
24,"[(0, 103970.828125), (1, 97226.859375)]","[(0, 85381.3671875), (1, 88340.4375)]","[(0, 14897.61328125), (1, 14048.033203125)]","[(0, 18352.798828125), (1, 18685.455078125)]","[(0, 18622.568359375), (1, 20365.109375)]","[(0, 40113.46484375), (1, 38675.09375)]","[(0, 28612.572265625), (1, 28891.541015625)]","[(0, 18937.58203125), (1, 23810.26953125)]","[(4, 1762.3003216911766), (5, 1979.1791666666666), (3, 2320.95390625), (1, 2329.9822048611113), (2, 2599.814453125), (0, 2900.012451171875)]","[(0, 33618.5234375), (1, 40637.6640625)]","[(4, 3071.22109375), (3, 3074.776785714286), (5, 3163.2716346153848), (0, 3174.9951923076924), (2, 3681.8050130208335), (1, 3701.8780691964284)]","[(0, 43440.921875), (1, 24345.1796875)]","[(1, 1202.484095982143), (2, 1318.7572115384614), (4, 1613.7608173076924), (0, 1733.8155924479167), (5, 1820.7908528645833), (3, 2208.115056818182)]","[(0, 13896.27734375), (1, 27454.998046875)]"
