,best
adjunct_island,0.466
superlative_quantifiers_2,0.146
anaphor_gender_agreement,0.654
tough_vs_raising_1,0.494
anaphor_number_agreement,0.608
tough_vs_raising_2,0.553
animate_subject_passive,0.556
wh_questions_subject_gap,0.966
animate_subject_trans,0.409
causative,0.474
wh_vs_that_no_gap,0.991
complex_NP_island,0.541
coordinate_structure_constraint_complex_left_branch,0.505
left_branch_island_echo_question,0.694
coordinate_structure_constraint_object_extraction,0.423
transitive,0.605
determiner_noun_agreement_1,0.543
wh_island,0.919
determiner_noun_agreement_2,0.484
only_npi_scope,0.08
determiner_noun_agreement_irregular_1,0.508
passive_1,0.549
determiner_noun_agreement_irregular_2,0.571
principle_A_domain_1,0.967
determiner_noun_agreement_with_adj_2,0.467
left_branch_island_simple_question,0.529
determiner_noun_agreement_with_adj_irregular_1,0.499
matrix_question_npi_licensor_present,0.077
determiner_noun_agreement_with_adj_irregular_2,0.539
npi_present_1,0.418
determiner_noun_agreement_with_adjective_1,0.473
principle_A_domain_2,0.502
distractor_agreement_relational_noun,0.468
principle_A_domain_3,0.502
distractor_agreement_relative_clause,0.527
drop_argument,0.448
wh_vs_that_with_gap,0.009
ellipsis_n_bar_1,0.188
ellipsis_n_bar_2,0.476
principle_A_reconstruction,0.302
existential_there_object_raising,0.7
regular_plural_subject_verb_agreement_1,0.491
existential_there_quantifiers_1,0.714
regular_plural_subject_verb_agreement_2,0.509
existential_there_quantifiers_2,0.534
sentential_negation_npi_licensor_present,0.981
existential_there_subject_raising,0.595
wh_questions_object_gap,0.623
expletive_it_object_raising,0.632
inchoative,0.443
intransitive,0.37
sentential_negation_npi_scope,0.35
irregular_past_participle_adjectives,0.107
sentential_subject_island,0.486
irregular_past_participle_verbs,0.627
npi_present_2,0.406
irregular_plural_subject_verb_agreement_1,0.537
only_npi_licensor_present,0.0
irregular_plural_subject_verb_agreement_2,0.492
passive_2,0.515
principle_A_c_command,0.419
principle_A_case_1,1.0
principle_A_case_2,0.415
superlative_quantifiers_1,0.486
wh_questions_subject_gap_long_distance,0.879
wh_vs_that_no_gap_long_distance,0.996
wh_vs_that_with_gap_long_distance,0.009
