,best
adjunct_island,0.551
superlative_quantifiers_2,0.594
anaphor_gender_agreement,0.692
tough_vs_raising_1,0.469
anaphor_number_agreement,0.61
tough_vs_raising_2,0.588
animate_subject_passive,0.558
wh_questions_subject_gap,0.778
animate_subject_trans,0.573
causative,0.427
wh_vs_that_no_gap,0.848
complex_NP_island,0.576
coordinate_structure_constraint_complex_left_branch,0.2
left_branch_island_echo_question,0.61
coordinate_structure_constraint_object_extraction,0.606
transitive,0.598
determiner_noun_agreement_1,0.51
wh_island,0.832
determiner_noun_agreement_2,0.495
only_npi_scope,0.262
determiner_noun_agreement_irregular_1,0.553
passive_1,0.571
determiner_noun_agreement_irregular_2,0.545
principle_A_domain_1,0.998
determiner_noun_agreement_with_adj_2,0.477
left_branch_island_simple_question,0.299
determiner_noun_agreement_with_adj_irregular_1,0.541
matrix_question_npi_licensor_present,0.028
determiner_noun_agreement_with_adj_irregular_2,0.53
npi_present_1,0.418
determiner_noun_agreement_with_adjective_1,0.508
principle_A_domain_2,0.493
distractor_agreement_relational_noun,0.43
principle_A_domain_3,0.51
distractor_agreement_relative_clause,0.474
drop_argument,0.527
wh_vs_that_with_gap,0.232
ellipsis_n_bar_1,0.346
ellipsis_n_bar_2,0.466
principle_A_reconstruction,0.314
existential_there_object_raising,0.69
regular_plural_subject_verb_agreement_1,0.569
existential_there_quantifiers_1,0.812
regular_plural_subject_verb_agreement_2,0.477
existential_there_quantifiers_2,0.066
sentential_negation_npi_licensor_present,0.999
existential_there_subject_raising,0.587
wh_questions_object_gap,0.417
expletive_it_object_raising,0.641
inchoative,0.378
intransitive,0.411
sentential_negation_npi_scope,0.692
irregular_past_participle_adjectives,0.73
sentential_subject_island,0.56
irregular_past_participle_verbs,0.753
npi_present_2,0.347
irregular_plural_subject_verb_agreement_1,0.555
only_npi_licensor_present,0.013
irregular_plural_subject_verb_agreement_2,0.523
passive_2,0.535
principle_A_c_command,0.476
principle_A_case_1,1.0
principle_A_case_2,0.424
superlative_quantifiers_1,0.359
wh_questions_subject_gap_long_distance,0.775
wh_vs_that_no_gap_long_distance,0.897
wh_vs_that_with_gap_long_distance,0.194
