,epoch_5
adjunct_island,0.621
anaphor_gender_agreement,0.674
anaphor_number_agreement,0.571
animate_subject_passive,0.579
animate_subject_trans,0.584
causative,0.406
complex_NP_island,0.622
coordinate_structure_constraint_complex_left_branch,0.178
coordinate_structure_constraint_object_extraction,0.608
determiner_noun_agreement_1,0.517
determiner_noun_agreement_2,0.494
determiner_noun_agreement_irregular_1,0.515
determiner_noun_agreement_irregular_2,0.552
determiner_noun_agreement_with_adj_2,0.485
determiner_noun_agreement_with_adj_irregular_1,0.558
determiner_noun_agreement_with_adj_irregular_2,0.53
determiner_noun_agreement_with_adjective_1,0.509
distractor_agreement_relational_noun,0.46
distractor_agreement_relative_clause,0.479
drop_argument,0.595
ellipsis_n_bar_1,0.379
ellipsis_n_bar_2,0.448
existential_there_object_raising,0.687
existential_there_quantifiers_1,0.774
existential_there_quantifiers_2,0.099
existential_there_subject_raising,0.549
expletive_it_object_raising,0.672
inchoative,0.393
intransitive,0.484
irregular_past_participle_adjectives,0.747
irregular_past_participle_verbs,0.699
irregular_plural_subject_verb_agreement_1,0.567
irregular_plural_subject_verb_agreement_2,0.526
left_branch_island_echo_question,0.414
left_branch_island_simple_question,0.258
matrix_question_npi_licensor_present,0.062
npi_present_1,0.342
npi_present_2,0.278
only_npi_licensor_present,0.345
only_npi_scope,0.368
passive_1,0.562
passive_2,0.552
principle_A_c_command,0.468
principle_A_case_1,1.0
principle_A_case_2,0.421
principle_A_domain_1,0.972
principle_A_domain_2,0.501
principle_A_domain_3,0.52
principle_A_reconstruction,0.183
regular_plural_subject_verb_agreement_1,0.599
regular_plural_subject_verb_agreement_2,0.474
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.586
sentential_subject_island,0.588
superlative_quantifiers_1,0.458
superlative_quantifiers_2,0.768
tough_vs_raising_1,0.445
tough_vs_raising_2,0.605
transitive,0.598
wh_island,0.959
wh_questions_object_gap,0.488
wh_questions_subject_gap,0.798
wh_questions_subject_gap_long_distance,0.751
wh_vs_that_no_gap,0.912
wh_vs_that_no_gap_long_distance,0.953
wh_vs_that_with_gap,0.14
wh_vs_that_with_gap_long_distance,0.102
