,best
adjunct_island,0.575
anaphor_gender_agreement,0.669
anaphor_number_agreement,0.492
animate_subject_passive,0.563
animate_subject_trans,0.551
causative,0.462
complex_NP_island,0.489
coordinate_structure_constraint_complex_left_branch,0.165
coordinate_structure_constraint_object_extraction,0.411
determiner_noun_agreement_1,0.509
determiner_noun_agreement_2,0.492
determiner_noun_agreement_irregular_1,0.511
determiner_noun_agreement_irregular_2,0.515
determiner_noun_agreement_with_adj_2,0.489
determiner_noun_agreement_with_adj_irregular_1,0.548
determiner_noun_agreement_with_adj_irregular_2,0.53
determiner_noun_agreement_with_adjective_1,0.475
distractor_agreement_relational_noun,0.437
distractor_agreement_relative_clause,0.468
drop_argument,0.45
ellipsis_n_bar_1,0.212
ellipsis_n_bar_2,0.496
existential_there_object_raising,0.68
existential_there_quantifiers_1,0.683
existential_there_quantifiers_2,0.198
existential_there_subject_raising,0.574
expletive_it_object_raising,0.626
inchoative,0.488
intransitive,0.427
irregular_past_participle_adjectives,0.459
irregular_past_participle_verbs,0.723
irregular_plural_subject_verb_agreement_1,0.555
irregular_plural_subject_verb_agreement_2,0.558
left_branch_island_echo_question,0.558
left_branch_island_simple_question,0.208
matrix_question_npi_licensor_present,0.048
npi_present_1,0.382
npi_present_2,0.333
only_npi_licensor_present,0.0
only_npi_scope,0.072
passive_1,0.479
passive_2,0.425
principle_A_c_command,0.532
principle_A_case_1,1.0
principle_A_case_2,0.441
principle_A_domain_1,0.953
principle_A_domain_2,0.481
principle_A_domain_3,0.488
principle_A_reconstruction,0.217
regular_plural_subject_verb_agreement_1,0.565
regular_plural_subject_verb_agreement_2,0.493
sentential_negation_npi_licensor_present,0.987
sentential_negation_npi_scope,0.662
sentential_subject_island,0.58
superlative_quantifiers_1,0.456
superlative_quantifiers_2,0.479
tough_vs_raising_1,0.465
tough_vs_raising_2,0.568
transitive,0.567
wh_island,0.817
wh_questions_object_gap,0.429
wh_questions_subject_gap,0.695
wh_questions_subject_gap_long_distance,0.733
wh_vs_that_no_gap,0.841
wh_vs_that_no_gap_long_distance,0.841
wh_vs_that_with_gap,0.203
wh_vs_that_with_gap_long_distance,0.227
