,best
adjunct_island,0.532
anaphor_gender_agreement,0.637
anaphor_number_agreement,0.518
animate_subject_passive,0.572
animate_subject_trans,0.542
causative,0.454
complex_NP_island,0.454
coordinate_structure_constraint_complex_left_branch,0.192
coordinate_structure_constraint_object_extraction,0.292
determiner_noun_agreement_1,0.501
determiner_noun_agreement_2,0.506
determiner_noun_agreement_irregular_1,0.52
determiner_noun_agreement_irregular_2,0.563
determiner_noun_agreement_with_adj_2,0.488
determiner_noun_agreement_with_adj_irregular_1,0.547
determiner_noun_agreement_with_adj_irregular_2,0.524
determiner_noun_agreement_with_adjective_1,0.493
distractor_agreement_relational_noun,0.461
distractor_agreement_relative_clause,0.481
drop_argument,0.41
ellipsis_n_bar_1,0.225
ellipsis_n_bar_2,0.499
existential_there_object_raising,0.67
existential_there_quantifiers_1,0.743
existential_there_quantifiers_2,0.246
existential_there_subject_raising,0.567
expletive_it_object_raising,0.614
inchoative,0.471
intransitive,0.395
irregular_past_participle_adjectives,0.413
irregular_past_participle_verbs,0.782
irregular_plural_subject_verb_agreement_1,0.587
irregular_plural_subject_verb_agreement_2,0.55
left_branch_island_echo_question,0.557
left_branch_island_simple_question,0.266
matrix_question_npi_licensor_present,0.072
npi_present_1,0.406
npi_present_2,0.381
only_npi_licensor_present,0.0
only_npi_scope,0.109
passive_1,0.479
passive_2,0.444
principle_A_c_command,0.573
principle_A_case_1,1.0
principle_A_case_2,0.446
principle_A_domain_1,0.995
principle_A_domain_2,0.497
principle_A_domain_3,0.493
principle_A_reconstruction,0.198
regular_plural_subject_verb_agreement_1,0.536
regular_plural_subject_verb_agreement_2,0.501
sentential_negation_npi_licensor_present,0.997
sentential_negation_npi_scope,0.672
sentential_subject_island,0.554
superlative_quantifiers_1,0.501
superlative_quantifiers_2,0.564
tough_vs_raising_1,0.439
tough_vs_raising_2,0.607
transitive,0.573
wh_island,0.938
wh_questions_object_gap,0.442
wh_questions_subject_gap,0.728
wh_questions_subject_gap_long_distance,0.78
wh_vs_that_no_gap,0.782
wh_vs_that_no_gap_long_distance,0.843
wh_vs_that_with_gap,0.249
wh_vs_that_with_gap_long_distance,0.239
