,best
adjunct_island,0.704
superlative_quantifiers_2,0.52
anaphor_gender_agreement,0.644
tough_vs_raising_1,0.38
anaphor_number_agreement,0.662
tough_vs_raising_2,0.646
animate_subject_passive,0.584
wh_questions_subject_gap,0.878
animate_subject_trans,0.5
causative,0.464
wh_vs_that_no_gap,0.772
complex_NP_island,0.354
coordinate_structure_constraint_complex_left_branch,0.097
left_branch_island_echo_question,0.458
coordinate_structure_constraint_object_extraction,0.281
transitive,0.619
determiner_noun_agreement_1,0.76
wh_island,0.878
determiner_noun_agreement_2,0.626
only_npi_scope,0.3
determiner_noun_agreement_irregular_1,0.672
passive_1,0.528
determiner_noun_agreement_irregular_2,0.745
principle_A_domain_1,0.985
determiner_noun_agreement_with_adj_2,0.597
left_branch_island_simple_question,0.167
determiner_noun_agreement_with_adj_irregular_1,0.67
matrix_question_npi_licensor_present,0.237
determiner_noun_agreement_with_adj_irregular_2,0.643
npi_present_1,0.173
determiner_noun_agreement_with_adjective_1,0.63
principle_A_domain_2,0.493
distractor_agreement_relational_noun,0.39
principle_A_domain_3,0.499
distractor_agreement_relative_clause,0.354
drop_argument,0.414
wh_vs_that_with_gap,0.326
ellipsis_n_bar_1,0.407
ellipsis_n_bar_2,0.577
principle_A_reconstruction,0.231
existential_there_object_raising,0.651
regular_plural_subject_verb_agreement_1,0.47
existential_there_quantifiers_1,0.853
regular_plural_subject_verb_agreement_2,0.571
existential_there_quantifiers_2,0.351
sentential_negation_npi_licensor_present,0.99
existential_there_subject_raising,0.586
wh_questions_object_gap,0.531
expletive_it_object_raising,0.605
inchoative,0.518
intransitive,0.39
sentential_negation_npi_scope,0.678
irregular_past_participle_adjectives,0.612
sentential_subject_island,0.467
irregular_past_participle_verbs,0.796
npi_present_2,0.217
irregular_plural_subject_verb_agreement_1,0.608
only_npi_licensor_present,0.0
irregular_plural_subject_verb_agreement_2,0.585
passive_2,0.436
principle_A_c_command,0.595
principle_A_case_1,0.999
principle_A_case_2,0.504
superlative_quantifiers_1,0.569
wh_questions_subject_gap_long_distance,0.915
wh_vs_that_no_gap_long_distance,0.829
wh_vs_that_with_gap_long_distance,0.246
