,best
adjunct_island,0.618
superlative_quantifiers_2,0.436
anaphor_gender_agreement,0.636
tough_vs_raising_1,0.567
anaphor_number_agreement,0.598
tough_vs_raising_2,0.499
animate_subject_passive,0.572
wh_questions_subject_gap,0.834
animate_subject_trans,0.438
causative,0.468
wh_vs_that_no_gap,0.882
complex_NP_island,0.41
coordinate_structure_constraint_complex_left_branch,0.295
left_branch_island_echo_question,0.66
coordinate_structure_constraint_object_extraction,0.35
transitive,0.563
determiner_noun_agreement_1,0.526
wh_island,0.85
determiner_noun_agreement_2,0.506
only_npi_scope,0.163
determiner_noun_agreement_irregular_1,0.524
passive_1,0.467
determiner_noun_agreement_irregular_2,0.569
principle_A_domain_1,1.0
determiner_noun_agreement_with_adj_2,0.497
left_branch_island_simple_question,0.392
determiner_noun_agreement_with_adj_irregular_1,0.522
matrix_question_npi_licensor_present,0.01
determiner_noun_agreement_with_adj_irregular_2,0.523
npi_present_1,0.226
determiner_noun_agreement_with_adjective_1,0.518
principle_A_domain_2,0.54
distractor_agreement_relational_noun,0.432
principle_A_domain_3,0.517
distractor_agreement_relative_clause,0.472
drop_argument,0.397
wh_vs_that_with_gap,0.169
ellipsis_n_bar_1,0.285
ellipsis_n_bar_2,0.468
principle_A_reconstruction,0.216
existential_there_object_raising,0.665
regular_plural_subject_verb_agreement_1,0.505
existential_there_quantifiers_1,0.755
regular_plural_subject_verb_agreement_2,0.481
existential_there_quantifiers_2,0.297
sentential_negation_npi_licensor_present,1.0
existential_there_subject_raising,0.472
wh_questions_object_gap,0.537
expletive_it_object_raising,0.622
inchoative,0.464
intransitive,0.359
sentential_negation_npi_scope,0.385
irregular_past_participle_adjectives,0.714
sentential_subject_island,0.486
irregular_past_participle_verbs,0.689
npi_present_2,0.226
irregular_plural_subject_verb_agreement_1,0.522
only_npi_licensor_present,0.866
irregular_plural_subject_verb_agreement_2,0.524
passive_2,0.439
principle_A_c_command,0.334
principle_A_case_1,1.0
principle_A_case_2,0.454
superlative_quantifiers_1,0.231
wh_questions_subject_gap_long_distance,0.878
wh_vs_that_no_gap_long_distance,0.926
wh_vs_that_with_gap_long_distance,0.151
