,best
adjunct_island,0.402
anaphor_gender_agreement,0.475
anaphor_number_agreement,0.527
animate_subject_passive,0.504
animate_subject_trans,0.493
causative,0.467
complex_NP_island,0.53
coordinate_structure_constraint_complex_left_branch,0.698
coordinate_structure_constraint_object_extraction,0.563
determiner_noun_agreement_1,0.517
determiner_noun_agreement_2,0.497
determiner_noun_agreement_irregular_1,0.503
determiner_noun_agreement_irregular_2,0.467
determiner_noun_agreement_with_adj_2,0.521
determiner_noun_agreement_with_adj_irregular_1,0.499
determiner_noun_agreement_with_adj_irregular_2,0.472
determiner_noun_agreement_with_adjective_1,0.483
distractor_agreement_relational_noun,0.545
distractor_agreement_relative_clause,0.526
drop_argument,0.46
ellipsis_n_bar_1,0.562
ellipsis_n_bar_2,0.509
existential_there_object_raising,0.446
existential_there_quantifiers_1,0.632
existential_there_quantifiers_2,0.631
existential_there_subject_raising,0.524
expletive_it_object_raising,0.48
inchoative,0.563
intransitive,0.513
irregular_past_participle_adjectives,0.613
irregular_past_participle_verbs,0.299
irregular_plural_subject_verb_agreement_1,0.534
irregular_plural_subject_verb_agreement_2,0.469
left_branch_island_echo_question,0.431
left_branch_island_simple_question,0.633
matrix_question_npi_licensor_present,0.664
npi_present_1,0.933
npi_present_2,0.911
only_npi_licensor_present,1.0
only_npi_scope,0.628
passive_1,0.464
passive_2,0.473
principle_A_c_command,0.305
principle_A_case_1,0.156
principle_A_case_2,0.475
principle_A_domain_1,0.403
principle_A_domain_2,0.569
principle_A_domain_3,0.467
principle_A_reconstruction,0.59
regular_plural_subject_verb_agreement_1,0.398
regular_plural_subject_verb_agreement_2,0.491
sentential_negation_npi_licensor_present,0.102
sentential_negation_npi_scope,0.673
sentential_subject_island,0.534
superlative_quantifiers_1,0.585
superlative_quantifiers_2,0.869
tough_vs_raising_1,0.529
tough_vs_raising_2,0.469
transitive,0.5
wh_island,0.124
wh_questions_object_gap,0.446
wh_questions_subject_gap,0.229
wh_questions_subject_gap_long_distance,0.368
wh_vs_that_no_gap,0.359
wh_vs_that_no_gap_long_distance,0.247
wh_vs_that_with_gap,0.715
wh_vs_that_with_gap_long_distance,0.743
