,best
adjunct_island,0.617
anaphor_gender_agreement,0.478
anaphor_number_agreement,0.519
animate_subject_passive,0.576
animate_subject_trans,0.522
causative,0.458
complex_NP_island,0.59
coordinate_structure_constraint_complex_left_branch,0.198
coordinate_structure_constraint_object_extraction,0.312
determiner_noun_agreement_1,0.556
determiner_noun_agreement_2,0.52
determiner_noun_agreement_irregular_1,0.504
determiner_noun_agreement_irregular_2,0.584
determiner_noun_agreement_with_adj_2,0.49
determiner_noun_agreement_with_adj_irregular_1,0.519
determiner_noun_agreement_with_adj_irregular_2,0.547
determiner_noun_agreement_with_adjective_1,0.514
distractor_agreement_relational_noun,0.482
distractor_agreement_relative_clause,0.501
drop_argument,0.654
ellipsis_n_bar_1,0.28
ellipsis_n_bar_2,0.51
existential_there_object_raising,0.697
existential_there_quantifiers_1,0.67
existential_there_quantifiers_2,0.116
existential_there_subject_raising,0.524
expletive_it_object_raising,0.636
inchoative,0.517
intransitive,0.524
irregular_past_participle_adjectives,0.889
irregular_past_participle_verbs,0.582
irregular_plural_subject_verb_agreement_1,0.538
irregular_plural_subject_verb_agreement_2,0.514
left_branch_island_echo_question,0.564
left_branch_island_simple_question,0.228
matrix_question_npi_licensor_present,0.064
npi_present_1,0.563
npi_present_2,0.494
only_npi_licensor_present,0.446
only_npi_scope,0.249
passive_1,0.493
passive_2,0.442
principle_A_c_command,0.547
principle_A_case_1,1.0
principle_A_case_2,0.471
principle_A_domain_1,0.918
principle_A_domain_2,0.534
principle_A_domain_3,0.507
principle_A_reconstruction,0.26
regular_plural_subject_verb_agreement_1,0.599
regular_plural_subject_verb_agreement_2,0.488
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.518
sentential_subject_island,0.509
superlative_quantifiers_1,0.114
superlative_quantifiers_2,0.242
tough_vs_raising_1,0.486
tough_vs_raising_2,0.574
transitive,0.573
wh_island,0.608
wh_questions_object_gap,0.374
wh_questions_subject_gap,0.507
wh_questions_subject_gap_long_distance,0.607
wh_vs_that_no_gap,0.92
wh_vs_that_no_gap_long_distance,0.913
wh_vs_that_with_gap,0.098
wh_vs_that_with_gap_long_distance,0.096
