,best
adjunct_island,0.534
anaphor_gender_agreement,0.704
anaphor_number_agreement,0.62
animate_subject_passive,0.591
animate_subject_trans,0.375
causative,0.448
complex_NP_island,0.461
coordinate_structure_constraint_complex_left_branch,0.269
coordinate_structure_constraint_object_extraction,0.473
determiner_noun_agreement_1,0.525
determiner_noun_agreement_2,0.49
determiner_noun_agreement_irregular_1,0.484
determiner_noun_agreement_irregular_2,0.531
determiner_noun_agreement_with_adj_2,0.473
determiner_noun_agreement_with_adj_irregular_1,0.494
determiner_noun_agreement_with_adj_irregular_2,0.537
determiner_noun_agreement_with_adjective_1,0.488
distractor_agreement_relational_noun,0.475
distractor_agreement_relative_clause,0.529
drop_argument,0.459
ellipsis_n_bar_1,0.287
ellipsis_n_bar_2,0.372
existential_there_object_raising,0.688
existential_there_quantifiers_1,0.757
existential_there_quantifiers_2,0.197
existential_there_subject_raising,0.605
expletive_it_object_raising,0.632
inchoative,0.321
intransitive,0.372
irregular_past_participle_adjectives,0.252
irregular_past_participle_verbs,0.819
irregular_plural_subject_verb_agreement_1,0.524
irregular_plural_subject_verb_agreement_2,0.503
left_branch_island_echo_question,0.645
left_branch_island_simple_question,0.294
matrix_question_npi_licensor_present,0.031
npi_present_1,0.36
npi_present_2,0.296
only_npi_licensor_present,0.237
only_npi_scope,0.224
passive_1,0.626
passive_2,0.598
principle_A_c_command,0.456
principle_A_case_1,1.0
principle_A_case_2,0.406
principle_A_domain_1,1.0
principle_A_domain_2,0.473
principle_A_domain_3,0.516
principle_A_reconstruction,0.429
regular_plural_subject_verb_agreement_1,0.479
regular_plural_subject_verb_agreement_2,0.458
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.793
sentential_subject_island,0.505
superlative_quantifiers_1,0.509
superlative_quantifiers_2,0.275
tough_vs_raising_1,0.443
tough_vs_raising_2,0.597
transitive,0.619
wh_island,0.933
wh_questions_object_gap,0.717
wh_questions_subject_gap,0.98
wh_questions_subject_gap_long_distance,0.901
wh_vs_that_no_gap,0.992
wh_vs_that_no_gap_long_distance,0.99
wh_vs_that_with_gap,0.025
wh_vs_that_with_gap_long_distance,0.016
