,best
adjunct_island,0.621
superlative_quantifiers_2,0.297
anaphor_gender_agreement,0.659
tough_vs_raising_1,0.531
anaphor_number_agreement,0.533
tough_vs_raising_2,0.524
animate_subject_passive,0.585
wh_questions_subject_gap,0.86
animate_subject_trans,0.487
causative,0.483
wh_vs_that_no_gap,0.92
complex_NP_island,0.324
coordinate_structure_constraint_complex_left_branch,0.156
left_branch_island_echo_question,0.602
coordinate_structure_constraint_object_extraction,0.251
transitive,0.567
determiner_noun_agreement_1,0.586
wh_island,0.87
determiner_noun_agreement_2,0.505
only_npi_scope,0.165
determiner_noun_agreement_irregular_1,0.532
passive_1,0.423
determiner_noun_agreement_irregular_2,0.558
principle_A_domain_1,0.999
determiner_noun_agreement_with_adj_2,0.48
left_branch_island_simple_question,0.179
determiner_noun_agreement_with_adj_irregular_1,0.523
matrix_question_npi_licensor_present,0.173
determiner_noun_agreement_with_adj_irregular_2,0.529
npi_present_1,0.416
determiner_noun_agreement_with_adjective_1,0.509
principle_A_domain_2,0.507
distractor_agreement_relational_noun,0.453
principle_A_domain_3,0.511
distractor_agreement_relative_clause,0.509
drop_argument,0.43
wh_vs_that_with_gap,0.173
ellipsis_n_bar_1,0.266
ellipsis_n_bar_2,0.488
principle_A_reconstruction,0.094
existential_there_object_raising,0.695
regular_plural_subject_verb_agreement_1,0.577
existential_there_quantifiers_1,0.787
regular_plural_subject_verb_agreement_2,0.509
existential_there_quantifiers_2,0.193
sentential_negation_npi_licensor_present,1.0
existential_there_subject_raising,0.507
wh_questions_object_gap,0.41
expletive_it_object_raising,0.598
inchoative,0.556
intransitive,0.474
sentential_negation_npi_scope,0.589
irregular_past_participle_adjectives,0.529
sentential_subject_island,0.413
irregular_past_participle_verbs,0.662
npi_present_2,0.392
irregular_plural_subject_verb_agreement_1,0.585
only_npi_licensor_present,0.002
irregular_plural_subject_verb_agreement_2,0.579
passive_2,0.352
principle_A_c_command,0.45
principle_A_case_1,1.0
principle_A_case_2,0.487
superlative_quantifiers_1,0.466
wh_questions_subject_gap_long_distance,0.945
wh_vs_that_no_gap_long_distance,0.937
wh_vs_that_with_gap_long_distance,0.117
