,best
adjunct_island,0.545
anaphor_gender_agreement,0.646
anaphor_number_agreement,0.55
animate_subject_passive,0.576
animate_subject_trans,0.537
causative,0.456
complex_NP_island,0.446
coordinate_structure_constraint_complex_left_branch,0.195
coordinate_structure_constraint_object_extraction,0.286
determiner_noun_agreement_1,0.52
determiner_noun_agreement_2,0.506
determiner_noun_agreement_irregular_1,0.541
determiner_noun_agreement_irregular_2,0.591
determiner_noun_agreement_with_adj_2,0.479
determiner_noun_agreement_with_adj_irregular_1,0.551
determiner_noun_agreement_with_adj_irregular_2,0.524
determiner_noun_agreement_with_adjective_1,0.491
distractor_agreement_relational_noun,0.456
distractor_agreement_relative_clause,0.463
drop_argument,0.407
ellipsis_n_bar_1,0.234
ellipsis_n_bar_2,0.495
existential_there_object_raising,0.662
existential_there_quantifiers_1,0.764
existential_there_quantifiers_2,0.303
existential_there_subject_raising,0.553
expletive_it_object_raising,0.612
inchoative,0.486
intransitive,0.389
irregular_past_participle_adjectives,0.446
irregular_past_participle_verbs,0.786
irregular_plural_subject_verb_agreement_1,0.595
irregular_plural_subject_verb_agreement_2,0.543
left_branch_island_echo_question,0.59
left_branch_island_simple_question,0.285
matrix_question_npi_licensor_present,0.068
npi_present_1,0.349
npi_present_2,0.338
only_npi_licensor_present,0.0
only_npi_scope,0.112
passive_1,0.461
passive_2,0.441
principle_A_c_command,0.568
principle_A_case_1,1.0
principle_A_case_2,0.46
principle_A_domain_1,0.998
principle_A_domain_2,0.513
principle_A_domain_3,0.491
principle_A_reconstruction,0.205
regular_plural_subject_verb_agreement_1,0.532
regular_plural_subject_verb_agreement_2,0.502
sentential_negation_npi_licensor_present,0.999
sentential_negation_npi_scope,0.65
sentential_subject_island,0.548
superlative_quantifiers_1,0.495
superlative_quantifiers_2,0.643
tough_vs_raising_1,0.427
tough_vs_raising_2,0.613
transitive,0.572
wh_island,0.949
wh_questions_object_gap,0.435
wh_questions_subject_gap,0.726
wh_questions_subject_gap_long_distance,0.763
wh_vs_that_no_gap,0.748
wh_vs_that_no_gap_long_distance,0.81
wh_vs_that_with_gap,0.294
wh_vs_that_with_gap_long_distance,0.264
